# Header: 
#   title: 58-CE-138(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 58 
#   A: 138 
#   Nuclide: 58-CE-138 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 2.5300e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   MXW Simple Mean           |  Simple Stdev        : 8.51675E+01  |   2.03252E+02   (N = 6)
#   MXW Weighted Mean        +/- Weighted Error      : 2.93823E-02 +/-  4.82664E-03   (N = 6)
#   SPA Simple Mean           |  Simple Stdev        : 6.75667E-01  |   5.79169E-01   (N = 3)
#   SPA Weighted Mean        +/- Weighted Error      :         NAN +/-          NAN   (N = 3)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
11507-074-0         H.Pomerance             1952   2.5300E-08   0.0000E+00   8.7000E+00   6.0900E+00     MXW        
11994-008-0         M.Sehgal                1962   2.5300E-08   0.0000E+00   1.2600E+00   2.0000E-01     MXW        
11994-009-0         M.Sehgal                1962   2.5300E-08   0.0000E+00   1.8000E-02   5.0000E-03     MXW        
10839-002-0         R.Rundberg              1978   2.5300E-08   0.0000E+00   5.0000E+02   0.0000E+00     MXW        
14346-004-0         S.Torrel                2012   2.5000E-08   0.0000E+00   4.7000E-02   2.0000E-02     MXW        
14346-005-0         S.Torrel                2012   2.5000E-08   0.0000E+00   9.8000E-01   5.0000E-02     MXW        
12063-002-0         B.H.Ketelle             1956   2.5300E-08   0.0000E+00   1.0000E+00   0.0000E+00     SPA        
12063-003-0         B.H.Ketelle             1956   2.5300E-08   0.0000E+00   7.0000E-03   0.0000E+00     SPA        
12866-128-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   1.0200E+00   1.2000E-01     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
V1002-125-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.5000E-02   5.0000E-03           RECOM
V1002-125-2         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   1.0200E+00   2.4000E-01           RECOM
