# Header: 
#   title: 63-EU-151(N,G) macs cross section 
#   source: EXFOR 
#   date created: 2025-09-08 
# Target: 
#   Z: 63 
#   A: 151 
#   Nuclide: 63-EU-151 
# Reaction: 
#   Type: N,G 
#   Type: N,G 
#   Incident energy       : 2.5000e-08 MeV - 3.2900e-08 MeV 
# Residual: 
#   Z:  
#   A:  
#   Nuclide: 
# Statistics:
#   Maxwellian Average Simple Mean  |  Simple Stdev        : 5.88809E+03  |   2.28515E+03  (N = 27)
#   Maxwellian Average Weighted Mean +/- Weighted Error      : 5.90258E+03 +/-  2.20183E+01  (N = 27)
#   AV Simple Mean            |  Simple Stdev        : 6.71000E+03  |           NAN   (N = 1)
#   AV Weighted Mean         +/- Weighted Error      :         NAN +/-          NAN   (N = 1)
#   MXW Simple Mean           |  Simple Stdev        : 3.01350E+03  |   1.13701E+03   (N = 4)
#   MXW Weighted Mean        +/- Weighted Error      : 3.72389E+03 +/-  4.73733E+01   (N = 4)
#   SPA Simple Mean           |  Simple Stdev        : 5.02667E+03  |   1.45775E+03   (N = 3)
#   SPA Weighted Mean        +/- Weighted Error      : 5.20148E+03 +/-  1.92055E+01   (N = 3)
#
# Data Table
#   Experimental Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
20638-050-0         R.B.Tattersall          1960   2.5300E-08   0.0000E+00   8.7900E+03   9.0000E+01                
12090-003-0         G.H.E.Sims              1967   2.5300E-08   0.0000E+00   2.9510E+03   8.5000E+01                
12090-004-0         G.H.E.Sims              1967   2.5300E-08   0.0000E+00   4.4100E+03   6.6000E+01                
20221-004-0         F.Poortmans             1971   2.5300E-08   3.1625E-10   9.1840E+03   1.4000E+02                
20221-005-0         F.Poortmans             1971   3.0000E-08   0.0000E+00   2.6940E+03   1.5000E+02                
20791-016-0         T.B.Ryves               1971   2.5300E-08   0.0000E+00   2.6200E+03   0.0000E+00                
20644-013-0         A.Alian                 1973   2.5300E-08   0.0000E+00   4.0560E+03   0.0000E+00                
20437-006-0         F.Widder                1975   3.0283E-08   0.0000E+00   7.4635E+03   2.1050E+02                
20657-004-1         J.I.Kim                 1975   2.5300E-08   0.0000E+00   3.1480E+03   1.0300E+02                
20657-004-2         J.I.Kim                 1975   2.5300E-08   0.0000E+00   3.2110E+03   8.2000E+01                
20657-005-1         J.I.Kim                 1975   2.5300E-08   0.0000E+00   5.8170E+03   9.8000E+01                
20657-005-2         J.I.Kim                 1975   2.5300E-08   0.0000E+00   5.9350E+03   7.3000E+01                
20657-006-1         J.I.Kim                 1975   2.5300E-08   0.0000E+00   8.9650E+03   1.4200E+02                
20657-006-2         J.I.Kim                 1975   2.5300E-08   0.0000E+00   9.1460E+03   1.0900E+02                
41104-005-0         V.I.Gavrilyuk           1990   2.5300E-08   0.0000E+00   3.9000E+00   0.0000E+00                
23260-113-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.6120E+03   3.6000E+01                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.5890E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.5740E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.6040E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.6710E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.6690E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.6370E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.5980E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.6310E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.5830E+03   0.0000E+00                
23260-114-0         F.Farina Arbocco        2014   2.5300E-08   0.0000E+00   6.5910E+03   0.0000E+00                
23416-002-0         J.Lee                   2018   3.0540E-08   0.0000E+00   7.8250E+03   2.7640E+02                
23181-002-0         J.Lee                   2017   3.2900E-08   0.0000E+00   6.7100E+03   4.6300E+02      AV        
31246-011-0         H.S.Hans                1960   2.5300E-08   0.0000E+00   1.7000E+03   2.5000E+02     MXW        
12090-008-0         G.H.E.Sims              1967   2.5300E-08   0.0000E+00   3.0800E+03   9.0000E+01     MXW        
12090-009-0         G.H.E.Sims              1967   2.5300E-08   0.0000E+00   4.4650E+03   6.5000E+01     MXW        
20221-006-0         F.Poortmans             1971   2.5300E-08   0.0000E+00   2.8090E+03   1.2000E+02     MXW        
12138-002-0         R.J.Hayden              1949   2.5300E-08   0.0000E+00   5.2000E+03   0.0000E+00     SPA        
12866-146-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   3.4900E+03   3.0000E+01     SPA        
12866-148-0         R.E.Heft                1978   2.5000E-08   0.0000E+00   6.3900E+03   2.5000E+01     SPA        
#   Recom./Eval./Deriv./Calc. Data
# EXFOR ID          First Author            Year   En_inc [MeV] dEn_inc      Data [B]     dData         sf8    sf9
31751-002-0         M.S.Basunia             2014   2.5300E-08   0.0000E+00   7.0600E+03   4.0000E+02           DERIV
31751-003-0         M.S.Basunia             2014   2.5300E-08   0.0000E+00   2.3450E+03   2.2000E+02           DERIV
31751-004-0         M.S.Basunia             2014   2.5300E-08   0.0000E+00   9.4050E+03   4.6000E+02           DERIV
23181-004-0         J.Lee                   2017   2.5300E-08   0.0000E+00   9.0510E+03   6.8300E+02           DERIV
V1002-213-1         S.F.Mughabghab          2006   2.5300E-08   0.0000E+00   9.2000E+03   1.0000E+02           RECOM
