# Header: 
#   Title                 : 6-C-13 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : R.H.Spear 
#   Institute             : (1USACAL): California Institute of Technology, Pasadena, CA 
#   Reference             : (J,NP,41,353,1963) 
#   Year                  : 1963 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 6 
#   A                     : 13 
#   Nuclide               : 6-C-13 
# Reaction: 
#   entry-subent-pointer  :['F0993-004-0'] 
#   EXFOR reaction        :['(6-C-13(A,TOT),,WID)'] 
#   incident energy       : 5.3170e+06 eV - 9.4830e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F09/F0993.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0993
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   5.3170E+06          NAN        NAN        NAN   1.4000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.4960E+06          NAN        NAN        NAN   5.0000E+04   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.7710E+06          NAN        NAN        NAN   8.5000E+04   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.9450E+06          NAN        NAN        NAN   5.5000E+04   2.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.1070E+06          NAN        NAN        NAN   4.5000E+04   1.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.3670E+06          NAN        NAN        NAN   1.0000E+05   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.8780E+06          NAN        NAN        NAN   1.2000E+05   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.0510E+06          NAN        NAN        NAN   4.0000E+04   2.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.1360E+06          NAN        NAN        NAN   1.2000E+04   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.5200E+06          NAN        NAN        NAN   1.5000E+05   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.7360E+06          NAN        NAN        NAN   1.0000E+05   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.1560E+06          NAN        NAN        NAN   7.5000E+04   3.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.2530E+06          NAN        NAN        NAN   0.0000E+00   7.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.5900E+06          NAN        NAN        NAN   1.5000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7850E+06          NAN        NAN        NAN   1.6000E+04   4.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.3190E+06          NAN        NAN        NAN   0.0000E+00   1.2000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.4830E+06          NAN        NAN        NAN   1.5000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
