# Header: 
#   Title                 : 6-C-14 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : F0754-003-1 
#   First Author          : V.Z.Goldberg 
#   Institute             : (2SF SF): Finland 
#   Reference             : (J,YF,68,1123,2005) 
#   Year                  : 2005 
#   Facility              : (ISOCY): Isochronous cyclotron 
# Target: 
#   Z                     : 6 
#   A                     : 14 
#   Isomer                :  
#   Nuclide               : 6-C-14 
# Reaction: 
#   EXFOR Reaction        : (6-C-14(A,EL),,WID) 
#   Incident Energy Type   : 3.6000e+06 eV - 1.9300e+07 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/F07/F0754.x4 
#   nds                   : https://nds.iaea.org/EXFOR/F0754
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   3.6000E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   5.0000E+05   1.0000E+05          NAN          NAN          NAN          NAN
   3.7100E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   3.8000E+05   1.5000E+04          NAN          NAN          NAN          NAN
   4.0700E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   2.0000E+05   2.0000E+04          NAN          NAN          NAN          NAN
   4.4700E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   1.8000E+05   3.0000E+04          NAN          NAN          NAN          NAN
   4.4800E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   7.5000E+04   1.0000E+04          NAN          NAN          NAN          NAN
   4.5600E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   3.0000E+05   3.0000E+04          NAN          NAN          NAN          NAN
   4.6500E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   4.0000E+05   5.0000E+04          NAN          NAN          NAN          NAN
   4.7800E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   3.0000E+05          NAN          NAN          NAN          NAN          NAN
   4.9800E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   4.5000E+04   8.0000E+03          NAN          NAN          NAN          NAN
   5.2200E+06          NAN        4.0        NAN          NAN          NAN          NAN          NAN   3.0000E+04   7.0000E+03          NAN          NAN          NAN          NAN
   5.3200E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   4.5000E+04   8.0000E+03          NAN          NAN          NAN          NAN
   5.4000E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   5.0000E+05   1.5000E+05          NAN          NAN          NAN          NAN
   5.4500E+06          NAN        1.0        NAN          NAN          NAN          NAN          NAN   8.0000E+05   2.0000E+05          NAN          NAN          NAN          NAN
   5.8400E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   1.8000E+05   4.0000E+04          NAN          NAN          NAN          NAN
   5.9400E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   2.5000E+05          NAN          NAN          NAN          NAN          NAN
   6.3000E+06          NAN        3.0        NAN          NAN          NAN          NAN          NAN   6.0000E+05          NAN          NAN          NAN          NAN          NAN
   6.6700E+06          NAN        4.0        NAN          NAN          NAN          NAN          NAN   4.5000E+04          NAN          NAN          NAN          NAN          NAN
   6.9200E+06          NAN        5.0        NAN          NAN          NAN          NAN          NAN   6.0000E+04   5.0000E+03          NAN          NAN          NAN          NAN
   7.0300E+06          NAN        6.0        NAN          NAN          NAN          NAN          NAN   3.5000E+04   5.0000E+03          NAN          NAN          NAN          NAN
   7.8300E+06          NAN        5.0        NAN          NAN          NAN          NAN          NAN   8.0000E+04   1.0000E+04          NAN          NAN          NAN          NAN
   8.1000E+06          NAN        6.0        NAN          NAN          NAN          NAN          NAN   3.2000E+04   5.0000E+03          NAN          NAN          NAN          NAN
   1.5700E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   6.0000E+04          NAN          NAN          NAN          NAN          NAN
   1.6050E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   3.2000E+05          NAN          NAN          NAN          NAN          NAN
   1.6660E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   1.4500E+05          NAN          NAN          NAN          NAN          NAN
   1.7010E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   1.1300E+05          NAN          NAN          NAN          NAN          NAN
   1.7260E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   5.2000E+04          NAN          NAN          NAN          NAN          NAN
   1.7550E+07          NAN        5.0        NAN          NAN          NAN          NAN          NAN   2.1000E+04          NAN          NAN          NAN          NAN          NAN
   1.7600E+07          NAN        7.0        NAN          NAN          NAN          NAN          NAN   4.3000E+04          NAN          NAN          NAN          NAN          NAN
   1.8000E+07          NAN        8.0        NAN          NAN          NAN          NAN          NAN   3.2600E+05          NAN          NAN          NAN          NAN          NAN
   1.8450E+07          NAN        6.0        NAN          NAN          NAN          NAN          NAN   3.6000E+04          NAN          NAN          NAN          NAN          NAN
   1.8800E+07          NAN        6.0        NAN          NAN          NAN          NAN          NAN   1.7000E+05          NAN          NAN          NAN          NAN          NAN
   1.9300E+07          NAN        6.0        NAN          NAN          NAN          NAN          NAN   6.7000E+04          NAN          NAN          NAN          NAN          NAN
