# Header: 
#   Title                 : 8-O-16 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : C.Bergman 
#   Institute             : (1USAMIN): University of Minnesota, Minneapolis, MN 
#   Reference             : (J,PR/C,3,1729,1971) 
#   Year                  : 1971 
#   Facility              : (VDGT): Tandem van de Graaff 
# Target: 
#   Z                     : 8 
#   A                     : 16 
#   Nuclide               : 8-O-16 
# Reaction: 
#   entry-subent-pointer  :{69: 'T0231-005-4', 70: 'T0231-005-4', 71: 'T0231-005-4', 72: 'T0231-005-4', 73: 'T0231-005-4', 74: 'T0231-005-4', 75: 'T0231-005-4', 76: 'T0231-005-4', 77: 'T0231-005-4', 78: 'T0231-005-4', 79: 'T0231-005-4', 80: 'T0231-005-4', 81: 'T0231-005-4', 82: 'T0231-005-4', 83: 'T0231-005-4', 84: 'T0231-005-4', 85: 'T0231-005-4'} 
#   EXFOR reaction        :{69: '(8-O-16(A,EL),,WID)', 70: '(8-O-16(A,EL),,WID)', 71: '(8-O-16(A,EL),,WID)', 72: '(8-O-16(A,EL),,WID)', 73: '(8-O-16(A,EL),,WID)', 74: '(8-O-16(A,EL),,WID)', 75: '(8-O-16(A,EL),,WID)', 76: '(8-O-16(A,EL),,WID)', 77: '(8-O-16(A,EL),,WID)', 78: '(8-O-16(A,EL),,WID)', 79: '(8-O-16(A,EL),,WID)', 80: '(8-O-16(A,EL),,WID)', 81: '(8-O-16(A,EL),,WID)', 82: '(8-O-16(A,EL),,WID)', 83: '(8-O-16(A,EL),,WID)', 84: '(8-O-16(A,EL),,WID)', 85: '(8-O-16(A,EL),,WID)'} 
#   incident energy       : 1.9300e+07 eV - 2.9400e+07 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/T02/T0231.x4 
#   nds                   : https://nds.iaea.org/EXFOR/T0231
#
#        E_in(eV)          dE_in(eV)    data(A,TOT)(eV)       ddata(A,TOT)       data(A,G)         ddata(A,G)        data(A,EL)       ddata(A,EL)        data(A,F)        ddata(A,F)         data(A,A)        ddata(A,A)            spin_j        momentum_l
        1.9300E+07               NAN               NAN               NAN               NAN               NAN        2.5000E+05               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        1.9600E+07               NAN               NAN               NAN               NAN               NAN        3.6000E+05               NAN               NAN               NAN               NAN               NAN               6.0               NAN
        1.9950E+07               NAN               NAN               NAN               NAN               NAN        1.2000E+05               NAN               NAN               NAN               NAN               NAN               9.0               NAN
        2.0400E+07               NAN               NAN               NAN               NAN               NAN        2.0000E+05               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        2.0450E+07               NAN               NAN               NAN               NAN               NAN        8.0000E+04               NAN               NAN               NAN               NAN               NAN               9.0               NAN
        2.1200E+07               NAN               NAN               NAN               NAN               NAN        2.5000E+05               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        2.1950E+07               NAN               NAN               NAN               NAN               NAN        4.0000E+05               NAN               NAN               NAN               NAN               NAN               7.0               NAN
        2.2500E+07               NAN               NAN               NAN               NAN               NAN        5.0000E+05               NAN               NAN               NAN               NAN               NAN               9.0               NAN
        2.2650E+07               NAN               NAN               NAN               NAN               NAN        2.5000E+05               NAN               NAN               NAN               NAN               NAN               9.0               NAN
        2.3200E+07               NAN               NAN               NAN               NAN               NAN        5.0000E+05               NAN               NAN               NAN               NAN               NAN               8.0               NAN
        2.4200E+07               NAN               NAN               NAN               NAN               NAN        3.0000E+05               NAN               NAN               NAN               NAN               NAN               8.0               NAN
        2.5200E+07               NAN               NAN               NAN               NAN               NAN        6.0000E+05               NAN               NAN               NAN               NAN               NAN               8.0               NAN
        2.6200E+07               NAN               NAN               NAN               NAN               NAN        4.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.8100E+07               NAN               NAN               NAN               NAN               NAN        7.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.9400E+07               NAN               NAN               NAN               NAN               NAN        7.0000E+05               NAN               NAN               NAN               NAN               NAN              10.0               NAN
