# Header: 
#   Title                 : 48-CD-116 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : C.Kohstall 
#   Institute             : (2GERIFS): Institute fuer Strahlenphysik, Stuttgart 
#   Reference             : (J,PR/C,72,034302,2005) 
#   Year                  : 2005 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 48 
#   A                     : 116 
#   Nuclide               : 48-CD-116 
# Reaction: 
#   entry-subent-pointer  :{0: 'M0779-006-3', 1: 'M0779-006-3', 2: 'M0779-006-3', 3: 'M0779-006-3', 4: 'M0779-006-3', 5: 'M0779-006-3', 6: 'M0779-006-3', 7: 'M0779-006-3', 8: 'M0779-006-3', 9: 'M0779-006-3', 10: 'M0779-006-3', 11: 'M0779-006-3', 12: 'M0779-006-3', 13: 'M0779-006-3', 14: 'M0779-006-3', 15: 'M0779-006-3', 16: 'M0779-006-3', 17: 'M0779-006-3', 18: 'M0779-006-3', 19: 'M0779-006-3', 20: 'M0779-006-3', 21: 'M0779-006-3', 22: 'M0779-006-3'} 
#   EXFOR reaction        :{0: '(48-CD-116(G,EL),,WID)', 1: '(48-CD-116(G,EL),,WID)', 2: '(48-CD-116(G,EL),,WID)', 3: '(48-CD-116(G,EL),,WID)', 4: '(48-CD-116(G,EL),,WID)', 5: '(48-CD-116(G,EL),,WID)', 6: '(48-CD-116(G,EL),,WID)', 7: '(48-CD-116(G,EL),,WID)', 8: '(48-CD-116(G,EL),,WID)', 9: '(48-CD-116(G,EL),,WID)', 10: '(48-CD-116(G,EL),,WID)', 11: '(48-CD-116(G,EL),,WID)', 12: '(48-CD-116(G,EL),,WID)', 13: '(48-CD-116(G,EL),,WID)', 14: '(48-CD-116(G,EL),,WID)', 15: '(48-CD-116(G,EL),,WID)', 16: '(48-CD-116(G,EL),,WID)', 17: '(48-CD-116(G,EL),,WID)', 18: '(48-CD-116(G,EL),,WID)', 19: '(48-CD-116(G,EL),,WID)', 20: '(48-CD-116(G,EL),,WID)', 21: '(48-CD-116(G,EL),,WID)', 22: '(48-CD-116(G,EL),,WID)'} 
#   incident energy       : 2.4780e+06 eV - 4.0270e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M07/M0779.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0779
#
#        E_in(eV)          dE_in(eV)    data(G,TOT)(eV)       ddata(G,TOT)       data(G,G)         ddata(G,G)        data(G,EL)       ddata(G,EL)        data(G,F)        ddata(G,F)         data(G,A)        ddata(G,A)            spin_j        momentum_l
        2.4780E+06               NAN               NAN               NAN               NAN               NAN        9.7000E-03        6.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.4880E+06               NAN               NAN               NAN               NAN               NAN        2.1000E-03        3.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.6590E+06               NAN               NAN               NAN               NAN               NAN        4.5000E-03        4.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.7620E+06               NAN               NAN               NAN               NAN               NAN        2.0000E-03        5.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        2.8290E+06               NAN               NAN               NAN               NAN               NAN        1.4500E-02        1.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        2.8450E+06               NAN               NAN               NAN               NAN               NAN        6.9000E-03        1.3000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.0680E+06               NAN               NAN               NAN               NAN               NAN        2.0700E-02        1.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.1560E+06               NAN               NAN               NAN               NAN               NAN        5.2000E-03        5.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.2820E+06               NAN               NAN               NAN               NAN               NAN        9.0000E-04        6.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.4010E+06               NAN               NAN               NAN               NAN               NAN        1.7000E-03        4.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.4230E+06               NAN               NAN               NAN               NAN               NAN        2.8000E-03        5.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.6010E+06               NAN               NAN               NAN               NAN               NAN        6.4000E-03        6.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.6410E+06               NAN               NAN               NAN               NAN               NAN        1.3000E-03        4.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.6550E+06               NAN               NAN               NAN               NAN               NAN        4.2000E-03        1.0000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.7320E+06               NAN               NAN               NAN               NAN               NAN        6.7000E-03        7.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.7630E+06               NAN               NAN               NAN               NAN               NAN        2.4000E-03        7.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.7820E+06               NAN               NAN               NAN               NAN               NAN        1.0000E-02        1.4000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.8490E+06               NAN               NAN               NAN               NAN               NAN        8.6000E-03        8.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.8760E+06               NAN               NAN               NAN               NAN               NAN        5.6000E-03        7.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.8950E+06               NAN               NAN               NAN               NAN               NAN        1.8600E-02        2.1000E-03               NAN               NAN               NAN               NAN               1.0               NAN
        3.9760E+06               NAN               NAN               NAN               NAN               NAN        4.4000E-03        7.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        3.9970E+06               NAN               NAN               NAN               NAN               NAN        2.2000E-03        7.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
        4.0270E+06               NAN               NAN               NAN               NAN               NAN        6.7000E-03        9.0000E-04               NAN               NAN               NAN               NAN               1.0               NAN
