# Header: 
#   Title                 : 62-SM-144 Resonance Parameter: WID/STR,,MSC 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : M0821-005-2 
#   First Author          : S.Volz 
#   Institute             : (2GERTHD): Technische Universitaet Darmstadt 
#   Reference             : (J,NP/A,779,1,2006) 
#   Year                  : 2006 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 62 
#   A                     : 144 
#   Isomer                :  
#   Nuclide               : 62-SM-144 
# Reaction: 
#   EXFOR Reaction        : (62-SM-144(G,EL),,WID/STR,,MSC) 
#   Incident Energy       : 3.2257e+06 eV - 6.9876e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M08/M0821.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0821
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   3.2257E+06   6.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.8900E-01   4.4000E-02          NAN          NAN          NAN          NAN
   3.8179E+06   1.1000E+03        NAN        NAN          NAN          NAN          NAN          NAN   6.4000E-02   1.2000E-02          NAN          NAN          NAN          NAN
   3.8904E+06   6.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.5800E-01   3.9000E-02          NAN          NAN          NAN          NAN
   3.9653E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.0700E-01   1.8000E-02          NAN          NAN          NAN          NAN
   4.2612E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E-01   4.3000E-02          NAN          NAN          NAN          NAN
   4.8402E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.9800E-01   3.4000E-02          NAN          NAN          NAN          NAN
   5.1035E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.7100E-01   3.0000E-02          NAN          NAN          NAN          NAN
   5.1496E+06   1.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN   3.8100E-01   6.1000E-02          NAN          NAN          NAN          NAN
   5.2849E+06   1.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN   1.7200E-01   3.2000E-02          NAN          NAN          NAN          NAN
   5.4831E+06   1.1000E+03        NAN        NAN          NAN          NAN          NAN          NAN   2.5800E-01   4.6000E-02          NAN          NAN          NAN          NAN
   5.6449E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.7000E-01   7.6000E-02          NAN          NAN          NAN          NAN
   5.8486E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.2520E+00   1.9100E-01          NAN          NAN          NAN          NAN
   5.9112E+06   1.1000E+03        NAN        NAN          NAN          NAN          NAN          NAN   3.4300E-01   5.8000E-02          NAN          NAN          NAN          NAN
   5.9261E+06   7.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   8.6900E-01   1.3500E-01          NAN          NAN          NAN          NAN
   5.9449E+06   6.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.5660E+00   2.4000E-01          NAN          NAN          NAN          NAN
   5.9941E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   6.3400E-01   1.0400E-01          NAN          NAN          NAN          NAN
   6.0181E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   2.2700E-01   4.7000E-02          NAN          NAN          NAN          NAN
   6.0516E+06   1.1000E+03        NAN        NAN          NAN          NAN          NAN          NAN   2.3100E-01   5.0000E-02          NAN          NAN          NAN          NAN
   6.0684E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   3.9300E-01   7.0000E-02          NAN          NAN          NAN          NAN
   6.1125E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   7.0500E-01   1.1600E-01          NAN          NAN          NAN          NAN
   6.1720E+06   1.1000E+03        NAN        NAN          NAN          NAN          NAN          NAN   2.9200E-01   6.0000E-02          NAN          NAN          NAN          NAN
   6.2450E+06   1.3000E+03        NAN        NAN          NAN          NAN          NAN          NAN   7.2500E-01   1.2700E-01          NAN          NAN          NAN          NAN
   6.2597E+06   1.3000E+03        NAN        NAN          NAN          NAN          NAN          NAN   4.9800E-01   9.7000E-02          NAN          NAN          NAN          NAN
   6.3172E+06   1.0000E+03        NAN        NAN          NAN          NAN          NAN          NAN   1.1910E+00   1.8900E-01          NAN          NAN          NAN          NAN
   6.3661E+06   9.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   4.2500E-01   8.0000E-02          NAN          NAN          NAN          NAN
   6.4514E+06   8.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   6.5700E-01   1.1400E-01          NAN          NAN          NAN          NAN
   6.4704E+06   1.2000E+03        NAN        NAN          NAN          NAN          NAN          NAN   7.2100E-01   1.3900E-01          NAN          NAN          NAN          NAN
   6.4842E+06   1.7000E+03        NAN        NAN          NAN          NAN          NAN          NAN   3.8100E-01   8.0000E-02          NAN          NAN          NAN          NAN
   6.9876E+06   1.2000E+03        NAN        NAN          NAN          NAN          NAN          NAN   6.9100E-01   1.4300E-01          NAN          NAN          NAN          NAN
