# Header: 
#   Title                 : 50-SN-124 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : M0791-003-3 
#   First Author          : K.Govaert 
#   Institute             : (2BLGGHT): Universiteit Gent, Gent 
#   Reference             : (J,PR/C,57,2229,1998) 
#   Year                  : 1998 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 50 
#   A                     : 124 
#   Isomer                :  
#   Nuclide               : 50-SN-124 
# Reaction: 
#   EXFOR Reaction        : (50-SN-124(G,EL),,WID/STR) 
#   Incident Energy       : 4.2191e+06 eV - 8.4332e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/M07/M0791.x4 
#   nds                   : https://nds.iaea.org/EXFOR/M0791
#
#    E_in(eV)    dE_in(eV)          J          L      (G,TOT)     d(G,TOT)        (G,G)       d(G,G)        (G,EL)     d(G,EL)        (G,F)       d(G,F)        (G,A)       d(G,A)
   4.2191E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.4900E-02          NAN          NAN          NAN          NAN          NAN
   4.2634E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.9500E-02          NAN          NAN          NAN          NAN          NAN
   4.6057E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.5000E-02          NAN          NAN          NAN          NAN          NAN
   4.9537E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.3000E-02          NAN          NAN          NAN          NAN          NAN
   5.0647E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5000E-02          NAN          NAN          NAN          NAN          NAN
   5.8425E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.4600E-01          NAN          NAN          NAN          NAN          NAN
   5.8697E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.0000E-02          NAN          NAN          NAN          NAN          NAN
   5.9025E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.5000E-02          NAN          NAN          NAN          NAN          NAN
   5.9517E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.3100E-01          NAN          NAN          NAN          NAN          NAN
   5.9684E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.1000E-01          NAN          NAN          NAN          NAN          NAN
   6.0020E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6800E-01          NAN          NAN          NAN          NAN          NAN
   6.1290E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.5700E-01          NAN          NAN          NAN          NAN          NAN
   6.1708E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.3900E-01          NAN          NAN          NAN          NAN          NAN
   6.1840E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.8700E-01          NAN          NAN          NAN          NAN          NAN
   6.2365E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.1100E-01          NAN          NAN          NAN          NAN          NAN
   6.2871E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0100E-01          NAN          NAN          NAN          NAN          NAN
   6.3216E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5400E-01          NAN          NAN          NAN          NAN          NAN
   6.3691E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.6500E+00          NAN          NAN          NAN          NAN          NAN
   6.4531E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.5000E-01          NAN          NAN          NAN          NAN          NAN
   6.4675E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.7800E-01          NAN          NAN          NAN          NAN          NAN
   6.5032E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.6300E-01          NAN          NAN          NAN          NAN          NAN
   6.5240E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.0800E-01          NAN          NAN          NAN          NAN          NAN
   6.5485E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.9900E-01          NAN          NAN          NAN          NAN          NAN
   6.5608E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2990E+00          NAN          NAN          NAN          NAN          NAN
   6.5658E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.3400E-01          NAN          NAN          NAN          NAN          NAN
   6.5841E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0500E-01          NAN          NAN          NAN          NAN          NAN
   6.5998E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.3500E-01          NAN          NAN          NAN          NAN          NAN
   6.6356E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1710E+00          NAN          NAN          NAN          NAN          NAN
   6.6779E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0830E+00          NAN          NAN          NAN          NAN          NAN
   6.6833E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.3900E-01          NAN          NAN          NAN          NAN          NAN
   6.7054E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.7100E-01          NAN          NAN          NAN          NAN          NAN
   6.7136E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.8300E-01          NAN          NAN          NAN          NAN          NAN
   6.7223E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.9300E-01          NAN          NAN          NAN          NAN          NAN
   6.7642E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.8100E-01          NAN          NAN          NAN          NAN          NAN
   6.7756E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.4100E-01          NAN          NAN          NAN          NAN          NAN
   6.7906E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.3900E-01          NAN          NAN          NAN          NAN          NAN
   6.8080E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.2200E-01          NAN          NAN          NAN          NAN          NAN
   6.8471E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.0800E-01          NAN          NAN          NAN          NAN          NAN
   6.9021E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.0400E-01          NAN          NAN          NAN          NAN          NAN
   6.9282E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.2000E-01          NAN          NAN          NAN          NAN          NAN
   6.9389E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8300E-01          NAN          NAN          NAN          NAN          NAN
   6.9475E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8800E-01          NAN          NAN          NAN          NAN          NAN
   7.0180E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.2700E-01          NAN          NAN          NAN          NAN          NAN
   7.0325E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.7200E-01          NAN          NAN          NAN          NAN          NAN
   7.0622E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7600E-01          NAN          NAN          NAN          NAN          NAN
   7.0711E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.4700E-01          NAN          NAN          NAN          NAN          NAN
   7.0865E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.1300E-01          NAN          NAN          NAN          NAN          NAN
   7.1257E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.7400E-01          NAN          NAN          NAN          NAN          NAN
   7.2338E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.4900E-01          NAN          NAN          NAN          NAN          NAN
   7.2586E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E-01          NAN          NAN          NAN          NAN          NAN
   7.2955E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.2000E-01          NAN          NAN          NAN          NAN          NAN
   7.3085E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6800E-01          NAN          NAN          NAN          NAN          NAN
   7.3262E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6900E-01          NAN          NAN          NAN          NAN          NAN
   7.3375E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.9700E-01          NAN          NAN          NAN          NAN          NAN
   7.3444E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.3000E-01          NAN          NAN          NAN          NAN          NAN
   7.3945E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.8800E-01          NAN          NAN          NAN          NAN          NAN
   7.4876E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.3300E-01          NAN          NAN          NAN          NAN          NAN
   7.5365E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5500E-01          NAN          NAN          NAN          NAN          NAN
   7.5509E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.4800E-01          NAN          NAN          NAN          NAN          NAN
   7.5669E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.4200E-01          NAN          NAN          NAN          NAN          NAN
   7.5759E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.7600E-01          NAN          NAN          NAN          NAN          NAN
   7.5964E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.1600E-01          NAN          NAN          NAN          NAN          NAN
   7.6037E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.6800E-01          NAN          NAN          NAN          NAN          NAN
   7.6426E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.7400E-01          NAN          NAN          NAN          NAN          NAN
   7.6660E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.4100E-01          NAN          NAN          NAN          NAN          NAN
   7.6788E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.7400E-01          NAN          NAN          NAN          NAN          NAN
   7.6839E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.9600E-01          NAN          NAN          NAN          NAN          NAN
   7.6912E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.2400E-01          NAN          NAN          NAN          NAN          NAN
   7.7026E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.1200E-01          NAN          NAN          NAN          NAN          NAN
   7.7474E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.9800E-01          NAN          NAN          NAN          NAN          NAN
   7.7591E+06          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.4100E-01          NAN          NAN          NAN          NAN          NAN
