# Header: 
#   Title                 : 47-AG-110-M Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-23 
# EXFOR Bibliographic Information: 
#   First Author          : V.A.Anufriev 
#   Institute             : (4RUSNIR): NIIAR Dimitrovgrad 
#   Reference             : (J,AE,53,29,1982) 
#   Year                  : 1982 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 47 
#   A                     : 110 
#   Nuclide               : 47-AG-110-M 
# Reaction: 
#   entry-subent-pointer  :{0: '40622-006-4', 1: '40622-006-4', 2: '40622-006-4', 3: '40622-006-4', 4: '40622-006-4', 5: '40622-006-4', 6: '40622-006-4', 7: '40622-006-4', 8: '40622-006-4', 9: '40622-006-4', 10: '40622-006-4'} 
#   EXFOR reaction        :{0: '(47-AG-110-M(N,TOT),,WID)', 1: '(47-AG-110-M(N,TOT),,WID)', 2: '(47-AG-110-M(N,TOT),,WID)', 3: '(47-AG-110-M(N,TOT),,WID)', 4: '(47-AG-110-M(N,TOT),,WID)', 5: '(47-AG-110-M(N,TOT),,WID)', 6: '(47-AG-110-M(N,TOT),,WID)', 7: '(47-AG-110-M(N,TOT),,WID)', 8: '(47-AG-110-M(N,TOT),,WID)', 9: '(47-AG-110-M(N,TOT),,WID)', 10: '(47-AG-110-M(N,TOT),,WID)'} 
#   incident energy       : 1.1540e+01 eV - 1.5200e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/406/40622.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40622
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.1540E+01        5.0000E-02        1.3300E-01        4.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.9450E+01        1.3000E-01        2.2400E-01        4.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1200E+01        1.5000E-01        1.6800E-01        3.6000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6500E+01        2.0000E-01        9.0000E-02        1.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.5700E+01        5.0000E-01        1.4800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.8500E+01        7.0000E-01        1.4800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.2500E+01        7.0000E-01        1.4800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.8400E+01        1.1000E+00        1.4800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.8400E+01        1.5000E+00        1.4800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2020E+02        1.9000E+00        1.4800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5200E+02        3.0000E+00        1.4800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
