# Header: 
#   Title                 : 13-AL-27 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10320-002-2 
#   First Author          : G.R.Norman 
#   Institute             : (1CANMCM): McMaster University, Hamilton, Ontario 
#   Reference             : (J,CJP,50,2385,197210) 
#   Year                  : 1972 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 13 
#   A                     : 27 
#   Isomer                :  
#   Nuclide               : 13-AL-27 
# Reaction: 
#   EXFOR Reaction        : (13-AL-27(N,TOT),,WID) 
#   Incident Energy Type   : 7.9000e+05 eV - 3.6200e+06 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/103/10320.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10320
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   7.9000E+05          NAN        NAN        NAN   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.5000E+05          NAN        NAN        NAN   1.0000E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0500E+06          NAN        NAN        NAN   3.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2000E+06          NAN        NAN        NAN   1.0500E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2900E+06          NAN        NAN        NAN   4.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3900E+06          NAN        NAN        NAN   5.8000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4400E+06          NAN        NAN        NAN   8.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5600E+06          NAN        NAN        NAN   6.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6600E+06          NAN        NAN        NAN   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7600E+06          NAN        NAN        NAN   6.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9600E+06          NAN        NAN        NAN   8.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0600E+06          NAN        NAN        NAN   6.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2300E+06          NAN        NAN        NAN   1.4500E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5700E+06          NAN        NAN        NAN   1.3500E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.7200E+06          NAN        NAN        NAN   8.8000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9000E+06          NAN        NAN        NAN   8.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0000E+06          NAN        NAN        NAN   1.0500E+05          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2100E+06          NAN        NAN        NAN   4.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4200E+06          NAN        NAN        NAN   5.5000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6200E+06          NAN        NAN        NAN   5.0000E+04          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
