# Header: 
#   Title                 : 18-AR-40 Resonance Parameter: WID/RED 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : F.T.Seibel Jr 
#   Institute             : (1USADKE): Duke University, Durham, NC 
#   Reference             : (J,DA/B,30,339,6907) 
#   Year                  : 1969 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 18 
#   A                     : 40 
#   Nuclide               : 18-AR-40 
# Reaction: 
#   entry-subent-pointer  :['12683-004-5'] 
#   EXFOR reaction        :['(18-AR-40(N,EL),,WID/RED)'] 
#   incident energy       : 7.7000e+04 eV - 6.2800e+05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/126/12683.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12683
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   7.7000E+04          NAN        4.0        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1600E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7300E+05          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0500E+01          NAN          NAN          NAN          NAN          NAN
   1.8100E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2100E+05          NAN        NAN        0.0          NAN          NAN          NAN          NAN   4.4400E+00          NAN          NAN          NAN          NAN          NAN
   2.5500E+05          NAN        NAN        0.0          NAN          NAN          NAN          NAN   6.8500E+00          NAN          NAN          NAN          NAN          NAN
   2.6800E+05          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.0800E-01          NAN          NAN          NAN          NAN          NAN
   2.7500E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.9700E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0200E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3800E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6050E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.6950E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8800E+05          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.5400E+00          NAN          NAN          NAN          NAN          NAN
   4.0000E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.5600E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6900E+05          NAN        1.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.3100E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.5100E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.6900E+05          NAN        1.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.9300E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.9600E+05          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.6900E+00          NAN          NAN          NAN          NAN          NAN
   6.0500E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.2800E+05          NAN        1.5        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
