# Header: 
#   Title                 : 79-AU-197 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : C.Massimi 
#   Institute             : (2FR FR): France 
#   Reference             : (J,PR/C,81,044616,2010) 
#   Year                  : 2010 
#   Facility              : (SYNCY): Synchro cyclotron 
# Target: 
#   Z                     : 79 
#   A                     : 197 
#   Nuclide               : 79-AU-197 
# Reaction: 
#   entry-subent-pointer  :['23067-006-2' '23067-006-3'] 
#   EXFOR reaction        :['(79-AU-197(N,EL),,WID)' '(79-AU-197(N,G),,WID)'] 
#   incident energy       : 4.9050e+00 eV - 4.8288e+03 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/230/23067.x4 
#   nds                   : https://nds.iaea.org/EXFOR/23067
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   4.9050E+00          NAN        NAN        NAN          NAN          NAN   1.2400E-01          NAN   1.5200E-02          NAN          NAN          NAN          NAN          NAN
   3.6070E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6630E+01          NAN        NAN        NAN          NAN          NAN   1.2800E-01          NAN   2.2000E-04   8.0000E-06          NAN          NAN          NAN          NAN
   5.8020E+01          NAN        NAN        NAN          NAN          NAN   1.1200E-01          NAN   4.4300E-03   5.0000E-05          NAN          NAN          NAN          NAN
   6.0230E+01          NAN        NAN        NAN          NAN          NAN   1.1000E-01          NAN   7.2700E-02   4.0000E-04          NAN          NAN          NAN          NAN
   7.8440E+01          NAN        NAN        NAN          NAN          NAN   1.2000E-01          NAN   1.6600E-02   2.0000E-04          NAN          NAN          NAN          NAN
   1.0700E+02          NAN        NAN        NAN          NAN          NAN   1.1000E-01          NAN   7.9000E-03   1.0000E-04          NAN          NAN          NAN          NAN
   1.2220E+02          NAN        NAN        NAN          NAN          NAN   1.2800E-01          NAN   8.9000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.4430E+02          NAN        NAN        NAN          NAN          NAN   1.2000E-01          NAN   8.8000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   1.5130E+02          NAN        NAN        NAN          NAN          NAN   1.4100E-01   5.0000E-03   2.2700E-02   4.0000E-04          NAN          NAN          NAN          NAN
   1.6290E+02          NAN        NAN        NAN          NAN          NAN   1.7000E-01   7.0000E-03   4.6000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   1.6500E+02          NAN        NAN        NAN          NAN          NAN   1.0900E-01          NAN   9.1000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   1.8990E+02          NAN        NAN        NAN          NAN          NAN   1.3000E-01          NAN   4.8130E-02   9.0000E-04          NAN          NAN          NAN          NAN
   2.0900E+02          NAN        NAN        NAN          NAN          NAN   1.9000E-01   6.0000E-02   8.7000E-04   9.0000E-05          NAN          NAN          NAN          NAN
   2.4040E+02          NAN        NAN        NAN          NAN          NAN   9.8000E-02   7.0000E-03   8.2000E-02   7.0000E-03          NAN          NAN          NAN          NAN
   2.5540E+02          NAN        NAN        NAN          NAN          NAN   1.2000E-01   6.0000E-02   5.8000E-04   9.0000E-05          NAN          NAN          NAN          NAN
   2.6210E+02          NAN        NAN        NAN          NAN          NAN   1.0800E-01   3.0000E-03   1.6700E-01   8.0000E-03          NAN          NAN          NAN          NAN
   2.7370E+02          NAN        NAN        NAN          NAN          NAN   1.1000E-01          NAN   5.0000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   2.9320E+02          NAN        NAN        NAN          NAN          NAN   1.2800E-01   2.0000E-03   3.3600E-01   7.0000E-03          NAN          NAN          NAN          NAN
   3.2920E+02          NAN        NAN        NAN          NAN          NAN   1.3700E-01          NAN   4.2000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   3.3060E+02          NAN        NAN        NAN          NAN          NAN   1.3000E-01          NAN   5.9000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   3.5530E+02          NAN        NAN        NAN          NAN          NAN   1.2500E-01          NAN   3.7800E-02   1.0000E-03          NAN          NAN          NAN          NAN
   3.7090E+02          NAN        NAN        NAN          NAN          NAN   9.9000E-02          NAN   1.0100E-01   4.0000E-03          NAN          NAN          NAN          NAN
   3.7540E+02          NAN        NAN        NAN          NAN          NAN   1.2500E-01          NAN   1.2500E-02   6.0000E-04          NAN          NAN          NAN          NAN
   3.8180E+02          NAN        NAN        NAN          NAN          NAN   9.7000E-02          NAN   7.0000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   4.0010E+02          NAN        NAN        NAN          NAN          NAN   1.2800E-01          NAN   6.4000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   4.0130E+02          NAN        NAN        NAN          NAN          NAN   1.4000E-01          NAN   2.5000E-02   1.0000E-03          NAN          NAN          NAN          NAN
   4.4010E+02          NAN        NAN        NAN          NAN          NAN   1.2900E-01   3.0000E-03   2.8140E-01          NAN          NAN          NAN          NAN          NAN
   4.5080E+02          NAN        NAN        NAN          NAN          NAN   1.1000E-01          NAN   6.7000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   4.7710E+02          NAN        NAN        NAN          NAN          NAN   1.1800E-01   3.0000E-03   2.9610E-01          NAN          NAN          NAN          NAN          NAN
