# Header: 
#   Title                 : 79-AU-197 Resonance Parameter: WID,,RM 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 32856-003-1 
#   First Author          : Xin-Rong Hu 
#   Institute             : (3CPRCPR): China, People's Rep. 
#   Reference             : (J,CNST,32,101,2021) 
#   Year                  : 2021 
#   Facility              : (SYNCH): Synchrotron 
# Target: 
#   Z                     : 79 
#   A                     : 197 
#   Isomer                :  
#   Nuclide               : 79-AU-197 
# Reaction: 
#   EXFOR Reaction        : (79-AU-197(N,G),,WID,,RM) 
#   Incident Energy       : 4.9040e+00 eV - 9.9581e+02 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/328/32856.x4 
#   nds                   : https://nds.iaea.org/EXFOR/32856
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   4.9040E+00          NAN        2.0        0.0          NAN          NAN   1.1900E+08          NAN   1.6010E+07          NAN          NAN          NAN          NAN          NAN
   4.6700E+01          NAN        1.0        0.0          NAN          NAN   1.3200E+08          NAN   1.9000E+05          NAN          NAN          NAN          NAN          NAN
   5.8080E+01          NAN        1.0        0.0          NAN          NAN   1.1170E+08          NAN   4.5500E+06          NAN          NAN          NAN          NAN          NAN
   6.0310E+01          NAN        2.0        0.0          NAN          NAN   1.1350E+08          NAN   8.8800E+07          NAN          NAN          NAN          NAN          NAN
   7.8530E+01          NAN        1.0        0.0          NAN          NAN   1.1850E+08          NAN   2.5590E+07          NAN          NAN          NAN          NAN          NAN
   1.0704E+02          NAN        2.0        0.0          NAN          NAN   1.1020E+08          NAN   1.0310E+07          NAN          NAN          NAN          NAN          NAN
   1.2225E+02          NAN        2.0        0.0          NAN          NAN   1.2800E+08          NAN   7.3000E+05          NAN          NAN          NAN          NAN          NAN
   1.4446E+02          NAN        1.0        0.0          NAN          NAN   1.2100E+08          NAN   3.9000E+06          NAN          NAN          NAN          NAN          NAN
   1.5142E+02          NAN        2.0        0.0          NAN          NAN   1.5000E+08          NAN   3.6150E+07          NAN          NAN          NAN          NAN          NAN
   1.6313E+02          NAN        1.0        0.0          NAN          NAN   1.9700E+08          NAN   6.7880E+07          NAN          NAN          NAN          NAN          NAN
   1.6525E+02          NAN        2.0        0.0          NAN          NAN   1.0900E+08          NAN   7.1700E+06          NAN          NAN          NAN          NAN          NAN
   1.9004E+02          NAN        1.0        0.0          NAN          NAN   1.3200E+08          NAN   5.8980E+07          NAN          NAN          NAN          NAN          NAN
   2.0921E+02          NAN        1.0        0.0          NAN          NAN   1.7800E+08          NAN   4.7300E+05          NAN          NAN          NAN          NAN          NAN
   2.4065E+02          NAN        2.0        0.0          NAN          NAN   9.9600E+07          NAN   7.4170E+07          NAN          NAN          NAN          NAN          NAN
   2.5582E+02          NAN        1.0        0.0          NAN          NAN   1.2400E+08          NAN   2.0400E+05          NAN          NAN          NAN          NAN          NAN
   2.6226E+02          NAN        1.0        0.0          NAN          NAN   1.2900E+08          NAN   3.2560E+08          NAN          NAN          NAN          NAN          NAN
   2.7395E+02          NAN        2.0        0.0          NAN          NAN   1.2100E+08          NAN   1.5800E+06          NAN          NAN          NAN          NAN          NAN
   2.9356E+02          NAN        2.0        0.0          NAN          NAN   1.3570E+08          NAN   5.8720E+08          NAN          NAN          NAN          NAN          NAN
   3.2939E+02          NAN        2.0        0.0          NAN          NAN   1.3700E+08          NAN   3.1560E+07          NAN          NAN          NAN          NAN          NAN
   3.3092E+02          NAN        1.0        0.0          NAN          NAN   1.3000E+08          NAN   4.5190E+07          NAN          NAN          NAN          NAN          NAN
   3.5525E+02          NAN        2.0        0.0          NAN          NAN   1.2500E+08          NAN   2.4460E+07          NAN          NAN          NAN          NAN          NAN
   3.7136E+02          NAN        2.0        0.0          NAN          NAN   1.2100E+08          NAN   2.8970E+08          NAN          NAN          NAN          NAN          NAN
   3.7620E+02          NAN        1.0        0.0          NAN          NAN   1.2100E+08          NAN   4.7700E+06          NAN          NAN          NAN          NAN          NAN
   3.8213E+02          NAN        2.0        0.0          NAN          NAN   9.8000E+07          NAN   4.5150E+07          NAN          NAN          NAN          NAN          NAN
   4.0027E+02          NAN        2.0        0.0          NAN          NAN   1.2800E+08          NAN   6.8300E+06          NAN          NAN          NAN          NAN          NAN
   4.0168E+02          NAN        1.0        0.0          NAN          NAN   1.4000E+08          NAN   1.9350E+07          NAN          NAN          NAN          NAN          NAN
   4.4045E+02          NAN        1.0        0.0          NAN          NAN   1.5000E+08          NAN   6.5050E+08          NAN          NAN          NAN          NAN          NAN
   4.5115E+02          NAN        2.0        0.0          NAN          NAN   1.1100E+08          NAN   2.8140E+07          NAN          NAN          NAN          NAN          NAN
   4.7760E+02          NAN        2.0        0.0          NAN          NAN   1.2400E+08          NAN   9.2700E+08          NAN          NAN          NAN          NAN          NAN
   4.8990E+02          NAN        1.0        0.0          NAN          NAN   1.3800E+08          NAN   1.7680E+07          NAN          NAN          NAN          NAN          NAN
   4.9398E+02          NAN        2.0        0.0          NAN          NAN   1.1000E+08          NAN   1.0360E+07          NAN          NAN          NAN          NAN          NAN
   5.3413E+02          NAN        2.0        0.0          NAN          NAN   1.3000E+08          NAN   9.0100E+06          NAN          NAN          NAN          NAN          NAN
   5.4858E+02          NAN        1.0        0.0          NAN          NAN   1.2800E+08          NAN   1.9450E+07          NAN          NAN          NAN          NAN          NAN
   5.6168E+02          NAN        2.0        0.0          NAN          NAN   1.2800E+08          NAN   3.3600E+06          NAN          NAN          NAN          NAN          NAN
   5.7926E+02          NAN        2.0        0.0          NAN          NAN   1.2660E+08          NAN   6.4720E+08          NAN          NAN          NAN          NAN          NAN
