# Header: 
#   Title                 : 56-BA-135 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 22126-002-2 
#   First Author          : M.Mizumoto 
#   Institute             : (2JPNJAE): Japan Atomic Energy Agency (JAEA) 
#   Reference             : (J,NST,25,757,8810) 
#   Year                  : 1988 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 56 
#   A                     : 135 
#   Isomer                :  
#   Nuclide               : 56-BA-135 
# Reaction: 
#   EXFOR Reaction        : (56-BA-135(N,EL),,WID,,2G) 
#   Incident Energy       : 4.0450e+02 eV - 4.6200e+03 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/221/22126.x4 
#   nds                   : https://nds.iaea.org/EXFOR/22126
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   4.0450E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.2500E-01   6.0000E-03          NAN          NAN          NAN          NAN
   4.3270E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.1000E-02   2.0000E-03          NAN          NAN          NAN          NAN
   4.6510E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.9900E-02   1.9000E-03          NAN          NAN          NAN          NAN
   6.5060E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2900E-01   2.9000E-03          NAN          NAN          NAN          NAN
   6.6710E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   7.2040E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.5000E-02   2.9000E-03          NAN          NAN          NAN          NAN
   8.2930E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.9000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   8.7820E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2820E+00   1.9000E-02          NAN          NAN          NAN          NAN
   8.8970E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.2000E-02   6.0000E-03          NAN          NAN          NAN          NAN
   9.3880E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.2200E-01   1.1000E-02          NAN          NAN          NAN          NAN
   1.0280E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2900E-01   1.0000E-02          NAN          NAN          NAN          NAN
   1.0630E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.5000E-02   8.0000E-03          NAN          NAN          NAN          NAN
   1.1130E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.2000E-02   8.0000E-03          NAN          NAN          NAN          NAN
   1.1510E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7600E-01   1.1000E-02          NAN          NAN          NAN          NAN
   1.1940E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.9300E-01   2.0000E-02          NAN          NAN          NAN          NAN
   1.2220E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.2000E-02   1.0000E-02          NAN          NAN          NAN          NAN
   1.2730E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.1200E-01   1.6000E-02          NAN          NAN          NAN          NAN
   1.3430E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.2000E-02   1.0000E-02          NAN          NAN          NAN          NAN
   1.3540E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.5000E-02   1.1000E-02          NAN          NAN          NAN          NAN
