# Header: 
#   Title                 : 97-BK-249 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10724-002-3 
#   First Author          : R.W.Benjamin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,NSE,85,261,198311) 
#   Year                  : 1983 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 97 
#   A                     : 249 
#   Isomer                :  
#   Nuclide               : 97-BK-249 
# Reaction: 
#   EXFOR Reaction        : (97-BK-249(N,EL),,WID/RED,,2G) 
#   Incident Energy       : -1.6700e-01 eV - 9.8980e+01 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/107/10724.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10724
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
  -1.6700E-01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   6.7900E-05          NAN          NAN          NAN          NAN          NAN
   1.9500E-01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.3200E-04          NAN          NAN          NAN          NAN          NAN
   1.3380E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.5000E-04          NAN          NAN          NAN          NAN          NAN
   1.6000E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.1000E-04          NAN          NAN          NAN          NAN          NAN
   2.1490E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   8.2000E-05          NAN          NAN          NAN          NAN          NAN
   3.1120E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.2000E-05          NAN          NAN          NAN          NAN          NAN
   5.0190E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.1600E-04          NAN          NAN          NAN          NAN          NAN
   6.2810E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   6.6000E-05          NAN          NAN          NAN          NAN          NAN
   7.0430E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.0000E-05          NAN          NAN          NAN          NAN          NAN
   7.9920E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.6200E-04          NAN          NAN          NAN          NAN          NAN
   1.0590E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   4.6000E-05          NAN          NAN          NAN          NAN          NAN
   1.1690E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.7400E-04          NAN          NAN          NAN          NAN          NAN
   1.4290E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.0800E-04          NAN          NAN          NAN          NAN          NAN
   1.5010E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   6.0200E-04          NAN          NAN          NAN          NAN          NAN
   1.5730E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.1000E-04          NAN          NAN          NAN          NAN          NAN
   1.8160E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.7400E-04          NAN          NAN          NAN          NAN          NAN
   1.9020E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0800E-04          NAN          NAN          NAN          NAN          NAN
   1.9850E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.4740E-03          NAN          NAN          NAN          NAN          NAN
   2.1100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.2400E-04          NAN          NAN          NAN          NAN          NAN
   2.4060E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.1200E-04          NAN          NAN          NAN          NAN          NAN
   2.4670E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.7200E-04          NAN          NAN          NAN          NAN          NAN
   3.0240E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.1000E-04          NAN          NAN          NAN          NAN          NAN
   3.0710E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.9600E-04          NAN          NAN          NAN          NAN          NAN
   3.5830E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   4.0200E-04          NAN          NAN          NAN          NAN          NAN
   3.6930E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.8460E-03          NAN          NAN          NAN          NAN          NAN
   4.0310E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.4400E-04          NAN          NAN          NAN          NAN          NAN
