# Header: 
#   Title                 : 6-C-12 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : D.B.Fossan 
#   Institute             : (1USAWIS): University of Wisconsin, Madison, WI 
#   Reference             : (J,PR,123,209,6108) 
#   Year                  : 1961 
#   Facility              : None 
# Target: 
#   Z                     : 6 
#   A                     : 12 
#   Nuclide               : 6-C-12 
# Reaction: 
#   entry-subent-pointer  :{16: '11256-016-0', 17: '11256-016-0', 18: '11256-016-0', 19: '11256-016-0', 20: '11256-016-0', 21: '11256-016-0', 22: '11256-016-0', 23: '11256-016-0', 24: '11256-016-0', 25: '11256-016-0', 26: '11256-016-0'} 
#   EXFOR reaction        :{16: '(6-C-12(N,TOT),,WID)', 17: '(6-C-12(N,TOT),,WID)', 18: '(6-C-12(N,TOT),,WID)', 19: '(6-C-12(N,TOT),,WID)', 20: '(6-C-12(N,TOT),,WID)', 21: '(6-C-12(N,TOT),,WID)', 22: '(6-C-12(N,TOT),,WID)', 23: '(6-C-12(N,TOT),,WID)', 24: '(6-C-12(N,TOT),,WID)', 25: '(6-C-12(N,TOT),,WID)', 26: '(6-C-12(N,TOT),,WID)'} 
#   incident energy       : 3.5000e+00 eV - 1.2100e+01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/112/11256.x4 
#   nds                   : https://nds.iaea.org/EXFOR/11256
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        3.5000E+00               NAN        7.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.3000E+00               NAN        2.2000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.9300E+00               NAN        1.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.3600E+00               NAN        3.0000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.2700E+00               NAN        6.5000E+04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.4000E+00               NAN        2.5000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.7300E+00               NAN        2.0000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.1000E+00               NAN        1.5000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.3000E+00               NAN        3.7000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.1100E+01               NAN        4.5000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.2100E+01               NAN        2.3000E+05               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
