# Header: 
#   Title                 : 48-CD-113 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10527-007-2 
#   First Author          : H.I.Liou 
#   Institute             : (1USACOL): Columbia University, New York, NY 
#   Reference             : (J,PR/C,10,709,197408) 
#   Year                  : 1974 
#   Facility              : (SYNCH): Synchrotron 
# Target: 
#   Z                     : 48 
#   A                     : 113 
#   Isomer                :  
#   Nuclide               : 48-CD-113 
# Reaction: 
#   EXFOR Reaction        : (48-CD-113(N,G),,WID) 
#   Incident Energy       : 1.8400e+01 eV - 1.3640e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/105/10527.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10527
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.8400E+01   3.0000E-02        NAN        NAN          NAN          NAN   9.5000E-02   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   6.3680E+01   9.0000E-02        NAN        NAN          NAN          NAN   8.5000E-02   1.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.4820E+01   7.0000E-02        1.0        NAN          NAN          NAN   1.0500E-01   1.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.0830E+02   1.0000E-01        1.0        NAN          NAN          NAN   9.3000E-02   1.2000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.5872E+02   1.7000E-01        NAN        NAN          NAN          NAN   9.0000E-02   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.9282E+02   1.4000E-01        0.0        NAN          NAN          NAN   1.1000E-01   1.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.1516E+02   2.8000E-01        1.0        NAN          NAN          NAN   1.1000E-01   1.6000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.6103E+02   1.9000E-01        1.0        NAN          NAN          NAN   1.1000E-01   1.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.6926E+02   2.0000E-01        0.0        NAN          NAN          NAN   9.6000E-02   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.1403E+02   3.7000E-01        1.0        NAN          NAN          NAN   1.0000E-01   1.6000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.3194E+02   3.9000E-01        NAN        NAN          NAN          NAN   1.0000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.0089E+02   2.5000E-01        1.0        NAN          NAN          NAN   1.0000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.2466E+02   2.6000E-01        1.0        NAN          NAN          NAN   1.1500E-01   2.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.5159E+02   2.9000E-01        1.0        NAN          NAN          NAN   1.1500E-01   1.8000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   6.3489E+02   3.5000E-01        0.0        NAN          NAN          NAN   9.2000E-02   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   7.2345E+02   4.3000E-01        NAN        NAN          NAN          NAN   8.6000E-02   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.5143E+02   5.5000E-01        1.0        NAN          NAN          NAN   1.2500E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.2673E+03   5.0000E-01        1.0        NAN          NAN          NAN   9.5000E-02   2.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3640E+03   6.0000E-01        1.0        NAN          NAN          NAN   9.0000E-02   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
