# Header: 
#   Title                 : 48-CD-116 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : A.R.De L.Musgrove 
#   Institute             : (3AULAUA): Australian Nuclear Sci.and Techn.Org., Lucas Heights,NSW 
#   Reference             : (J,JP/G,4,771,1978) 
#   Year                  : 1978 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 48 
#   A                     : 116 
#   Nuclide               : 48-CD-116 
# Reaction: 
#   entry-subent-pointer  :{1: '30453-022-3', 2: '30453-022-3', 3: '30453-022-3', 4: '30453-022-3', 5: '30453-022-3', 6: '30453-022-3', 7: '30453-022-3', 8: '30453-022-3', 9: '30453-022-3', 10: '30453-022-3', 11: '30453-022-3', 12: '30453-022-3', 13: '30453-022-3', 14: '30453-022-3', 15: '30453-022-3', 16: '30453-022-3', 17: '30453-022-3', 18: '30453-022-3', 19: '30453-022-3', 20: '30453-022-3', 21: '30453-022-3', 22: '30453-022-3', 23: '30453-022-3', 24: '30453-022-3', 25: '30453-022-3', 26: '30453-022-3', 27: '30453-022-3', 28: '30453-022-3', 29: '30453-022-3', 30: '30453-022-3', 31: '30453-022-3', 32: '30453-022-3', 33: '30453-022-3', 34: '30453-022-3', 35: '30453-022-3', 36: '30453-022-3'} 
#   EXFOR reaction        :{1: '(48-CD-116(N,G),,WID)', 2: '(48-CD-116(N,G),,WID)', 3: '(48-CD-116(N,G),,WID)', 4: '(48-CD-116(N,G),,WID)', 5: '(48-CD-116(N,G),,WID)', 6: '(48-CD-116(N,G),,WID)', 7: '(48-CD-116(N,G),,WID)', 8: '(48-CD-116(N,G),,WID)', 9: '(48-CD-116(N,G),,WID)', 10: '(48-CD-116(N,G),,WID)', 11: '(48-CD-116(N,G),,WID)', 12: '(48-CD-116(N,G),,WID)', 13: '(48-CD-116(N,G),,WID)', 14: '(48-CD-116(N,G),,WID)', 15: '(48-CD-116(N,G),,WID)', 16: '(48-CD-116(N,G),,WID)', 17: '(48-CD-116(N,G),,WID)', 18: '(48-CD-116(N,G),,WID)', 19: '(48-CD-116(N,G),,WID)', 20: '(48-CD-116(N,G),,WID)', 21: '(48-CD-116(N,G),,WID)', 22: '(48-CD-116(N,G),,WID)', 23: '(48-CD-116(N,G),,WID)', 24: '(48-CD-116(N,G),,WID)', 25: '(48-CD-116(N,G),,WID)', 26: '(48-CD-116(N,G),,WID)', 27: '(48-CD-116(N,G),,WID)', 28: '(48-CD-116(N,G),,WID)', 29: '(48-CD-116(N,G),,WID)', 30: '(48-CD-116(N,G),,WID)', 31: '(48-CD-116(N,G),,WID)', 32: '(48-CD-116(N,G),,WID)', 33: '(48-CD-116(N,G),,WID)', 34: '(48-CD-116(N,G),,WID)', 35: '(48-CD-116(N,G),,WID)', 36: '(48-CD-116(N,G),,WID)'} 
#   incident energy       : 2.6520e+03 eV - 8.8250e+03 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/304/30453.x4 
#   nds                   : https://nds.iaea.org/EXFOR/30453
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        2.6520E+03               NAN               NAN               NAN        7.6000E-02        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        3.3580E+03               NAN               NAN               NAN        6.5000E-02        4.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        3.6520E+03               NAN               NAN               NAN        5.0000E-02        3.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        4.2080E+03               NAN               NAN               NAN        6.1000E-02        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        4.6150E+03               NAN               NAN               NAN        7.6000E-02        4.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        4.8740E+03               NAN               NAN               NAN        4.4000E-02        4.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        5.0750E+03               NAN               NAN               NAN        9.4000E-02        6.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        5.3000E+03               NAN               NAN               NAN        3.7000E-02        3.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        7.3500E+03               NAN               NAN               NAN        8.0000E-02        5.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0
        8.8250E+03               NAN               NAN               NAN        4.4000E-02        5.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
