# Header: 
#   Title                 : 98-CF-249 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : R.W.Benjamin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,NSE,85,261,198311) 
#   Year                  : 1983 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 98 
#   A                     : 249 
#   Nuclide               : 98-CF-249 
# Reaction: 
#   entry-subent-pointer  :{55: '10724-003-2', 56: '10724-003-2', 57: '10724-003-2', 58: '10724-003-2', 59: '10724-003-2', 60: '10724-003-2', 61: '10724-003-2', 62: '10724-003-2', 63: '10724-003-2', 64: '10724-003-2', 65: '10724-003-2', 66: '10724-003-2', 67: '10724-003-2', 68: '10724-003-2', 69: '10724-003-2', 70: '10724-003-2', 71: '10724-003-2', 72: '10724-003-2', 73: '10724-003-2', 74: '10724-003-2', 75: '10724-003-2', 76: '10724-003-2', 77: '10724-003-2', 78: '10724-003-2', 79: '10724-003-2', 80: '10724-003-2', 81: '10724-003-2', 82: '10724-003-2', 83: '10724-003-2', 84: '10724-003-2', 85: '10724-003-2', 86: '10724-003-2', 87: '10724-003-2', 88: '10724-003-2', 89: '10724-003-2', 90: '10724-003-2', 91: '10724-003-2', 92: '10724-003-2', 93: '10724-003-2', 94: '10724-003-2', 95: '10724-003-2', 96: '10724-003-2', 97: '10724-003-2', 98: '10724-003-2', 99: '10724-003-2', 100: '10724-003-2', 101: '10724-003-2', 102: '10724-003-2', 103: '10724-003-2', 104: '10724-003-2', 105: '10724-003-2', 106: '10724-003-2', 107: '10724-003-2', 108: '10724-003-2', 109: '10724-003-2'} 
#   EXFOR reaction        :{55: '(98-CF-249(N,F),,WID)', 56: '(98-CF-249(N,F),,WID)', 57: '(98-CF-249(N,F),,WID)', 58: '(98-CF-249(N,F),,WID)', 59: '(98-CF-249(N,F),,WID)', 60: '(98-CF-249(N,F),,WID)', 61: '(98-CF-249(N,F),,WID)', 62: '(98-CF-249(N,F),,WID)', 63: '(98-CF-249(N,F),,WID)', 64: '(98-CF-249(N,F),,WID)', 65: '(98-CF-249(N,F),,WID)', 66: '(98-CF-249(N,F),,WID)', 67: '(98-CF-249(N,F),,WID)', 68: '(98-CF-249(N,F),,WID)', 69: '(98-CF-249(N,F),,WID)', 70: '(98-CF-249(N,F),,WID)', 71: '(98-CF-249(N,F),,WID)', 72: '(98-CF-249(N,F),,WID)', 73: '(98-CF-249(N,F),,WID)', 74: '(98-CF-249(N,F),,WID)', 75: '(98-CF-249(N,F),,WID)', 76: '(98-CF-249(N,F),,WID)', 77: '(98-CF-249(N,F),,WID)', 78: '(98-CF-249(N,F),,WID)', 79: '(98-CF-249(N,F),,WID)', 80: '(98-CF-249(N,F),,WID)', 81: '(98-CF-249(N,F),,WID)', 82: '(98-CF-249(N,F),,WID)', 83: '(98-CF-249(N,F),,WID)', 84: '(98-CF-249(N,F),,WID)', 85: '(98-CF-249(N,F),,WID)', 86: '(98-CF-249(N,F),,WID)', 87: '(98-CF-249(N,F),,WID)', 88: '(98-CF-249(N,F),,WID)', 89: '(98-CF-249(N,F),,WID)', 90: '(98-CF-249(N,F),,WID)', 91: '(98-CF-249(N,F),,WID)', 92: '(98-CF-249(N,F),,WID)', 93: '(98-CF-249(N,F),,WID)', 94: '(98-CF-249(N,F),,WID)', 95: '(98-CF-249(N,F),,WID)', 96: '(98-CF-249(N,F),,WID)', 97: '(98-CF-249(N,F),,WID)', 98: '(98-CF-249(N,F),,WID)', 99: '(98-CF-249(N,F),,WID)', 100: '(98-CF-249(N,F),,WID)', 101: '(98-CF-249(N,F),,WID)', 102: '(98-CF-249(N,F),,WID)', 103: '(98-CF-249(N,F),,WID)', 104: '(98-CF-249(N,F),,WID)', 105: '(98-CF-249(N,F),,WID)', 106: '(98-CF-249(N,F),,WID)', 107: '(98-CF-249(N,F),,WID)', 108: '(98-CF-249(N,F),,WID)', 109: '(98-CF-249(N,F),,WID)'} 
#   incident energy       : 7.0000e-01 eV - 8.9800e+01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/107/10724.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10724
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        7.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.2700E-01               NAN               NAN               NAN               NAN               0.0
        3.8800E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN        4.6000E-02               NAN               NAN               NAN               NAN               0.0
        5.0700E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.4500E-01               NAN               NAN               NAN               NAN               0.0
        7.5100E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN        6.2000E-02               NAN               NAN               NAN               NAN               0.0
        8.6500E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.2500E-01               NAN               NAN               NAN               NAN               0.0
        9.5100E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.1900E-01               NAN               NAN               NAN               NAN               0.0
        1.0360E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.7300E-01               NAN               NAN               NAN               NAN               0.0
        1.1880E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        3.5000E-02               NAN               NAN               NAN               NAN               0.0
        1.3520E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.6100E-01               NAN               NAN               NAN               NAN               0.0
        1.3710E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.9800E-01               NAN               NAN               NAN               NAN               0.0
        1.6030E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        3.6600E-01               NAN               NAN               NAN               NAN               0.0
        1.6790E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.8500E-01               NAN               NAN               NAN               NAN               0.0
        1.7510E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        3.0000E-02               NAN               NAN               NAN               NAN               0.0
        1.8950E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        5.0000E-02               NAN               NAN               NAN               NAN               0.0
        2.1320E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.6400E-01               NAN               NAN               NAN               NAN               0.0
        2.1650E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.2200E-01               NAN               NAN               NAN               NAN               0.0
        2.3410E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.2500E-01               NAN               NAN               NAN               NAN               0.0
        2.6000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        4.2300E-01               NAN               NAN               NAN               NAN               0.0
        2.7640E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        4.4000E-02               NAN               NAN               NAN               NAN               0.0
        2.8150E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        7.0000E-02               NAN               NAN               NAN               NAN               0.0
        2.8700E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.0000E-01               NAN               NAN               NAN               NAN               0.0
        3.0370E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        5.1000E-02               NAN               NAN               NAN               NAN               0.0
        3.1000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        3.0000E-01               NAN               NAN               NAN               NAN               0.0
        3.1500E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.0000E-01               NAN               NAN               NAN               NAN               0.0
        3.3390E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        3.2600E-01               NAN               NAN               NAN               NAN               0.0
        3.6350E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        9.7000E-02               NAN               NAN               NAN               NAN               0.0
        3.7110E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.4900E-01               NAN               NAN               NAN               NAN               0.0
        3.7560E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.9000E-01               NAN               NAN               NAN               NAN               0.0
        3.8100E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.0000E-01               NAN               NAN               NAN               NAN               0.0
        3.9880E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.6900E-01               NAN               NAN               NAN               NAN               0.0
        4.0300E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        2.2200E-01               NAN               NAN               NAN               NAN               0.0
        4.3090E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        1.0000E-01               NAN               NAN               NAN               NAN               0.0
        4.5780E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        9.5000E-02               NAN               NAN               NAN               NAN               0.0
        4.7700E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN        5.0000E-01               NAN               NAN               NAN               NAN               0.0
