# Header: 
#   Title                 : 96-CM-247 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10121-009-2 
#   First Author          : M.S.Moore 
#   Institute             : (1USALAS): Los Alamos National Laboratory, NM 
#   Reference             : (J,PR/C,3,1656,197104) 
#   Year                  : 1971 
#   Facility              : None 
# Target: 
#   Z                     : 96 
#   A                     : 247 
#   Isomer                :  
#   Nuclide               : 96-CM-247 
# Reaction: 
#   EXFOR Reaction        : (96-CM-247(N,EL),,WID/RED,,2G) 
#   Incident Energy       : 2.1300e+01 eV - 5.9660e+01 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/101/10121.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10121
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.1300E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.7000E-05          NAN          NAN          NAN          NAN          NAN
   2.4030E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.0000E-06          NAN          NAN          NAN          NAN          NAN
   2.5350E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-06          NAN          NAN          NAN          NAN          NAN
   2.6190E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.0000E-06          NAN          NAN          NAN          NAN          NAN
   2.8040E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.1000E-05          NAN          NAN          NAN          NAN          NAN
   3.0250E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   6.2700E-04          NAN          NAN          NAN          NAN          NAN
   3.0620E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.4000E-05          NAN          NAN          NAN          NAN          NAN
   3.2230E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   8.9000E-05          NAN          NAN          NAN          NAN          NAN
   3.6360E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.7000E-04          NAN          NAN          NAN          NAN          NAN
   3.7740E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   4.0000E-06          NAN          NAN          NAN          NAN          NAN
   3.7760E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.1700E-04          NAN          NAN          NAN          NAN          NAN
   3.9520E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-06          NAN          NAN          NAN          NAN          NAN
   3.9950E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.5000E-05          NAN          NAN          NAN          NAN          NAN
   4.0610E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.0000E-06          NAN          NAN          NAN          NAN          NAN
   4.1250E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0300E-04          NAN          NAN          NAN          NAN          NAN
   4.1760E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-06          NAN          NAN          NAN          NAN          NAN
   4.3390E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.9000E-05          NAN          NAN          NAN          NAN          NAN
   4.4870E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.1300E-04          NAN          NAN          NAN          NAN          NAN
   4.5210E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   8.6000E-05          NAN          NAN          NAN          NAN          NAN
   4.7920E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.6900E-04          NAN          NAN          NAN          NAN          NAN
   4.8850E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.7300E-04          NAN          NAN          NAN          NAN          NAN
   5.0080E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.3400E-04          NAN          NAN          NAN          NAN          NAN
   5.0690E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   4.4700E-04          NAN          NAN          NAN          NAN          NAN
   5.1780E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.3100E-04          NAN          NAN          NAN          NAN          NAN
   5.2190E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.7500E-04          NAN          NAN          NAN          NAN          NAN
   5.3630E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   6.2000E-05          NAN          NAN          NAN          NAN          NAN
   5.5100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   7.2000E-05          NAN          NAN          NAN          NAN          NAN
   5.6180E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   8.8000E-05          NAN          NAN          NAN          NAN          NAN
   5.9660E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.0370E-03          NAN          NAN          NAN          NAN          NAN
