# Header: 
#   Title                 : 24-CR-53 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10074-012-2 
#   First Author          : R.G.Stieglitz 
#   Institute             : (1USARPI): Rensselaer Polytechnic Institute, Troy, NY 
#   Reference             : (J,NP/A,163,592,1971) 
#   Year                  : 1971 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 24 
#   A                     : 53 
#   Isomer                :  
#   Nuclide               : 24-CR-53 
# Reaction: 
#   EXFOR Reaction        : (24-CR-53(N,EL),,WID) 
#   Incident Energy       : 4.1850e+03 eV - 1.7600e+05 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/100/10074.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10074
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   4.1850E+03   1.5000E+01        1.0        0.0          NAN          NAN   3.2300E+00   4.5000E-01   1.5200E+03   8.0000E+01          NAN          NAN          NAN          NAN
   5.6700E+03   2.5000E+01        2.0        0.0          NAN          NAN   1.3300E+00   2.0000E-01   2.2000E+02   1.5000E+01          NAN          NAN          NAN          NAN
   6.7400E+03   3.5000E+01        1.0        0.0          NAN          NAN   5.2800E+00   8.0000E-01   1.2000E+03   1.0000E+02          NAN          NAN          NAN          NAN
   8.1800E+03   4.5000E+01        2.0        0.0          NAN          NAN   3.2500E+00   4.7000E-01   1.0300E+03   9.0000E+01          NAN          NAN          NAN          NAN
   1.9750E+04   6.0000E+01        2.0        0.0          NAN          NAN   7.8000E-01   9.0000E-02   1.0700E+02   1.5000E+01          NAN          NAN          NAN          NAN
   2.5950E+04   8.0000E+01        2.0        0.0          NAN          NAN   6.1000E-01   7.0000E-02   2.3500E+02   2.0000E+01          NAN          NAN          NAN          NAN
   2.7240E+04   9.0000E+01        1.0        0.0          NAN          NAN   1.5700E+00   1.7000E-01   7.6000E+02   7.0000E+01          NAN          NAN          NAN          NAN
   2.9570E+04   1.0000E+02        2.0        0.0          NAN          NAN   1.2100E+00   1.4000E-01   3.6000E+02   3.5000E+01          NAN          NAN          NAN          NAN
   6.6100E+04   4.0000E+02        2.0        0.0          NAN          NAN   8.0000E-01   1.0000E-01   5.1000E+03   7.0000E+02          NAN          NAN          NAN          NAN
   7.4600E+04   5.0000E+02        2.0        0.0          NAN          NAN          NAN          NAN   1.0000E+03   1.0000E+02          NAN          NAN          NAN          NAN
   8.7700E+04   6.0000E+02        1.0        0.0          NAN          NAN          NAN          NAN   4.2000E+03   4.2000E+02          NAN          NAN          NAN          NAN
   9.5500E+04   7.0000E+02        1.0        0.0          NAN          NAN          NAN          NAN   3.4000E+02   4.0000E+01          NAN          NAN          NAN          NAN
   1.0900E+05   9.0000E+02        1.0        0.0          NAN          NAN          NAN          NAN   1.4500E+03   2.0000E+02          NAN          NAN          NAN          NAN
   1.6170E+05   1.6000E+03        2.0        0.0          NAN          NAN          NAN          NAN   2.4000E+03   3.0000E+02          NAN          NAN          NAN          NAN
   1.7600E+05   1.7000E+03        2.0        0.0          NAN          NAN          NAN          NAN   1.7000E+03   2.0000E+02          NAN          NAN          NAN          NAN
