# Header: 
#   Title                 : 55-CS-133 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : J.A.Harvey 
#   Institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
#   Reference             : (J,PR,99,10,5507) 
#   Year                  : 1955 
#   Facility              : (CHOPF): Fast chopper 
# Target: 
#   Z                     : 55 
#   A                     : 133 
#   Nuclide               : 55-CS-133 
# Reaction: 
#   entry-subent-pointer  :['11912-032-2'] 
#   EXFOR reaction        :['(55-CS-133(N,EL),,WID)'] 
#   incident energy       : 2.2600e+01 eV - 5.3000e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/119/11912.x4 
#   nds                   : https://nds.iaea.org/EXFOR/11912
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 2.2600E+01 3.0000E-01        NAN        0.0        NAN        NAN        NAN        NAN 6.6000E-03 1.1000E-03        NAN        NAN
 2.2600E+01 6.0000E-01        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 1.5000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 1.8000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 2.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 3.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 4.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 5.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 6.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 7.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 1.0000E+01        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 1.4000E+01        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 1.6000E+01        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 1.9000E+01        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.2600E+01 2.5000E+01        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 3.0000E-01        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 6.0000E-01        NAN        0.0        NAN        NAN        NAN        NAN 1.9000E-02 3.0000E-03        NAN        NAN
 4.7800E+01 1.5000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 1.8000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 2.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 3.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 4.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 5.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7800E+01 6.0000E+00        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
