# Header: 
#   Title                 : 29-CU-63 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 11626-008-3 
#   First Author          : W.M.Good 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PR,151,912,1966) 
#   Year                  : 1966 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 29 
#   A                     : 63 
#   Isomer                :  
#   Nuclide               : 29-CU-63 
# Reaction: 
#   EXFOR Reaction        : (29-CU-63(N,EL),,WID/RED,,2G) 
#   Incident Energy       : 2.6300e+03 eV - 4.2200e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/116/11626.x4 
#   nds                   : https://nds.iaea.org/EXFOR/11626
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.6300E+03   5.2600E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.3000E-01   3.9000E-02          NAN          NAN          NAN          NAN
   4.8000E+03   9.6000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.3000E-01   3.9000E-02          NAN          NAN          NAN          NAN
   5.3100E+03   1.0620E+02        NAN        0.0          NAN          NAN          NAN          NAN   3.9000E-01   1.1700E-01          NAN          NAN          NAN          NAN
   5.7900E+03   1.1580E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.8000E-01   5.4000E-02          NAN          NAN          NAN          NAN
   7.6400E+03   1.5280E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-01   3.0000E-02          NAN          NAN          NAN          NAN
   7.9800E+03   1.5960E+02        NAN        0.0          NAN          NAN          NAN          NAN   7.7000E-01   2.3100E-01          NAN          NAN          NAN          NAN
   9.2100E+03   1.8420E+02        NAN        0.0          NAN          NAN          NAN          NAN   4.4000E-01   1.3200E-01          NAN          NAN          NAN          NAN
   9.9500E+03   1.9900E+02        NAN        0.0          NAN          NAN          NAN          NAN   6.1000E-01   1.8300E-01          NAN          NAN          NAN          NAN
   1.0900E+04   2.1800E+02        NAN        0.0          NAN          NAN          NAN          NAN   6.5000E-01   1.9500E-01          NAN          NAN          NAN          NAN
   1.2400E+04   2.4800E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.2000E-01   3.6000E-02          NAN          NAN          NAN          NAN
   1.3000E+04   2.6000E+02        NAN        0.0          NAN          NAN          NAN          NAN   5.9000E-01   1.7700E-01          NAN          NAN          NAN          NAN
   1.3700E+04   2.7400E+02        NAN        0.0          NAN          NAN          NAN          NAN   4.2000E-01   1.2600E-01          NAN          NAN          NAN          NAN
   1.4900E+04   2.9800E+02        NAN        0.0          NAN          NAN          NAN          NAN   2.8000E-01   8.4000E-02          NAN          NAN          NAN          NAN
   1.5600E+04   3.1200E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.8000E-01   5.4000E-02          NAN          NAN          NAN          NAN
   1.6100E+04   3.2200E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-01   3.0000E-02          NAN          NAN          NAN          NAN
   1.7800E+04   3.5600E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.4700E+00   4.4100E-01          NAN          NAN          NAN          NAN
   1.9400E+04          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0900E+04   4.1800E+02        NAN        0.0          NAN          NAN          NAN          NAN   2.0900E+00   6.2700E-01          NAN          NAN          NAN          NAN
   2.2700E+04   4.5400E+02        NAN        0.0          NAN          NAN          NAN          NAN   9.5000E-01   2.8500E-01          NAN          NAN          NAN          NAN
   2.4800E+04   4.9600E+02        NAN        0.0          NAN          NAN          NAN          NAN   4.8000E-01   1.4400E-01          NAN          NAN          NAN          NAN
   2.5600E+04   5.1200E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.2900E+00   3.8700E-01          NAN          NAN          NAN          NAN
   2.6500E+04   5.3000E+02        NAN        0.0          NAN          NAN          NAN          NAN   7.4000E-01   2.2200E-01          NAN          NAN          NAN          NAN
   2.8200E+04   5.6400E+02        NAN        0.0          NAN          NAN          NAN          NAN   3.1000E-01   9.3000E-02          NAN          NAN          NAN          NAN
   2.9300E+04   5.8600E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.4100E+00   4.2300E-01          NAN          NAN          NAN          NAN
   3.1200E+04   6.2400E+02        NAN        0.0          NAN          NAN          NAN          NAN   5.4000E-01   1.6200E-01          NAN          NAN          NAN          NAN
   3.3200E+04   6.6400E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.7800E+00   5.3400E-01          NAN          NAN          NAN          NAN
   3.6400E+04   7.2800E+02        NAN        0.0          NAN          NAN          NAN          NAN   1.6100E+00   4.8300E-01          NAN          NAN          NAN          NAN
   4.2200E+04   8.4400E+02        NAN        0.0          NAN          NAN          NAN          NAN   2.6600E+00   7.9800E-01          NAN          NAN          NAN          NAN
