# Header: 
#   Title                 : 66-DY-156 Resonance Parameter: WID/RED 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 40097-005-0 
#   First Author          : V.P.Vertebny 
#   Institute             : (4UKRIFU): Institute Fiziki Ukrainskoi A.N., Kiev 
#   Reference             : (J,UFZ,14,1810,1969) 
#   Year                  : 1969 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 66 
#   A                     : 156 
#   Isomer                :  
#   Nuclide               : 66-DY-156 
# Reaction: 
#   EXFOR Reaction        : (66-DY-156(N,EL),,WID/RED) 
#   Incident Energy Type   : 2.1500e+00 eV - 9.0700e+01 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/400/40097.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40097
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.1500E+00   2.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   1.4000E-04          NAN          NAN          NAN          NAN          NAN
   3.2100E+00   1.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   4.5000E-04   1.1000E-04          NAN          NAN          NAN          NAN
   9.1900E+00   4.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   1.9000E-04   1.5000E-04          NAN          NAN          NAN          NAN
   1.5200E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   1.7400E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   5.0000E-05          NAN          NAN          NAN          NAN
   1.7700E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   1.9600E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.1000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   2.4500E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   4.8000E-04          NAN          NAN          NAN          NAN          NAN
   2.7400E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   8.0000E-05          NAN          NAN          NAN          NAN
   2.8100E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   8.0000E-05          NAN          NAN          NAN          NAN
   2.9300E+01   2.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.6000E-03          NAN          NAN          NAN          NAN          NAN
   3.6000E+01   3.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.5000E-03          NAN          NAN          NAN          NAN          NAN
   4.6900E+01   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-03          NAN          NAN          NAN          NAN          NAN
   5.2000E+01   6.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-03          NAN          NAN          NAN          NAN          NAN
   6.8600E+01   6.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   6.5000E-03          NAN          NAN          NAN          NAN          NAN
   8.5500E+01   1.2000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.7000E-03          NAN          NAN          NAN          NAN          NAN
   9.0700E+01   1.4000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.0000E-03          NAN          NAN          NAN          NAN          NAN
