# Header: 
#   Title                 : 68-ER-168 Resonance Parameter: WID/RED,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10591-011-3 
#   First Author          : H.I.Liou 
#   Institute             : (1USACOL): Columbia University, New York, NY 
#   Reference             : (J,PR/C,5,974,197203) 
#   Year                  : 1972 
#   Facility              : (SYNCY): Synchro cyclotron 
# Target: 
#   Z                     : 68 
#   A                     : 168 
#   Isomer                :  
#   Nuclide               : 68-ER-168 
# Reaction: 
#   EXFOR Reaction        : (68-ER-168(N,EL),,WID/RED,,G) 
#   Incident Energy       : 1.3958e+02 eV - 4.4768e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/105/10591.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10591
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.3958E+02   1.2000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.3000E-02   8.0000E-03          NAN          NAN          NAN          NAN
   1.4571E+02   1.2000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.2000E-02   1.0000E-02          NAN          NAN          NAN          NAN
   1.7429E+02   1.6000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.3000E-02   1.1000E-02          NAN          NAN          NAN          NAN
   2.9667E+02   3.6000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.0000E-02   1.1000E-02          NAN          NAN          NAN          NAN
   3.3547E+02   4.3000E-01        NAN        1.0          NAN          NAN          NAN          NAN   4.8000E-02   3.1000E-02          NAN          NAN          NAN          NAN
   5.8743E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.2000E-02   1.0000E-02          NAN          NAN          NAN          NAN
   6.9146E+02   6.4000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.9000E-02   1.2000E-02          NAN          NAN          NAN          NAN
   9.8573E+02   1.0800E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.3000E-02   1.4000E-02          NAN          NAN          NAN          NAN
   9.9061E+02   1.0900E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.8000E-02   1.6000E-02          NAN          NAN          NAN          NAN
   1.0224E+03   1.2000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.8000E-02   1.3000E-02          NAN          NAN          NAN          NAN
   1.1061E+03   1.3000E+00        NAN        1.0          NAN          NAN          NAN          NAN   3.7000E-02   1.9000E-02          NAN          NAN          NAN          NAN
   1.1932E+03   1.5000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.9000E-02   1.3000E-02          NAN          NAN          NAN          NAN
   1.2077E+03   1.5000E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.2000E-02   1.3000E-02          NAN          NAN          NAN          NAN
   1.6364E+03   2.3000E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.3000E-02   1.3000E-02          NAN          NAN          NAN          NAN
   1.6813E+03   2.4000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E-02   1.2000E-02          NAN          NAN          NAN          NAN
   2.1006E+03   3.4000E+00        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E-02   1.5000E-02          NAN          NAN          NAN          NAN
   2.3259E+03   3.9000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.3000E-02   1.1000E-02          NAN          NAN          NAN          NAN
   2.4566E+03   4.3000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E-02   1.2000E-02          NAN          NAN          NAN          NAN
   2.9005E+03   5.5000E+00        NAN        1.0          NAN          NAN          NAN          NAN   4.7000E-02   2.7000E-02          NAN          NAN          NAN          NAN
   3.0274E+03   5.8000E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.9000E-02   1.9000E-02          NAN          NAN          NAN          NAN
   3.2028E+03   6.3000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.6000E-02   1.0000E-02          NAN          NAN          NAN          NAN
   3.8499E+03   4.2000E+00        NAN        1.0          NAN          NAN          NAN          NAN   2.1000E-02   1.2000E-02          NAN          NAN          NAN          NAN
   4.1270E+03   4.7000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.7000E-02   1.4000E-02          NAN          NAN          NAN          NAN
   4.4768E+03   5.3000E+00        NAN        1.0          NAN          NAN          NAN          NAN   1.6000E-02   1.2000E-02          NAN          NAN          NAN          NAN
