# Header: 
#   Title                 : 63-EU-153 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 12224-003-2 
#   First Author          : R.L.Zimmerman 
#   Institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
#   Reference             : (W,ZIMMERMAN,56) 
#   Year                  : 1956 
#   Facility              : (CHOPF): Fast chopper 
# Target: 
#   Z                     : 63 
#   A                     : 153 
#   Isomer                :  
#   Nuclide               : 63-EU-153 
# Reaction: 
#   EXFOR Reaction        : (63-EU-153(N,EL),,WID/RED,,2G) 
#   Incident Energy       : 4.7500e+00 eV - 2.4100e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/122/12224.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12224
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   4.7500E+00   5.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   3.0000E-05          NAN          NAN          NAN          NAN
   6.2500E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.6000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   8.9200E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0800E-03   3.0000E-04          NAN          NAN          NAN          NAN
   1.1700E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.0800E-03   8.0000E-05          NAN          NAN          NAN          NAN
   1.3300E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.5000E-05   3.0000E-05          NAN          NAN          NAN          NAN
   1.6300E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   5.9000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   1.6800E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.7000E-04   5.0000E-05          NAN          NAN          NAN          NAN
   1.8100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   8.2000E-04   2.0000E-04          NAN          NAN          NAN          NAN
   1.8800E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.0000E-04   1.8000E-04          NAN          NAN          NAN          NAN
   2.0100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.6000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   2.1100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.3000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   2.2600E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   2.4100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   6.1000E-04   1.5000E-04          NAN          NAN          NAN          NAN
