# Header: 
#   Title                 : 63-EU-153 Resonance Parameter: WID,,RM 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 23416-005-2 
#   First Author          : J.Lee 
#   Institute             : (2JPNKTO): Kyoto University , Kyoto 
#   Reference             : (J,NST,55,900,2018) 
#   Year                  : 2018 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 63 
#   A                     : 153 
#   Isomer                :  
#   Nuclide               : 63-EU-153 
# Reaction: 
#   EXFOR Reaction        : (63-EU-153(N,G),,WID,,RM) 
#   Incident Energy       : 1.7200e+00 eV - 2.0010e+01 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/234/23416.x4 
#   nds                   : https://nds.iaea.org/EXFOR/23416
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.7200E+00   1.0000E-02        NAN        NAN          NAN          NAN   1.0842E-01   6.2800E-03   5.0000E-05   1.0000E-05          NAN          NAN          NAN          NAN
   2.4600E+00   1.0000E-02        NAN        NAN          NAN          NAN   1.3754E-01   1.8600E-03   8.2000E-04   1.0000E-05          NAN          NAN          NAN          NAN
   3.2900E+00   1.0000E-02        NAN        NAN          NAN          NAN   1.2694E-01   2.6500E-03   9.5000E-04   1.0000E-05          NAN          NAN          NAN          NAN
   3.9400E+00   1.0000E-02        NAN        NAN          NAN          NAN   1.2643E-01   2.9100E-03   8.0000E-04   1.0000E-05          NAN          NAN          NAN          NAN
   4.8000E+00   1.0000E-02        NAN        NAN          NAN          NAN   1.0054E-01   9.7700E-03   5.0000E-05   1.0000E-05          NAN          NAN          NAN          NAN
   6.1500E+00   1.0000E-02        NAN        NAN          NAN          NAN   1.4240E-01   6.3200E-03   5.6000E-04   1.0000E-05          NAN          NAN          NAN          NAN
   8.8500E+00   1.0000E-02        NAN        NAN          NAN          NAN   1.4432E-01   4.0000E-03   2.7300E-03   4.0000E-05          NAN          NAN          NAN          NAN
   1.1610E+01   1.0000E-02        NAN        NAN          NAN          NAN   1.4696E-01   4.9700E-03   3.1500E-03   5.0000E-05          NAN          NAN          NAN          NAN
   1.2400E+01   2.0000E-02        NAN        NAN          NAN          NAN   9.1340E-02   9.0500E-03   1.3000E-04   1.0000E-05          NAN          NAN          NAN          NAN
   1.3200E+01   2.0000E-02        NAN        NAN          NAN          NAN   1.0252E-01   9.8400E-03   3.1000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.5270E+01   2.0000E-02        NAN        NAN          NAN          NAN   9.9170E-02   9.7200E-03   3.9000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   1.6330E+01   9.0000E-02        NAN        NAN          NAN          NAN   9.6130E-02   9.6100E-03   2.0000E-05   1.0000E-05          NAN          NAN          NAN          NAN
   1.6700E+01   1.0000E-02        NAN        NAN          NAN          NAN   1.0673E-01   8.1700E-03   1.2100E-03   5.0000E-05          NAN          NAN          NAN          NAN
   1.7500E+01   2.0000E-02        NAN        NAN          NAN          NAN   9.9360E-02   9.6300E-03   4.3000E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.8010E+01   1.0000E-02        NAN        NAN          NAN          NAN   1.1437E-01   6.8700E-03   3.6300E-03   9.0000E-05          NAN          NAN          NAN          NAN
   1.8750E+01   1.0000E-02        NAN        NAN          NAN          NAN   1.1441E-01   8.1700E-03   3.2800E-03   1.0000E-04          NAN          NAN          NAN          NAN
   2.0010E+01   1.0000E-02        NAN        NAN          NAN          NAN   1.6242E-01   5.8300E-03   1.3910E-02   2.4000E-04          NAN          NAN          NAN          NAN
