# Header: 
#   Title                 : 9-F-19 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 11122-005-0 
#   First Author          : C.T.Hibdon 
#   Institute             : (1USAANL): Argonne National Laboratory, Argonne, IL 
#   Reference             : (J,PR,133,B353,1964) 
#   Year                  : 1964 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 9 
#   A                     : 19 
#   Isomer                :  
#   Nuclide               : 9-F-19 
# Reaction: 
#   EXFOR Reaction        : (9-F-19(N,TOT),,WID) 
#   Incident Energy Type   : 2.7350e+04 eV - 2.6770e+05 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/111/11122.x4 
#   nds                   : https://nds.iaea.org/EXFOR/11122
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.7350E+04   2.0000E+02        NAN        NAN   3.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.9700E+04   2.0000E+03        NAN        NAN   1.7000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7800E+04   2.0000E+03        NAN        NAN   4.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.6000E+04   2.0000E+03        NAN        NAN   5.5000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0000E+05   2.0000E+03        NAN        NAN   1.1000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0240E+05   2.0000E+03        NAN        NAN   3.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1320E+05   2.0000E+03        NAN        NAN   1.2000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2170E+05   2.0000E+03        NAN        NAN   1.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0020E+05   2.0000E+03        NAN        NAN   2.0000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4600E+05   2.0000E+03        NAN        NAN   1.8000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4780E+05   2.0000E+03        NAN        NAN   4.0000E+02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.6770E+05   2.0000E+03        NAN        NAN   1.4000E+03          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
