# Header: 
#   Title                 : 26-FE-54 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : V0025-006-7 
#   First Author          : F.Froehner 
#   Institute             : (2GERKFK): Karlsruhe Institute of Technology (KIT) 
#   Reference             : (C,77GEEL,,138,197712) 
#   Year                  : 1977 
#   Facility              : None 
# Target: 
#   Z                     : 26 
#   A                     : 54 
#   Isomer                :  
#   Nuclide               : 26-FE-54 
# Reaction: 
#   EXFOR Reaction        : (26-FE-54(N,G),,WID/STR,,,EVAL) 
#   Incident Energy Type   : -7.5500e+04 eV - 3.7100e+05 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/V00/V0025.x4 
#   nds                   : https://nds.iaea.org/EXFOR/V0025
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
  -7.5500E+04          NAN        0.5        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0970E+03          NAN        1.5        1.0          NAN          NAN   2.9960E-03          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.6800E+03          NAN        0.5        0.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.4800E+03          NAN        1.5        1.0          NAN          NAN   5.0970E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1180E+04          NAN        1.5        1.0          NAN          NAN   7.4360E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3580E+04          NAN        2.5        1.0          NAN          NAN   3.2640E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4450E+04          NAN        1.5        1.0          NAN          NAN   6.8990E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.9260E+04          NAN        0.5        1.0          NAN          NAN   4.9520E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2990E+04          NAN        2.5        1.0          NAN          NAN   4.7900E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8210E+04          NAN        1.5        1.0          NAN          NAN   1.6010E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0670E+04          NAN        1.5        1.0          NAN          NAN   1.0080E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.5310E+04          NAN        2.5        1.0          NAN          NAN   2.9970E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.8450E+04          NAN        1.5        1.0          NAN          NAN   9.5830E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.9180E+04          NAN        1.5        1.0          NAN          NAN   1.1030E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.1150E+04          NAN        2.5        1.0          NAN          NAN   2.9700E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.0090E+04          NAN        1.5        1.0          NAN          NAN   7.3220E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.1600E+04          NAN        0.5        1.0          NAN          NAN   3.8380E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
