# Header: 
#   Title                 : 26-FE-58 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20808-005-2 
#   First Author          : H.Beer 
#   Institute             : (2GERKFK): Karlsruhe Institute of Technology (KIT) 
#   Reference             : ((P,INDC(GER)-20,18,1978)=(P,NEANDC(E)-192,(5),18,1978)) 
#   Year                  : 1978 
#   Facility              : (VDG): Van de Graaff 
# Target: 
#   Z                     : 26 
#   A                     : 58 
#   Isomer                :  
#   Nuclide               : 26-FE-58 
# Reaction: 
#   EXFOR Reaction        : (26-FE-58(N,EL),,WID) 
#   Incident Energy       : 1.0339e+04 eV - 3.2100e+05 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/208/20808.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20808
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.0339E+04   4.7000E+01        NAN        0.0          NAN          NAN   1.6000E+00   5.0000E-01   4.1600E+02   3.2000E+01          NAN          NAN          NAN          NAN
   4.3550E+04   2.5000E+02        NAN        0.0          NAN          NAN   2.1700E+00   5.0000E-01   6.3700E+03   2.1000E+02          NAN          NAN          NAN          NAN
   6.7180E+04   4.4000E+02        NAN        0.0          NAN          NAN   1.0000E+00   2.8000E-01   9.9700E+02   4.9000E+01          NAN          NAN          NAN          NAN
   9.3900E+04   6.9000E+02        NAN        0.0          NAN          NAN   7.7400E+00   1.7800E+00   1.2230E+04   7.8000E+02          NAN          NAN          NAN          NAN
   1.2167E+05   9.7000E+02        NAN        0.0          NAN          NAN   2.2600E+00   6.5000E-01   2.6700E+03   2.1000E+02          NAN          NAN          NAN          NAN
   1.7950E+05   1.7000E+03        NAN        0.0          NAN          NAN          NAN          NAN   2.3900E+03   2.5000E+02          NAN          NAN          NAN          NAN
   2.4120E+05   2.6000E+03        NAN        0.0          NAN          NAN          NAN          NAN   1.0800E+04   1.4000E+03          NAN          NAN          NAN          NAN
   2.6600E+05   2.9000E+03        NAN        0.0          NAN          NAN          NAN          NAN   9.2000E+03   1.3000E+03          NAN          NAN          NAN          NAN
   3.0990E+05   3.7000E+03        NAN        0.0          NAN          NAN          NAN          NAN   3.1000E+03   4.7000E+02          NAN          NAN          NAN          NAN
   3.2100E+05   3.9000E+03        NAN        0.0          NAN          NAN          NAN          NAN   1.0300E+03   1.6000E+02          NAN          NAN          NAN          NAN
