# Header: 
#   Title                 : 64-GD-155 Resonance Parameter: WID/STR,,RM 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 23400-007-2 
#   First Author          : M.Mastromarco 
#   Institute             : (2ITYITY): Italy 
#   Reference             : (J,EPJ/A,55,9,2019) 
#   Year                  : 2019 
#   Facility              : (SYNCY): Synchro cyclotron 
# Target: 
#   Z                     : 64 
#   A                     : 155 
#   Isomer                :  
#   Nuclide               : 64-GD-155 
# Reaction: 
#   EXFOR Reaction        : (64-GD-155(N,G),,WID/STR,,RM) 
#   Incident Energy       : 1.8508e+02 eV - 9.9758e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/234/23400.x4 
#   nds                   : https://nds.iaea.org/EXFOR/23400
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.8508E+02   4.0000E-02        NAN        NAN          NAN          NAN   1.3300E-03   9.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   1.8736E+02   1.0000E-02        NAN        NAN          NAN          NAN   8.2200E-03   2.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   1.8905E+02   5.0000E-02        NAN        NAN          NAN          NAN   1.0800E-03   8.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   1.9137E+02   1.0000E-02        NAN        NAN          NAN          NAN   5.6000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.9345E+02   3.0000E-02        NAN        NAN          NAN          NAN   1.4500E-03   9.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   1.9510E+02   1.0000E-02        NAN        NAN          NAN          NAN   4.3000E-03   1.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.9668E+02   5.0000E-02        NAN        NAN          NAN          NAN   1.0100E-03   7.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   1.9910E+02   2.0000E-01        NAN        NAN          NAN          NAN   1.2000E-04   1.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   1.9989E+02   4.0000E-02        NAN        NAN          NAN          NAN   1.4900E-03   9.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.0187E+02   1.0000E-02        NAN        NAN          NAN          NAN   1.4200E-02   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.0397E+02   5.0000E-02        NAN        NAN          NAN          NAN   9.8000E-04   8.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.0720E+02   5.0000E-02        NAN        NAN          NAN          NAN   8.3000E-04   7.0000E-05          NAN          NAN          NAN          NAN          NAN          NAN
   2.0947E+02   3.0000E-02        NAN        NAN          NAN          NAN   3.0000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.1033E+02   1.0000E-02        NAN        NAN          NAN          NAN   7.2000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.1204E+02   2.0000E-02        NAN        NAN          NAN          NAN   4.8000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.1364E+02   3.0000E-02        NAN        NAN          NAN          NAN   2.6000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.1471E+02   1.0000E-02        NAN        NAN          NAN          NAN   1.2500E-02   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.1710E+02   2.0000E-02        NAN        NAN          NAN          NAN   2.9000E-03   1.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.1848E+02   2.0000E-02        NAN        NAN          NAN          NAN   5.2000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.1988E+02   4.0000E-02        NAN        NAN          NAN          NAN   1.4000E-03   1.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.2199E+02   3.0000E-02        NAN        NAN          NAN          NAN   2.1000E-03   1.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.2499E+02   1.0000E-02        NAN        NAN          NAN          NAN   6.7000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.2777E+02   1.0000E-02        NAN        NAN          NAN          NAN   1.7300E-02   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.2946E+02   2.0000E-02        NAN        NAN          NAN          NAN   1.2000E-02   6.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.2963E+02   4.0000E-02        NAN        NAN          NAN          NAN   7.0000E-03   5.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.3068E+02   2.0000E-02        NAN        NAN          NAN          NAN   8.2000E-03   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.3190E+02   3.0000E-02        NAN        NAN          NAN          NAN   2.9000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.3291E+02   2.0000E-02        NAN        NAN          NAN          NAN   4.2000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.3552E+02   3.0000E-02        NAN        NAN          NAN          NAN   3.1000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.3648E+02   2.0000E-02        NAN        NAN          NAN          NAN   6.9000E-03   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.3735E+02   1.0000E-02        NAN        NAN          NAN          NAN   1.0400E-02   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
