# Header: 
#   Title                 : 64-GD-156 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : Y.-R.Kang 
#   Institute             : (1USARPI): Rensselaer Polytechnic Institute, Troy, NY 
#   Reference             : (J,NSE,180,86,2015) 
#   Year                  : 2015 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 64 
#   A                     : 156 
#   Nuclide               : 64-GD-156 
# Reaction: 
#   entry-subent-pointer  :{73: '14343-009-2', 74: '14343-009-2', 75: '14343-009-2', 76: '14343-009-2', 77: '14343-009-2', 78: '14343-009-2', 79: '14343-009-2', 80: '14343-009-2', 81: '14343-009-2', 82: '14343-009-2', 83: '14343-009-2', 84: '14343-009-2', 85: '14343-009-2', 86: '14343-009-2', 87: '14343-009-2', 88: '14343-009-2', 89: '14343-009-2', 90: '14343-009-2', 91: '14343-009-2', 92: '14343-009-2', 93: '14343-009-2', 94: '14343-009-2', 95: '14343-009-3', 96: '14343-009-3', 97: '14343-009-3', 98: '14343-009-3', 99: '14343-009-3', 100: '14343-009-3', 101: '14343-009-3', 102: '14343-009-3', 103: '14343-009-3', 104: '14343-009-3', 105: '14343-009-3', 106: '14343-009-3', 107: '14343-009-3', 108: '14343-009-3', 109: '14343-009-3', 110: '14343-009-3', 111: '14343-009-3', 112: '14343-009-3', 113: '14343-009-3', 114: '14343-009-3', 115: '14343-009-3', 116: '14343-009-3'} 
#   EXFOR reaction        :{73: '(64-GD-156(N,G),,WID)', 74: '(64-GD-156(N,G),,WID)', 75: '(64-GD-156(N,G),,WID)', 76: '(64-GD-156(N,G),,WID)', 77: '(64-GD-156(N,G),,WID)', 78: '(64-GD-156(N,G),,WID)', 79: '(64-GD-156(N,G),,WID)', 80: '(64-GD-156(N,G),,WID)', 81: '(64-GD-156(N,G),,WID)', 82: '(64-GD-156(N,G),,WID)', 83: '(64-GD-156(N,G),,WID)', 84: '(64-GD-156(N,G),,WID)', 85: '(64-GD-156(N,G),,WID)', 86: '(64-GD-156(N,G),,WID)', 87: '(64-GD-156(N,G),,WID)', 88: '(64-GD-156(N,G),,WID)', 89: '(64-GD-156(N,G),,WID)', 90: '(64-GD-156(N,G),,WID)', 91: '(64-GD-156(N,G),,WID)', 92: '(64-GD-156(N,G),,WID)', 93: '(64-GD-156(N,G),,WID)', 94: '(64-GD-156(N,G),,WID)', 95: '(64-GD-156(N,EL),,WID)', 96: '(64-GD-156(N,EL),,WID)', 97: '(64-GD-156(N,EL),,WID)', 98: '(64-GD-156(N,EL),,WID)', 99: '(64-GD-156(N,EL),,WID)', 100: '(64-GD-156(N,EL),,WID)', 101: '(64-GD-156(N,EL),,WID)', 102: '(64-GD-156(N,EL),,WID)', 103: '(64-GD-156(N,EL),,WID)', 104: '(64-GD-156(N,EL),,WID)', 105: '(64-GD-156(N,EL),,WID)', 106: '(64-GD-156(N,EL),,WID)', 107: '(64-GD-156(N,EL),,WID)', 108: '(64-GD-156(N,EL),,WID)', 109: '(64-GD-156(N,EL),,WID)', 110: '(64-GD-156(N,EL),,WID)', 111: '(64-GD-156(N,EL),,WID)', 112: '(64-GD-156(N,EL),,WID)', 113: '(64-GD-156(N,EL),,WID)', 114: '(64-GD-156(N,EL),,WID)', 115: '(64-GD-156(N,EL),,WID)', 116: '(64-GD-156(N,EL),,WID)'} 
#   incident energy       : 3.3149e+01 eV - 9.8093e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/143/14343.x4 
#   nds                   : https://nds.iaea.org/EXFOR/14343
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        3.3149E+01        1.0000E-03               NAN               NAN        9.0000E-02               NAN        1.4200E-02        3.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        2.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        5.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        3.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        4.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        8.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        9.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        1.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3149E+01        5.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        1.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        2.0000E-03               NAN               NAN        7.1000E-02        7.0000E-03        7.8000E-02        8.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        5.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        3.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        4.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        8.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        9.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        1.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0002E+01        5.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5043E+02        1.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5043E+02        2.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5043E+02        5.0000E-03               NAN               NAN        1.4000E-01        1.4000E-02        3.9000E-02        4.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        1.5043E+02        1.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5043E+02        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5043E+02        3.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5043E+02        4.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
