# Header: 
#   Title                 : 64-GD-157 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : H.B.Moller 
#   Institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
#   Reference             : (J,NSE,8,183,1960) 
#   Year                  : 1960 
#   Facility              : (SPECC): Crystal spectrometer 
# Target: 
#   Z                     : 64 
#   A                     : 157 
#   Nuclide               : 64-GD-157 
# Reaction: 
#   entry-subent-pointer  :{5: '12097-010-3', 6: '12097-010-3', 7: '12097-010-3', 8: '12097-010-3', 9: '12097-010-3', 10: '12097-010-4', 11: '12097-010-4', 12: '12097-010-4', 13: '12097-010-4', 14: '12097-010-4'} 
#   EXFOR reaction        :{5: '(64-GD-157(N,TOT),,WID)', 6: '(64-GD-157(N,TOT),,WID)', 7: '(64-GD-157(N,TOT),,WID)', 8: '(64-GD-157(N,TOT),,WID)', 9: '(64-GD-157(N,TOT),,WID)', 10: '(64-GD-157(N,G),,WID)', 11: '(64-GD-157(N,G),,WID)', 12: '(64-GD-157(N,G),,WID)', 13: '(64-GD-157(N,G),,WID)', 14: '(64-GD-157(N,G),,WID)'} 
#   incident energy       : 3.1400e-02 eV - 2.3600e+01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/120/12097.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12097
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        3.1400E-02        2.0000E-04        1.0700E-01        1.0000E-03        1.0600E-01        1.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.1400E-02        1.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.1400E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.8250E+00        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.8250E+00        1.5000E-02        9.7000E-02        1.0000E-03        9.7000E-02        1.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.8250E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.6800E+01        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.6800E+01        1.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.6800E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0500E+01        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0500E+01        1.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0500E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.3600E+01        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.3600E+01        1.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.3600E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
