# Header: 
#   Title                 : 32-GE-72 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 40023-008-0 
#   First Author          : Kh.Maletski 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,SJA,24,207,1968) 
#   Year                  : 1968 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 32 
#   A                     : 72 
#   Isomer                :  
#   Nuclide               : 32-GE-72 
# Reaction: 
#   EXFOR Reaction        : (32-GE-72(N,EL),,WID) 
#   Incident Energy Type   : 2.5200e+02 eV - 2.9400e+04 eV 
#   Resonance Energy      : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/400/40023.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40023
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.5200E+02   5.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN   3.4000E-04   1.0000E-04          NAN          NAN          NAN          NAN
   7.3600E+02   2.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   2.1800E+03   7.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN   4.6000E-02   9.0000E-03          NAN          NAN          NAN          NAN
   2.6140E+03   8.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN   7.9000E-01   3.9000E-01          NAN          NAN          NAN          NAN
   2.7430E+03   8.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN   4.0000E-01   1.8000E-01          NAN          NAN          NAN          NAN
   3.6500E+03   1.2000E+01        NAN        NAN          NAN          NAN          NAN          NAN   8.3000E-01   4.3000E-01          NAN          NAN          NAN          NAN
   4.5600E+03   1.7000E+01        NAN        NAN          NAN          NAN          NAN          NAN   1.5000E+01   3.0000E+00          NAN          NAN          NAN          NAN
   4.9490E+03   1.9000E+01        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E+01   5.0000E+00          NAN          NAN          NAN          NAN
   8.9800E+03   5.0000E+01        NAN        NAN          NAN          NAN          NAN          NAN   4.1000E+01   6.0000E+00          NAN          NAN          NAN          NAN
   9.6400E+03   5.5000E+01        NAN        NAN          NAN          NAN          NAN          NAN   8.0000E+00   5.0000E+00          NAN          NAN          NAN          NAN
   1.1170E+04   6.0000E+01        NAN        NAN          NAN          NAN          NAN          NAN   2.2000E+01   4.0000E+00          NAN          NAN          NAN          NAN
   1.2070E+04   7.0000E+01        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E+01   7.0000E+00          NAN          NAN          NAN          NAN
   1.9080E+04   1.3000E+02        NAN        NAN          NAN          NAN          NAN          NAN   1.4600E+02   3.0000E+01          NAN          NAN          NAN          NAN
   2.9400E+04   3.0000E+02        NAN        NAN          NAN          NAN          NAN          NAN   3.1000E+01   1.7000E+01          NAN          NAN          NAN          NAN
