# Header: 
#   Title                 : 32-GE-74 Resonance Parameter: WID/STR,,RM 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 23651-003-2 
#   First Author          : C.Lederer-Woods 
#   Institute             : (2UK UK ): United Kingdom 
#   Reference             : (J,EPJ/A,58,239,2022) 
#   Year                  : 2022 
#   Facility              : (SYNCY): Synchro cyclotron 
# Target: 
#   Z                     : 32 
#   A                     : 74 
#   Isomer                :  
#   Nuclide               : 32-GE-74 
# Reaction: 
#   EXFOR Reaction        : (32-GE-74(N,G),,WID/STR,,RM) 
#   Incident Energy       : 1.5189e+03 eV - 6.8830e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/236/23651.x4 
#   nds                   : https://nds.iaea.org/EXFOR/23651
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.5189E+03   3.0000E-02        NAN        NAN          NAN          NAN   6.7000E-03   2.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   1.7300E+03   5.0000E-02        NAN        NAN          NAN          NAN   3.4000E-03   1.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   2.8581E+03   1.2000E-01        NAN        NAN          NAN          NAN   1.5170E-01   2.1000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.0514E+03   2.0000E-02        NAN        NAN          NAN          NAN   2.6490E-01   3.4000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.8634E+03   1.0000E-01        NAN        NAN          NAN          NAN   9.1000E-03   4.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.9963E+03   5.0000E-01        NAN        NAN          NAN          NAN   1.9000E-03   3.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   4.2069E+03   4.0000E-02        NAN        NAN          NAN          NAN   7.4800E-02   1.4000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.0221E+03   9.6000E-01        NAN        NAN          NAN          NAN   2.5820E-01   4.1000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.7369E+03   8.0000E-02        NAN        NAN          NAN          NAN   5.2400E-02   1.7000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.1213E+03   1.2000E-01        NAN        NAN          NAN          NAN   7.5800E-02   2.2000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.3659E+03   1.4000E-01        NAN        NAN          NAN          NAN   1.2930E-01   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   8.1645E+03   1.1000E-01        NAN        NAN          NAN          NAN   3.8000E-03   3.6000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   8.5035E+03   1.3000E-01        NAN        NAN          NAN          NAN   2.7250E-01   5.9000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.0651E+04   1.8000E-01        NAN        NAN          NAN          NAN   2.8960E-01   7.9000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.2078E+04   6.4000E-01        NAN        NAN          NAN          NAN   1.7370E-01   7.4000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.2705E+04   1.0000E-02        NAN        NAN          NAN          NAN   1.7000E-02   1.5600E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3761E+04   4.5000E-01        NAN        NAN          NAN          NAN   2.3240E-01   8.9000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.3872E+04   3.0000E-01        NAN        NAN          NAN          NAN   8.1600E-02   4.9000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.4025E+04   5.3500E+00        NAN        NAN          NAN          NAN   1.2000E-02   1.1600E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.4234E+04   4.7000E-01        NAN        NAN          NAN          NAN   1.4750E-01   6.7000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.4819E+04   3.4000E-01        NAN        NAN          NAN          NAN   2.5290E-01   1.1200E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.6173E+04   2.8200E+00        NAN        NAN          NAN          NAN   1.0500E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.6442E+04   7.2000E-01        NAN        NAN          NAN          NAN   6.8200E-02   4.9000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.6728E+04   2.3900E+00        NAN        NAN          NAN          NAN   1.1300E-02   3.1000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.6938E+04   5.1000E-01        NAN        NAN          NAN          NAN   1.7880E-01   1.1900E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.7996E+04   5.6000E-01        NAN        NAN          NAN          NAN   2.4290E-01   1.2800E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.8704E+04   1.0000E+00        NAN        NAN          NAN          NAN   1.5150E-01   1.1600E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.8802E+04   2.6600E+00        NAN        NAN          NAN          NAN   5.6000E-02   1.0600E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.8817E+04   1.2200E+00        NAN        NAN          NAN          NAN   8.2200E-02   1.9700E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.9562E+04   3.9500E+00        NAN        NAN          NAN          NAN   1.9460E-01   1.8800E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.1041E+04   1.1200E+00        NAN        NAN          NAN          NAN   1.4330E-01   1.4600E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.1198E+04   7.1000E-01        NAN        NAN          NAN          NAN   2.0900E-02   1.8200E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.1646E+04   1.0600E+00        NAN        NAN          NAN          NAN   2.2960E-01   1.3600E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.1713E+04   1.4900E+00        NAN        NAN          NAN          NAN   6.2400E-02   5.9000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.2005E+04   3.8400E+00        NAN        NAN          NAN          NAN   1.7140E-01   2.4900E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.2820E+04   8.6000E-01        NAN        NAN          NAN          NAN   2.3980E-01   1.2600E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.4532E+04   8.1000E-01        NAN        NAN          NAN          NAN   4.4700E-02   2.1200E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.5064E+04   1.4000E+00        NAN        NAN          NAN          NAN   2.0670E-01   1.6000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.5192E+04   1.4300E+00        NAN        NAN          NAN          NAN   2.2510E-01   1.4500E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.5356E+04   3.5300E+00        NAN        NAN          NAN          NAN   1.0130E-01   3.3300E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.5380E+04   1.5000E+00        NAN        NAN          NAN          NAN   3.4820E-01   4.1400E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.7170E+04   1.8600E+00        NAN        NAN          NAN          NAN   1.2560E-01   1.3400E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.7289E+04   1.9200E+00        NAN        NAN          NAN          NAN   1.6310E-01   1.4100E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.7692E+04   2.8700E+00        NAN        NAN          NAN          NAN   2.8430E-01   2.1200E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.7889E+04   2.2400E+00        NAN        NAN          NAN          NAN   1.3450E-01   1.3700E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.8020E+04   1.9600E+00        NAN        NAN          NAN          NAN   2.2330E-01   1.6400E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.8144E+04   3.1600E+00        NAN        NAN          NAN          NAN   4.2700E-02   7.3000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.8962E+04   2.1000E+00        NAN        NAN          NAN          NAN   1.3100E-01   1.3500E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.0187E+04   5.2100E+00        NAN        NAN          NAN          NAN   2.3810E-01   2.1400E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.0879E+04   2.0300E+00        NAN        NAN          NAN          NAN   2.1610E-01   1.5700E-02          NAN          NAN          NAN          NAN          NAN          NAN
