# Header: 
#   Title                 : 72-HF-177 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : G.Rohr 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,NP/A,264,93,7606) 
#   Year                  : 1976 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 72 
#   A                     : 177 
#   Nuclide               : 72-HF-177 
# Reaction: 
#   entry-subent-pointer  :['21297-002-2' '21297-002-3'] 
#   EXFOR reaction        :['(72-HF-177(N,EL),,WID)' '(72-HF-177(N,G),,WID)'] 
#   incident energy       : 1.0950e-05 eV - 2.9974e-04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/212/21297.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21297
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 1.0950E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 5.7000E-04 5.0000E-05        NAN        NAN
 1.3670E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 7.5000E-04 6.0000E-05        NAN        NAN
 1.3960E-05        NAN        3.0        0.0        NAN        NAN 8.3700E-02 1.5700E-02 4.1600E-03 3.5000E-04        NAN        NAN
 2.1970E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.9000E-03 1.3000E-04        NAN        NAN
 2.2260E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 8.3000E-04 1.1000E-04        NAN        NAN
 2.3440E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.4300E-03 1.0000E-04        NAN        NAN
 2.5620E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 5.2000E-04 5.0000E-05        NAN        NAN
 2.7010E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 3.0200E-03 2.0000E-04        NAN        NAN
 3.1570E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 3.4000E-04 5.0000E-05        NAN        NAN
 3.2800E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.3800E-03 1.2000E-04        NAN        NAN
 3.6080E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 3.5700E-03 2.6000E-04        NAN        NAN
 3.6950E-05        NAN        4.0        0.0        NAN        NAN 5.6200E-02 7.5000E-03 9.7200E-03 2.7000E-04        NAN        NAN
 4.3030E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 5.3100E-03 3.3000E-04        NAN        NAN
 4.5120E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 3.3400E-03 2.1000E-04        NAN        NAN
 4.6210E-05        NAN        4.0        0.0        NAN        NAN 7.7700E-02 2.1000E-02 6.9600E-03 1.6000E-04        NAN        NAN
 4.8790E-05        NAN        3.0        0.0        NAN        NAN 8.1500E-02 4.8000E-03 3.2800E-02 8.9000E-04        NAN        NAN
 4.9570E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 5.4200E-03 4.1000E-04        NAN        NAN
 5.4750E-05        NAN        4.0        0.0        NAN        NAN 6.8800E-02 1.2600E-02 1.5800E-02 8.4000E-04        NAN        NAN
 5.6340E-05        NAN        3.0        0.0        NAN        NAN 6.9600E-02 1.3700E-02 1.3900E-02 5.4000E-04        NAN        NAN
 5.7010E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 4.1500E-03 3.8000E-04        NAN        NAN
 5.9260E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.3300E-03 3.0000E-04        NAN        NAN
 6.2170E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 1.4200E-03 1.9000E-04        NAN        NAN
 6.3450E-05        NAN        4.0        0.0        NAN        NAN 5.5100E-02 1.4000E-03 6.5300E-02 2.2000E-03        NAN        NAN
 6.6750E-05        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 7.0000E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 4.4000E-04 7.0000E-05        NAN        NAN
 7.1350E-05        NAN        4.0        0.0        NAN        NAN 5.4200E-02 7.8000E-03 1.4500E-02 5.6000E-04        NAN        NAN
 7.2250E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 1.3200E-03 2.5000E-04        NAN        NAN
 7.5600E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 2.2100E-03 2.6000E-04        NAN        NAN
 7.6020E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.6270E-02 1.0100E-03        NAN        NAN
 8.2370E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 5.0000E-04 9.0000E-05        NAN        NAN
 8.4580E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 2.2770E-02 1.5100E-03        NAN        NAN
 8.5290E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 5.8100E-03 3.7000E-04        NAN        NAN
 8.6770E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 9.2000E-04 1.2000E-04        NAN        NAN
 8.8520E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.6100E-03 3.6000E-04        NAN        NAN
 9.3160E-05        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.4300E-03 3.2000E-04        NAN        NAN
 9.7090E-05        NAN        4.0        0.0        NAN        NAN 5.8600E-02 1.4200E-02 1.9200E-02 1.5100E-03        NAN        NAN
 9.9010E-05        NAN        4.0        0.0        NAN        NAN        NAN        NAN 8.6000E-04 1.4000E-04        NAN        NAN
 1.0308E-04        NAN        3.0        0.0        NAN        NAN 6.3200E-02 4.2000E-03 5.4200E-02 3.3200E-03        NAN        NAN
 1.0410E-04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1140E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 2.4800E-03 1.8000E-04        NAN        NAN
 1.1189E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 3.9400E-03 2.7000E-04        NAN        NAN
 1.1444E-04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1511E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.7100E-03 3.6000E-04        NAN        NAN
 1.2126E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.9200E-03 4.3000E-04        NAN        NAN
 1.2264E-04        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.2374E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 9.5400E-03 6.5000E-04        NAN        NAN
 1.2614E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 6.1000E-04 1.3000E-04        NAN        NAN
 1.3125E-04        NAN        3.0        0.0        NAN        NAN 6.7100E-02 5.6000E-03 6.1400E-02 4.9600E-03        NAN        NAN
 1.3412E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 3.6600E-03 2.7000E-04        NAN        NAN
 1.3624E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 7.1000E-04 1.3000E-04        NAN        NAN
