# Header: 
#   Title                 : 72-HF-178 Resonance Parameter: WID,,RM 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 22956-011-2 
#   First Author          : G.Noguere 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,NP/A,831,106,2009) 
#   Year                  : 2009 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 72 
#   A                     : 178 
#   Isomer                :  
#   Nuclide               : 72-HF-178 
# Reaction: 
#   EXFOR Reaction        : (72-HF-178(N,G),,WID,,RM) 
#   Incident Energy       : 7.7900e+00 eV - 1.1801e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/229/22956.x4 
#   nds                   : https://nds.iaea.org/EXFOR/22956
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   7.7900E+00   1.0000E-02        0.5        NAN          NAN          NAN   5.6900E-02   6.0000E-04   4.9700E-02   3.0000E-04          NAN          NAN          NAN          NAN
   2.8760E+01   5.0000E-02        0.5        NAN          NAN          NAN   9.0000E-06          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0486E+02   1.6000E-01        0.5        NAN          NAN          NAN   5.4800E-02   4.1000E-03   8.3000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   1.6473E+02   2.5000E-01        0.5        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5536E+02   3.9000E-01        0.5        NAN          NAN          NAN          NAN          NAN   2.3990E-01   2.4000E-03          NAN          NAN          NAN          NAN
   2.7509E+02   4.3000E-01        0.5        NAN          NAN          NAN   5.2300E-02   8.9000E-03   2.2550E-01   3.0000E-03          NAN          NAN          NAN          NAN
   3.5178E+02   5.5000E-01        0.5        NAN          NAN          NAN          NAN          NAN   9.2000E-03   3.0000E-04          NAN          NAN          NAN          NAN
   3.8256E+02   6.0000E-01        0.5        NAN          NAN          NAN          NAN          NAN   4.4250E-01   1.0500E-02          NAN          NAN          NAN          NAN
   4.4581E+02   7.0000E-01        0.5        NAN          NAN          NAN          NAN          NAN   1.3780E-01   3.4000E-03          NAN          NAN          NAN          NAN
   5.0202E+02   7.8000E-01        0.5        NAN          NAN          NAN          NAN          NAN   6.6500E-02   2.5000E-03          NAN          NAN          NAN          NAN
   5.2627E+02   8.2000E-01        0.5        NAN          NAN          NAN          NAN          NAN   2.2360E-01   7.1000E-03          NAN          NAN          NAN          NAN
   5.7756E+02   8.9000E-01        0.5        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.0488E+02   9.5000E-01        0.5        NAN          NAN          NAN          NAN          NAN   6.0100E-02   2.1000E-03          NAN          NAN          NAN          NAN
   7.2016E+02   1.1300E+00        0.5        NAN          NAN          NAN          NAN          NAN   1.1389E+00   1.3200E-02          NAN          NAN          NAN          NAN
   7.8074E+02   1.2200E+00        0.5        NAN          NAN          NAN          NAN          NAN   7.9520E-01   1.2400E-02          NAN          NAN          NAN          NAN
   8.6969E+02   1.3500E+00        0.5        NAN          NAN          NAN          NAN          NAN   2.8510E-01   9.1000E-03          NAN          NAN          NAN          NAN
   8.9390E+02   1.3800E+00        0.5        NAN          NAN          NAN          NAN          NAN   6.8600E-02   2.9000E-03          NAN          NAN          NAN          NAN
   1.0900E+03   1.7000E+00        0.5        NAN          NAN          NAN          NAN          NAN   6.6180E-01   1.5700E-02          NAN          NAN          NAN          NAN
   1.1554E+03   1.8100E+00        0.5        NAN          NAN          NAN          NAN          NAN   1.9723E+00   2.0200E-02          NAN          NAN          NAN          NAN
   1.1801E+03   1.8500E+00        0.5        NAN          NAN          NAN          NAN          NAN   8.9150E-01   2.0900E-02          NAN          NAN          NAN          NAN
