# Header: 
#   Title                 : 67-HO-165 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : M.Asghar 
#   Institute             : (2UK HAR): Atomic Energy Research Establishment (AERE), Harwell 
#   Reference             : (J,NP/A,108,535,1968) 
#   Year                  : 1968 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 67 
#   A                     : 165 
#   Nuclide               : 67-HO-165 
# Reaction: 
#   entry-subent-pointer  :{39: '21109-005-1', 40: '21109-005-1', 41: '21109-005-1', 42: '21109-005-1', 43: '21109-005-1', 44: '21109-005-1', 45: '21109-005-1', 46: '21109-005-1', 47: '21109-005-1', 48: '21109-005-1', 49: '21109-005-1', 50: '21109-005-1', 51: '21109-005-1', 52: '21109-005-1', 53: '21109-005-1', 54: '21109-005-1', 55: '21109-005-1', 56: '21109-005-1', 57: '21109-005-1', 58: '21109-005-1', 59: '21109-005-1', 60: '21109-005-1', 61: '21109-005-1', 62: '21109-005-1', 63: '21109-005-1', 64: '21109-005-1', 65: '21109-005-1', 66: '21109-005-1', 67: '21109-005-1', 68: '21109-005-1', 69: '21109-005-1', 70: '21109-005-1', 71: '21109-005-1', 72: '21109-005-1', 73: '21109-005-1', 74: '21109-005-1', 75: '21109-005-1', 76: '21109-005-1', 77: '21109-005-1', 78: '21109-005-1', 79: '21109-005-1', 80: '21109-005-1', 81: '21109-005-1', 82: '21109-005-1', 83: '21109-005-1', 84: '21109-005-1', 85: '21109-005-1', 86: '21109-005-2', 87: '21109-005-2', 88: '21109-005-2', 89: '21109-005-2', 90: '21109-005-2', 91: '21109-005-2', 92: '21109-005-2', 93: '21109-005-2', 94: '21109-005-2', 95: '21109-005-2', 96: '21109-005-2', 97: '21109-005-2', 98: '21109-005-2', 99: '21109-005-2', 100: '21109-005-2', 101: '21109-005-2', 102: '21109-005-2', 103: '21109-005-2', 104: '21109-005-2', 105: '21109-005-2', 106: '21109-005-2', 107: '21109-005-2', 108: '21109-005-2', 109: '21109-005-2', 110: '21109-005-2', 111: '21109-005-2', 112: '21109-005-2', 113: '21109-005-2', 114: '21109-005-2', 115: '21109-005-2', 116: '21109-005-2', 117: '21109-005-2', 118: '21109-005-2', 119: '21109-005-2', 120: '21109-005-2', 121: '21109-005-2', 122: '21109-005-2', 123: '21109-005-2', 124: '21109-005-2', 125: '21109-005-2', 126: '21109-005-2', 127: '21109-005-2', 128: '21109-005-2', 129: '21109-005-2', 130: '21109-005-2', 131: '21109-005-2', 132: '21109-005-2'} 
#   EXFOR reaction        :{39: '(67-HO-165(N,EL),,WID)', 40: '(67-HO-165(N,EL),,WID)', 41: '(67-HO-165(N,EL),,WID)', 42: '(67-HO-165(N,EL),,WID)', 43: '(67-HO-165(N,EL),,WID)', 44: '(67-HO-165(N,EL),,WID)', 45: '(67-HO-165(N,EL),,WID)', 46: '(67-HO-165(N,EL),,WID)', 47: '(67-HO-165(N,EL),,WID)', 48: '(67-HO-165(N,EL),,WID)', 49: '(67-HO-165(N,EL),,WID)', 50: '(67-HO-165(N,EL),,WID)', 51: '(67-HO-165(N,EL),,WID)', 52: '(67-HO-165(N,EL),,WID)', 53: '(67-HO-165(N,EL),,WID)', 54: '(67-HO-165(N,EL),,WID)', 55: '(67-HO-165(N,EL),,WID)', 56: '(67-HO-165(N,EL),,WID)', 57: '(67-HO-165(N,EL),,WID)', 58: '(67-HO-165(N,EL),,WID)', 59: '(67-HO-165(N,EL),,WID)', 60: '(67-HO-165(N,EL),,WID)', 61: '(67-HO-165(N,EL),,WID)', 62: '(67-HO-165(N,EL),,WID)', 63: '(67-HO-165(N,EL),,WID)', 64: '(67-HO-165(N,EL),,WID)', 65: '(67-HO-165(N,EL),,WID)', 66: '(67-HO-165(N,EL),,WID)', 67: '(67-HO-165(N,EL),,WID)', 68: '(67-HO-165(N,EL),,WID)', 69: '(67-HO-165(N,EL),,WID)', 70: '(67-HO-165(N,EL),,WID)', 71: '(67-HO-165(N,EL),,WID)', 72: '(67-HO-165(N,EL),,WID)', 73: '(67-HO-165(N,EL),,WID)', 74: '(67-HO-165(N,EL),,WID)', 75: '(67-HO-165(N,EL),,WID)', 76: '(67-HO-165(N,EL),,WID)', 77: '(67-HO-165(N,EL),,WID)', 78: '(67-HO-165(N,EL),,WID)', 79: '(67-HO-165(N,EL),,WID)', 80: '(67-HO-165(N,EL),,WID)', 81: '(67-HO-165(N,EL),,WID)', 82: '(67-HO-165(N,EL),,WID)', 83: '(67-HO-165(N,EL),,WID)', 84: '(67-HO-165(N,EL),,WID)', 85: '(67-HO-165(N,EL),,WID)', 86: '(67-HO-165(N,G),,WID)', 87: '(67-HO-165(N,G),,WID)', 88: '(67-HO-165(N,G),,WID)', 89: '(67-HO-165(N,G),,WID)', 90: '(67-HO-165(N,G),,WID)', 91: '(67-HO-165(N,G),,WID)', 92: '(67-HO-165(N,G),,WID)', 93: '(67-HO-165(N,G),,WID)', 94: '(67-HO-165(N,G),,WID)', 95: '(67-HO-165(N,G),,WID)', 96: '(67-HO-165(N,G),,WID)', 97: '(67-HO-165(N,G),,WID)', 98: '(67-HO-165(N,G),,WID)', 99: '(67-HO-165(N,G),,WID)', 100: '(67-HO-165(N,G),,WID)', 101: '(67-HO-165(N,G),,WID)', 102: '(67-HO-165(N,G),,WID)', 103: '(67-HO-165(N,G),,WID)', 104: '(67-HO-165(N,G),,WID)', 105: '(67-HO-165(N,G),,WID)', 106: '(67-HO-165(N,G),,WID)', 107: '(67-HO-165(N,G),,WID)', 108: '(67-HO-165(N,G),,WID)', 109: '(67-HO-165(N,G),,WID)', 110: '(67-HO-165(N,G),,WID)', 111: '(67-HO-165(N,G),,WID)', 112: '(67-HO-165(N,G),,WID)', 113: '(67-HO-165(N,G),,WID)', 114: '(67-HO-165(N,G),,WID)', 115: '(67-HO-165(N,G),,WID)', 116: '(67-HO-165(N,G),,WID)', 117: '(67-HO-165(N,G),,WID)', 118: '(67-HO-165(N,G),,WID)', 119: '(67-HO-165(N,G),,WID)', 120: '(67-HO-165(N,G),,WID)', 121: '(67-HO-165(N,G),,WID)', 122: '(67-HO-165(N,G),,WID)', 123: '(67-HO-165(N,G),,WID)', 124: '(67-HO-165(N,G),,WID)', 125: '(67-HO-165(N,G),,WID)', 126: '(67-HO-165(N,G),,WID)', 127: '(67-HO-165(N,G),,WID)', 128: '(67-HO-165(N,G),,WID)', 129: '(67-HO-165(N,G),,WID)', 130: '(67-HO-165(N,G),,WID)', 131: '(67-HO-165(N,G),,WID)', 132: '(67-HO-165(N,G),,WID)'} 
#   incident energy       : 8.1400e-06 eV - 2.6100e-04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/211/21109.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21109
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        8.1400E-06               NAN               NAN               NAN               NAN               NAN        1.7000E-04        6.0000E-05               NAN               NAN               NAN               NAN               NAN               NAN
        1.2630E-05               NAN               NAN               NAN               NAN               NAN        1.5000E-02        1.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.8080E-05               NAN               NAN               NAN               NAN               NAN        1.3500E-03        1.4000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        2.0970E-05               NAN               NAN               NAN               NAN               NAN        6.3000E-04        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        3.5420E-05               NAN               NAN               NAN        7.2600E-02        5.5000E-03        7.4000E-03        1.0000E-04               NAN               NAN               NAN               NAN               3.0               NAN
        3.7240E-05               NAN               NAN               NAN               NAN               NAN        7.5000E-04        3.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        3.9590E-05               NAN               NAN               NAN        9.0100E-02        4.5000E-03        1.9500E-02        2.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        4.7630E-05               NAN               NAN               NAN        9.0000E-02        2.1000E-03        2.6900E-02        3.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        5.1360E-05               NAN               NAN               NAN        7.9000E-02        2.6000E-03        5.4000E-02        1.2000E-03               NAN               NAN               NAN               NAN               3.0               NAN
        5.4220E-05               NAN               NAN               NAN               NAN               NAN        3.3000E-03        8.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        6.4960E-05               NAN               NAN               NAN        7.4600E-02        2.0000E-03        2.0600E-02        3.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        6.8750E-05               NAN               NAN               NAN               NAN               NAN        1.0000E-03        3.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        7.1730E-05               NAN               NAN               NAN        7.4900E-02        1.8000E-03        2.3700E-02        3.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        7.9920E-05               NAN               NAN               NAN               NAN               NAN        1.6000E-03        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        8.3760E-05               NAN               NAN               NAN        6.6700E-02        4.3000E-03        1.1200E-02        2.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        9.3340E-05               NAN               NAN               NAN        7.6700E-02        1.6000E-03        8.7400E-02        1.0000E-03               NAN               NAN               NAN               NAN               4.0               NAN
        1.0170E-04               NAN               NAN               NAN        7.5900E-02        2.6000E-03        1.8800E-02        3.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        1.0610E-04               NAN               NAN               NAN               NAN               NAN        7.5000E-03        5.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.1780E-04               NAN               NAN               NAN        7.5200E-02        3.9000E-03        1.3650E-02        3.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.2040E-04               NAN               NAN               NAN               NAN               NAN        6.6500E-03        6.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.2470E-04               NAN               NAN               NAN        7.4100E-02        1.6000E-03        3.7100E-02        5.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.2660E-04               NAN               NAN               NAN        7.3000E-02        4.2000E-03        2.3600E-02        4.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        1.2810E-04               NAN               NAN               NAN        6.5000E-02        4.6000E-03        2.0700E-02        4.0000E-04               NAN               NAN               NAN               NAN               3.0               NAN
        1.4100E-04               NAN               NAN               NAN               NAN               NAN        1.4000E-03        3.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.5080E-04               NAN               NAN               NAN        7.1700E-02        2.7000E-03        4.2500E-02        6.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.6940E-04               NAN               NAN               NAN        6.7900E-02        5.3000E-03        2.0150E-02        4.5000E-04               NAN               NAN               NAN               NAN               3.0               NAN
        1.8050E-04               NAN               NAN               NAN        1.4130E-01        7.6000E-03        3.5000E-02        7.0000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        1.8840E-04               NAN               NAN               NAN        7.0600E-02        5.3000E-03        1.6200E-02        5.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        2.0180E-04               NAN               NAN               NAN        7.5500E-02        1.7000E-03        7.5600E-02        1.0000E-03               NAN               NAN               NAN               NAN               4.0               NAN
        2.0450E-04               NAN               NAN               NAN               NAN               NAN        1.0750E-02        1.2500E-03               NAN               NAN               NAN               NAN               NAN               NAN
        2.1420E-04               NAN               NAN               NAN        7.5200E-02        1.7000E-03        6.0600E-02        1.0000E-03               NAN               NAN               NAN               NAN               3.0               NAN
        2.2000E-04               NAN               NAN               NAN        8.1700E-02        5.0000E-03        2.9700E-02        7.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        2.2960E-04               NAN               NAN               NAN               NAN               NAN        1.0000E-02        1.3500E-03               NAN               NAN               NAN               NAN               NAN               NAN
        2.3250E-04               NAN               NAN               NAN               NAN               NAN        6.2500E-03        8.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN
        2.3910E-04               NAN               NAN               NAN        8.3600E-02        5.0000E-03        3.1200E-02        8.0000E-04               NAN               NAN               NAN               NAN               4.0               NAN
        2.5390E-04               NAN               NAN               NAN        1.6735E-01        3.8500E-03        1.4275E-01        2.0500E-03               NAN               NAN               NAN               NAN               NAN               NAN
        2.6100E-04               NAN               NAN               NAN        7.7400E-02        5.6500E-03        3.3750E-02        9.5000E-04               NAN               NAN               NAN               NAN               NAN               NAN
