# Header: 
#   Title                 : 53-I-129 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 22686-003-5 
#   First Author          : G.Noguere 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,NSTS,2,(1),184,200208) 
#   Year                  : 2002 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 53 
#   A                     : 129 
#   Isomer                :  
#   Nuclide               : 53-I-129 
# Reaction: 
#   EXFOR Reaction        : (53-I-129(N,G),,WID) 
#   Incident Energy       : -2.2636e+02 eV - 1.0021e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/226/22686.x4 
#   nds                   : https://nds.iaea.org/EXFOR/22686
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
  -2.2636E+02          NAN        4.0        0.0          NAN          NAN   5.1380E+00   4.0030E-01   9.4250E-01   6.9900E-02          NAN          NAN          NAN          NAN
  -1.6782E+02          NAN        3.0        0.0          NAN          NAN   3.4500E+00   5.4390E-01   1.0250E+00   6.7700E-02          NAN          NAN          NAN          NAN
   4.1367E+01          NAN        4.0        0.0          NAN          NAN   9.4860E-02   6.6130E-03   1.2210E-04   1.9930E-06          NAN          NAN          NAN          NAN
   7.2128E+01          NAN        3.0        0.0          NAN          NAN   9.0800E-02   5.9460E-04   1.6740E-02   3.9990E-05          NAN          NAN          NAN          NAN
   7.6147E+01          NAN        4.0        0.0          NAN          NAN   1.0600E-01   1.5000E-02   1.0370E-04   2.3590E-06          NAN          NAN          NAN          NAN
   9.6358E+01          NAN        4.0        0.0          NAN          NAN   1.0490E-01   2.9160E-03   1.3440E-03   5.9480E-06          NAN          NAN          NAN          NAN
   1.1519E+02          NAN        2.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   9.0000E-05   4.5300E-06          NAN          NAN          NAN          NAN
   1.2832E+02          NAN        3.0        0.0          NAN          NAN   9.7910E-02   1.2790E-03   8.7600E-03   1.6780E-05          NAN          NAN          NAN          NAN
   1.4063E+02          NAN        3.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   1.2500E-04   6.6930E-05          NAN          NAN          NAN          NAN
   1.4640E+02          NAN        3.0        0.0          NAN          NAN   1.0850E-01   8.7420E-04   5.2820E-02   1.3720E-04          NAN          NAN          NAN          NAN
   1.5257E+02          NAN        3.0        0.0          NAN          NAN   1.0540E-01   8.3400E-04   2.7710E-02   4.5790E-05          NAN          NAN          NAN          NAN
   1.6496E+02          NAN        4.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   8.8000E-05   6.4320E-06          NAN          NAN          NAN          NAN
   1.9875E+02          NAN        4.0        0.0          NAN          NAN   1.4000E-01   4.3200E-03   3.6210E-03   1.6420E-05          NAN          NAN          NAN          NAN
   2.0267E+02          NAN        3.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   5.9000E-05   8.5630E-06          NAN          NAN          NAN          NAN
   2.5916E+02          NAN        4.0        0.0          NAN          NAN   1.0600E-01   1.5000E-02   1.5720E-03   1.5100E-05          NAN          NAN          NAN          NAN
   2.6538E+02          NAN        3.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   5.3500E-04   7.1680E-05          NAN          NAN          NAN          NAN
   2.8417E+02          NAN        3.0        0.0          NAN          NAN   1.0740E-01   2.4010E-03   1.6890E-02   4.1130E-05          NAN          NAN          NAN          NAN
   2.9065E+02          NAN        3.0        0.0          NAN          NAN   1.0980E-01   2.1580E-03   2.0460E-02   4.5230E-05          NAN          NAN          NAN          NAN
   2.9560E+02          NAN        3.0        0.0          NAN          NAN   1.0600E-01   1.5000E-02   3.5850E-03   2.6210E-05          NAN          NAN          NAN          NAN
   3.1405E+02          NAN        4.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   3.6400E-04   3.3780E-05          NAN          NAN          NAN          NAN
   3.1597E+02          NAN        3.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   6.0800E-04   3.9910E-05          NAN          NAN          NAN          NAN
   3.4888E+02          NAN        2.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   4.5500E-04   3.2550E-05          NAN          NAN          NAN          NAN
   3.5385E+02          NAN        4.0        0.0          NAN          NAN   1.0600E-01   1.5000E-02   9.7200E-04   8.5000E-05          NAN          NAN          NAN          NAN
   3.5623E+02          NAN        3.0        0.0          NAN          NAN   1.0600E-01   1.5000E-02   1.8840E-03   5.4830E-05          NAN          NAN          NAN          NAN
   3.6070E+02          NAN        4.0        1.0          NAN          NAN   1.0600E-01   1.5000E-02   2.7200E-04   4.2510E-05          NAN          NAN          NAN          NAN
   3.6489E+02          NAN        4.0        0.0          NAN          NAN   1.0600E-01   1.5000E-02   2.9320E-03   3.8000E-04          NAN          NAN          NAN          NAN
   4.1004E+02          NAN        3.0        0.0          NAN          NAN   1.1440E-01   1.3430E-03   7.6720E-02   1.4080E-04          NAN          NAN          NAN          NAN
   4.2323E+02          NAN        3.0        0.0          NAN          NAN   1.2360E-01   1.2280E-03   1.3240E-01   2.3430E-04          NAN          NAN          NAN          NAN
   4.5428E+02          NAN        3.0        0.0          NAN          NAN   1.0960E-01   1.5850E-03   6.4530E-02   1.2430E-04          NAN          NAN          NAN          NAN
   4.6924E+02          NAN        3.0        0.0          NAN          NAN   1.0740E-01   1.0460E-03   1.5390E-01   2.6960E-04          NAN          NAN          NAN          NAN
