# Header: 
#   Title                 : 53-I-129 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 22686-002-2 
#   First Author          : G.Noguere 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,NSTS,2,(1),184,200208) 
#   Year                  : 2002 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 53 
#   A                     : 129 
#   Isomer                :  
#   Nuclide               : 53-I-129 
# Reaction: 
#   EXFOR Reaction        : (53-I-129(N,EL),,WID,,G) 
#   Incident Energy       : 4.1400e+01 eV - 1.0015e+03 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/226/22686.x4 
#   nds                   : https://nds.iaea.org/EXFOR/22686
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   4.1400E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0000E-05          NAN          NAN          NAN          NAN          NAN
   7.2100E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.0200E-03          NAN          NAN          NAN          NAN          NAN
   9.6300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.3000E-04          NAN          NAN          NAN          NAN          NAN
   1.4630E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.9300E-02          NAN          NAN          NAN          NAN          NAN
   1.5250E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.9000E-03          NAN          NAN          NAN          NAN          NAN
   1.9860E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5400E-03          NAN          NAN          NAN          NAN          NAN
   2.5890E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.6000E-04          NAN          NAN          NAN          NAN          NAN
   2.8400E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.7100E-03          NAN          NAN          NAN          NAN          NAN
   2.9040E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.9000E-03          NAN          NAN          NAN          NAN          NAN
   2.9540E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.1800E-03          NAN          NAN          NAN          NAN          NAN
   4.0970E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6700E-02          NAN          NAN          NAN          NAN          NAN
   4.2290E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.6400E-02          NAN          NAN          NAN          NAN          NAN
   4.5390E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2300E-02          NAN          NAN          NAN          NAN          NAN
   4.6880E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.3100E-02          NAN          NAN          NAN          NAN          NAN
   4.8890E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5600E-02          NAN          NAN          NAN          NAN          NAN
   5.4750E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5600E-02          NAN          NAN          NAN          NAN          NAN
   5.9510E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.6000E-03          NAN          NAN          NAN          NAN          NAN
   6.9260E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.7700E-02          NAN          NAN          NAN          NAN          NAN
   7.1890E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.7900E-02          NAN          NAN          NAN          NAN          NAN
   7.9620E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.4500E-02          NAN          NAN          NAN          NAN          NAN
   8.0280E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.3000E-02          NAN          NAN          NAN          NAN          NAN
   8.5430E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.6800E-02          NAN          NAN          NAN          NAN          NAN
   9.1420E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.1000E-02          NAN          NAN          NAN          NAN          NAN
   1.0015E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3640E-01          NAN          NAN          NAN          NAN          NAN
