# Header: 
#   Title                 : 49-IN-115 Resonance Parameter: WID/RED,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 13591-006-3 
#   First Author          : C.M.Frankle 
#   Institute             : (1USALAS): Los Alamos National Laboratory, NM 
#   Reference             : (J,PR/C,48,1601,9310) 
#   Year                  : 1993 
#   Facility              : (MESON): Meson facility 
# Target: 
#   Z                     : 49 
#   A                     : 115 
#   Isomer                :  
#   Nuclide               : 49-IN-115 
# Reaction: 
#   EXFOR Reaction        : (49-IN-115(N,EL),,WID/RED,,G) 
#   Incident Energy       : 2.9670e+01 eV - 4.9370e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/135/13591.x4 
#   nds                   : https://nds.iaea.org/EXFOR/13591
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.9670E+01   5.0000E-02        NAN        1.0          NAN          NAN          NAN          NAN   3.3000E-03          NAN          NAN          NAN          NAN          NAN
   4.0660E+01   7.0000E-02        NAN        1.0          NAN          NAN          NAN          NAN   7.6000E-03          NAN          NAN          NAN          NAN          NAN
   5.8700E+01   1.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E-04          NAN          NAN          NAN          NAN          NAN
   6.6400E+01   1.2000E-01        NAN        1.0          NAN          NAN          NAN          NAN   3.6000E-05          NAN          NAN          NAN          NAN          NAN
   7.3040E+01   1.3000E-01        NAN        1.0          NAN          NAN          NAN          NAN   8.5000E-03          NAN          NAN          NAN          NAN          NAN
   7.7890E+01   1.4000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.1000E-03          NAN          NAN          NAN          NAN          NAN
   8.5500E+01   1.5000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.0000E-03          NAN          NAN          NAN          NAN          NAN
   8.6320E+01   1.5000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-02          NAN          NAN          NAN          NAN          NAN
   8.8400E+01   1.6000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-03          NAN          NAN          NAN          NAN          NAN
   1.0080E+02   2.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E-02          NAN          NAN          NAN          NAN          NAN
   1.0370E+02   2.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.0000E-04          NAN          NAN          NAN          NAN          NAN
   1.1080E+02   2.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   6.7000E-03          NAN          NAN          NAN          NAN          NAN
   1.1430E+02   2.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.9000E-02          NAN          NAN          NAN          NAN          NAN
   1.2060E+02   2.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   9.1000E-03          NAN          NAN          NAN          NAN          NAN
   1.4410E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.6000E-02          NAN          NAN          NAN          NAN          NAN
   1.4570E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-02          NAN          NAN          NAN          NAN          NAN
   1.4690E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.2000E-02          NAN          NAN          NAN          NAN          NAN
   1.5650E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.0000E-03          NAN          NAN          NAN          NAN          NAN
   1.5860E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.3000E-02          NAN          NAN          NAN          NAN          NAN
   1.6220E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.7000E-02          NAN          NAN          NAN          NAN          NAN
   1.7420E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.0000E-02          NAN          NAN          NAN          NAN          NAN
   1.9090E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-02          NAN          NAN          NAN          NAN          NAN
   1.9240E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   6.7000E-02          NAN          NAN          NAN          NAN          NAN
   1.9450E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-02          NAN          NAN          NAN          NAN          NAN
   1.9870E+02   3.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   5.9000E-03          NAN          NAN          NAN          NAN          NAN
   2.1410E+02   4.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-02          NAN          NAN          NAN          NAN          NAN
   2.1970E+02   4.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.1000E-03          NAN          NAN          NAN          NAN          NAN
   2.4670E+02   4.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-02          NAN          NAN          NAN          NAN          NAN
   2.6450E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E-03          NAN          NAN          NAN          NAN          NAN
   2.7500E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-03          NAN          NAN          NAN          NAN          NAN
   2.7690E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E-03          NAN          NAN          NAN          NAN          NAN
   2.8230E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   6.0000E-03          NAN          NAN          NAN          NAN          NAN
   2.8510E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.4000E-03          NAN          NAN          NAN          NAN          NAN
   3.0280E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.9000E-02          NAN          NAN          NAN          NAN          NAN
   3.0410E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.5000E-02          NAN          NAN          NAN          NAN          NAN
   3.0820E+02   5.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   5.0000E-03          NAN          NAN          NAN          NAN          NAN
   3.1340E+02   6.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.0000E-02          NAN          NAN          NAN          NAN          NAN
   3.1700E+02   6.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   6.0000E-04          NAN          NAN          NAN          NAN          NAN
   3.2580E+02   6.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.4000E-02          NAN          NAN          NAN          NAN          NAN
   3.2950E+02   6.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   1.4000E-02          NAN          NAN          NAN          NAN          NAN
   3.3350E+02   6.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   2.0000E-02          NAN          NAN          NAN          NAN          NAN
   3.3670E+02   6.0000E-01        NAN        1.0          NAN          NAN          NAN          NAN   3.0000E-02          NAN          NAN          NAN          NAN          NAN
