# Header: 
#   Title                 : 19-K-39 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : R.L.Macklin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,NSE,88,129,8410) 
#   Year                  : 1984 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 19 
#   A                     : 39 
#   Nuclide               : 19-K-39 
# Reaction: 
#   entry-subent-pointer  :['12920-002-4'] 
#   EXFOR reaction        :['(19-K-39(N,G),,WID)'] 
#   incident energy       : 3.2810e+03 eV - 1.5200e+05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/129/12920.x4 
#   nds                   : https://nds.iaea.org/EXFOR/12920
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.2810E+03          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.3860E+03          NAN        NAN        NAN          NAN          NAN   4.6300E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2159E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2626E+04          NAN        NAN        NAN          NAN          NAN   4.8800E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4302E+04          NAN        NAN        NAN          NAN          NAN   2.6600E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5958E+04          NAN        2.0        NAN          NAN          NAN   2.9100E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6715E+04          NAN        NAN        NAN          NAN          NAN   3.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.4970E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5560E+04          NAN        NAN        NAN          NAN          NAN   3.9600E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8360E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2230E+04          NAN        NAN        NAN          NAN          NAN   8.6900E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.3360E+04          NAN        NAN        NAN          NAN          NAN   3.0100E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7560E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7660E+04          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2560E+04          NAN        2.0        NAN          NAN          NAN   9.7300E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
