# Header: 
#   Title                 : 57-LA-139 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 30384-002-4 
#   First Author          : A.R.De L.Musgrove 
#   Institute             : (3AULAUA): Australian Nuclear Sci.and Techn.Org., Lucas Heights,NSW 
#   Reference             : (J,AUJ,30,599,1977) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 57 
#   A                     : 139 
#   Isomer                :  
#   Nuclide               : 57-LA-139 
# Reaction: 
#   EXFOR Reaction        : (57-LA-139(N,G),,WID,,2G) 
#   Incident Energy       : 2.6680e+03 eV - 1.4925e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/303/30384.x4 
#   nds                   : https://nds.iaea.org/EXFOR/30384
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.6680E+03   4.0020E+00        NAN        NAN          NAN          NAN   2.8000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8610E+03   4.2915E+00        NAN        NAN          NAN          NAN   4.8000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.9720E+03   4.4580E+00        NAN        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0000E+03   4.5000E+00        NAN        NAN          NAN          NAN   4.1000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.1260E+03   4.6890E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2930E+03   4.9395E+00        NAN        NAN          NAN          NAN   4.1000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.4300E+03   5.1450E+00        NAN        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4610E+03   5.1915E+00        NAN        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.4880E+03   5.2320E+00        NAN        NAN          NAN          NAN   2.2000E-02   2.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.5520E+03   5.3280E+00        NAN        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.7340E+03   5.6010E+00        NAN        NAN          NAN          NAN   1.0800E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.7550E+03   5.6325E+00        NAN        NAN          NAN          NAN   4.7000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.0130E+03   6.0195E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.0600E+03   6.0900E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.2810E+03   6.4215E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3670E+03   6.5505E+00        NAN        NAN          NAN          NAN   4.6000E-02   2.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.6200E+03   6.9300E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.6580E+03   6.9870E+00        NAN        NAN          NAN          NAN   4.8000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.7400E+03   7.1100E+00        NAN        NAN          NAN          NAN   4.8000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.8240E+03   7.2360E+00        NAN        NAN          NAN          NAN   4.5000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.1720E+03   7.7580E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.1940E+03   7.7910E+00        NAN        0.0          NAN          NAN   5.3000E-02   7.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.2970E+03   7.9455E+00        NAN        1.0          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.3600E+03   8.0400E+00        NAN        NAN          NAN          NAN   6.0000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.5380E+03   8.3070E+00        NAN        NAN          NAN          NAN   3.7000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.8410E+03   8.7615E+00        NAN        NAN          NAN          NAN   5.2000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.8550E+03   8.7825E+00        NAN        NAN          NAN          NAN   9.3000E-02   1.2000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.8720E+03   8.8080E+00        NAN        NAN          NAN          NAN   3.7000E-02   6.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.8910E+03   8.8365E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.9870E+03   8.9805E+00        NAN        NAN          NAN          NAN   4.2000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   6.1480E+03   9.2220E+00        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.3470E+03   9.5205E+00        NAN        0.0          NAN          NAN   4.2000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   6.4700E+03   9.7050E+00        NAN        NAN          NAN          NAN   5.1000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   6.5700E+03   9.8550E+00        NAN        NAN          NAN          NAN   5.2000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   6.8730E+03   1.0309E+01        NAN        NAN          NAN          NAN   5.0000E-02   3.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.0040E+03   1.0506E+01        NAN        NAN          NAN          NAN   8.8000E-02   7.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.0750E+03   1.0613E+01        NAN        1.0          NAN          NAN   3.3000E-02   6.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.1090E+03   1.0663E+01        NAN        0.0          NAN          NAN   5.1000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.1500E+03   1.0725E+01        NAN        NAN          NAN          NAN   5.7000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.4600E+03   1.1190E+01        NAN        0.0          NAN          NAN   7.1000E-02   6.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.4780E+03   1.1217E+01        NAN        NAN          NAN          NAN   6.1000E-02   6.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.5650E+03   1.1348E+01        NAN        0.0          NAN          NAN   3.4000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   7.6380E+03   1.1457E+01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   7.9180E+03   1.1877E+01        NAN        NAN          NAN          NAN   7.0000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
