# Header: 
#   Title                 : 12-MG-24 Resonance Parameter: WID,,G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10791-007-4 
#   First Author          : H.Weigmann 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PR/C,14,1328,197610) 
#   Year                  : 1976 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 12 
#   A                     : 24 
#   Isomer                :  
#   Nuclide               : 12-MG-24 
# Reaction: 
#   EXFOR Reaction        : (12-MG-24(N,EL),,WID,,G) 
#   Incident Energy       : 4.6350e+04 eV - 1.7540e+06 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/107/10791.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10791
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   4.6350E+04          NAN        1.5        2.0          NAN          NAN          NAN          NAN   1.4400E+03          NAN          NAN          NAN          NAN          NAN
   2.5720E+05          NAN        NAN        2.0          NAN          NAN          NAN          NAN   3.8000E+01          NAN          NAN          NAN          NAN          NAN
   2.6600E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN   7.8000E+04          NAN          NAN          NAN          NAN          NAN
   4.3060E+05          NAN        1.5        1.0          NAN          NAN          NAN          NAN   6.2000E+04          NAN          NAN          NAN          NAN          NAN
   4.7540E+05          NAN        2.5        2.0          NAN          NAN          NAN          NAN   4.0000E+01          NAN          NAN          NAN          NAN          NAN
   4.9820E+05          NAN        1.5        1.0          NAN          NAN          NAN          NAN   1.0600E+03          NAN          NAN          NAN          NAN          NAN
   5.5540E+05          NAN        1.5        2.0          NAN          NAN          NAN          NAN   1.7000E+01          NAN          NAN          NAN          NAN          NAN
   6.4190E+05          NAN        0.5        1.0          NAN          NAN          NAN          NAN   9.0000E+02          NAN          NAN          NAN          NAN          NAN
   6.5850E+05          NAN        0.5        0.0          NAN          NAN          NAN          NAN   2.1000E+04          NAN          NAN          NAN          NAN          NAN
   8.4420E+05          NAN        1.5        2.0          NAN          NAN          NAN          NAN   2.6000E+04          NAN          NAN          NAN          NAN          NAN
   9.5200E+05          NAN        NAN        2.0          NAN          NAN          NAN          NAN   5.5000E+02          NAN          NAN          NAN          NAN          NAN
   1.0218E+06          NAN        2.5        2.0          NAN          NAN          NAN          NAN   3.7500E+03          NAN          NAN          NAN          NAN          NAN
   1.0273E+06          NAN        NAN        2.0          NAN          NAN          NAN          NAN   3.4000E+02          NAN          NAN          NAN          NAN          NAN
   1.0352E+06          NAN        0.5        0.0          NAN          NAN          NAN          NAN   1.0000E+04          NAN          NAN          NAN          NAN          NAN
   1.0635E+06          NAN        NAN        2.0          NAN          NAN          NAN          NAN   6.7000E+02          NAN          NAN          NAN          NAN          NAN
   1.0752E+06          NAN        0.5        0.0          NAN          NAN          NAN          NAN   2.0000E+04          NAN          NAN          NAN          NAN          NAN
   1.2797E+06          NAN        2.5        2.0          NAN          NAN          NAN          NAN   5.4000E+03          NAN          NAN          NAN          NAN          NAN
   1.2909E+06          NAN        1.5        1.0          NAN          NAN          NAN          NAN   8.4000E+03          NAN          NAN          NAN          NAN          NAN
   1.3013E+06          NAN        1.5        2.0          NAN          NAN          NAN          NAN   1.6800E+04          NAN          NAN          NAN          NAN          NAN
   1.3192E+06          NAN        NAN        2.0          NAN          NAN          NAN          NAN   5.5000E+02          NAN          NAN          NAN          NAN          NAN
   1.5670E+06          NAN        0.5        0.0          NAN          NAN          NAN          NAN   4.2000E+03          NAN          NAN          NAN          NAN          NAN
   1.6030E+06          NAN        1.5        1.0          NAN          NAN          NAN          NAN   3.0000E+04          NAN          NAN          NAN          NAN          NAN
   1.6290E+06          NAN        0.5        1.0          NAN          NAN          NAN          NAN   3.5000E+04          NAN          NAN          NAN          NAN          NAN
   1.7090E+06          NAN        2.5        2.0          NAN          NAN          NAN          NAN   2.8800E+04          NAN          NAN          NAN          NAN          NAN
   1.7540E+06          NAN        NAN        1.0          NAN          NAN          NAN          NAN   2.6000E+03          NAN          NAN          NAN          NAN          NAN
