# Header: 
#   Title                 : 42-MO-0 Resonance Parameter: WID/RED,,2AG 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 11913-003-2 
#   First Author          : S.Wynchank 
#   Institute             : (1USACOL): Columbia University, New York, NY 
#   Reference             : (J,PR,166,1234,1968) 
#   Year                  : 1968 
#   Facility              : (SYNCH): Synchrotron 
# Target: 
#   Z                     : 42 
#   A                     : 0 
#   Isomer                :  
#   Nuclide               : 42-MO-0 
# Reaction: 
#   EXFOR Reaction        : (42-MO-0(N,EL),,WID/RED,,2AG) 
#   Incident Energy       : 7.0930e+01 eV - 5.0430e+03 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/119/11913.x4 
#   nds                   : https://nds.iaea.org/EXFOR/11913
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   7.0930E+01   3.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   2.8000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   9.7340E+01   6.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-06   2.0000E-06          NAN          NAN          NAN          NAN
   1.1344E+02   7.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-06   2.0000E-06          NAN          NAN          NAN          NAN
   1.1773E+02   7.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-06   2.0000E-06          NAN          NAN          NAN          NAN
   1.3140E+02   8.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   9.4000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   1.5472E+02   5.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-06   2.0000E-06          NAN          NAN          NAN          NAN
   1.5946E+02   6.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   1.6000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   2.1786E+02   9.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   1.4000E-05   4.0000E-06          NAN          NAN          NAN          NAN
   2.2731E+02   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-05   2.0000E-06          NAN          NAN          NAN          NAN
   2.6371E+02   1.2000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-05   4.0000E-06          NAN          NAN          NAN          NAN
   2.6811E+02   1.2000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   2.8588E+02   1.4000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.2000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   3.1187E+02   1.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   5.6000E-05   8.0000E-06          NAN          NAN          NAN          NAN
   3.3144E+02   1.7000E-01        NAN        0.0          NAN          NAN          NAN          NAN   4.4000E-05   1.6000E-05          NAN          NAN          NAN          NAN
   3.4682E+02   1.8000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   3.5236E+02   1.8000E-01        NAN        0.0          NAN          NAN          NAN          NAN   6.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   3.5823E+02   1.9000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.8000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   3.6367E+02   1.9000E-01        NAN        0.0          NAN          NAN          NAN          NAN   5.2000E-03   1.4000E-03          NAN          NAN          NAN          NAN
   3.8056E+02   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   6.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   3.9692E+02   2.2000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.2000E-04   8.0000E-05          NAN          NAN          NAN          NAN
   4.0172E+02   2.2000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.6000E-05   1.2000E-05          NAN          NAN          NAN          NAN
   4.1900E+02   2.4000E-01        NAN        0.0          NAN          NAN          NAN          NAN   5.4000E-05   1.0000E-05          NAN          NAN          NAN          NAN
   4.2904E+02   2.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2400E-03   1.0000E-04          NAN          NAN          NAN          NAN
   4.6716E+02   2.8000E-01        NAN        0.0          NAN          NAN          NAN          NAN   9.0000E-03   1.4000E-03          NAN          NAN          NAN          NAN
   5.0496E+02   3.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.2000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   5.5391E+02   3.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-04   2.0000E-04          NAN          NAN          NAN          NAN
   5.5785E+02   3.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.4000E-03   2.0000E-04          NAN          NAN          NAN          NAN
   5.6698E+02   3.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   4.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   5.7150E+02   4.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   2.0000E-05          NAN          NAN          NAN          NAN
   6.1240E+02   4.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   7.0000E-04   1.2000E-04          NAN          NAN          NAN          NAN
   6.2976E+02   4.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   6.4788E+02   4.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   4.0000E-05          NAN          NAN          NAN          NAN
   6.6100E+02   4.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   6.7583E+02   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.4000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   6.8115E+02   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   5.0000E-03   1.8000E-03          NAN          NAN          NAN          NAN
   7.0717E+02   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.6000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   7.3308E+02   5.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2000E-04   2.0000E-05          NAN          NAN          NAN          NAN
   7.4518E+02   5.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.6000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   7.6971E+02   6.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.8000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   7.8634E+02   6.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.3000E-03   4.0000E-04          NAN          NAN          NAN          NAN
   8.1805E+02   6.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.6000E-03   6.0000E-04          NAN          NAN          NAN          NAN
   8.6270E+02   7.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.4000E-04   1.0000E-04          NAN          NAN          NAN          NAN
   8.9918E+02   7.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.2400E-03   1.6000E-04          NAN          NAN          NAN          NAN
   9.8114E+02   8.5000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.4000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   1.0086E+03   9.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   1.0255E+03   9.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.6000E-04   1.4000E-04          NAN          NAN          NAN          NAN
   1.0691E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.2000E-04   8.0000E-05          NAN          NAN          NAN          NAN
   1.1084E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-04   1.0000E-04          NAN          NAN          NAN          NAN
