# Header: 
#   Title                 : 42-MO-96 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 30357-011-1 
#   First Author          : A.R.De L.Musgrove 
#   Institute             : (3AULAUA): Australian Nuclear Sci.and Techn.Org., Lucas Heights,NSW 
#   Reference             : (J,NP/A,270,108,197610) 
#   Year                  : 1976 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 42 
#   A                     : 96 
#   Isomer                :  
#   Nuclide               : 42-MO-96 
# Reaction: 
#   EXFOR Reaction        : (42-MO-96(N,G),,WID/STR) 
#   Incident Energy       : 3.2860e+03 eV - 1.9605e+04 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/303/30357.x4 
#   nds                   : https://nds.iaea.org/EXFOR/30357
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.2860E+03   3.0000E+00        NAN        1.0          NAN          NAN   5.5000E-02   7.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.2870E+03   5.0000E+00        NAN        0.0          NAN          NAN   1.3300E-01   1.6000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.5780E+03   4.0000E+00        NAN        0.0          NAN          NAN   9.0000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.7640E+03   3.0000E+00        NAN        1.0          NAN          NAN   1.2300E-01   1.4000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.3260E+03   3.0000E+00        NAN        NAN          NAN          NAN   7.1000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.4200E+03   3.0000E+00        NAN        NAN          NAN          NAN   9.1000E-02   1.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.5670E+03   3.0000E+00        NAN        1.0          NAN          NAN   3.6000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.9530E+03   3.0000E+00        NAN        1.0          NAN          NAN   1.1000E-02   2.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.3850E+03   3.0000E+00        NAN        0.0          NAN          NAN   7.0000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.4130E+03   3.0000E+00        NAN        1.0          NAN          NAN   6.3000E-02   7.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
