# Header: 
#   Title                 : 60-ND-145 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : R.N.Alves 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (J,NP/A,134,118,1969) 
#   Year                  : 1969 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 60 
#   A                     : 145 
#   Nuclide               : 60-ND-145 
# Reaction: 
#   entry-subent-pointer  :['20688-027-3' '20688-027-4'] 
#   EXFOR reaction        :['(60-ND-145(N,EL),,WID)' '(60-ND-145(N,TOT),,WID)'] 
#   incident energy       : 4.3400e+00 eV - 6.4800e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/206/20688.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20688
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 4.3400E+00        NAN        NAN        NAN 5.8000E-02        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.2490E+01        NAN        NAN        NAN 4.5000E-01        NAN        NAN        NAN 3.6000E-01        NAN        NAN        NAN
 8.5530E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 9.5940E+01        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.0180E+02        NAN        NAN        NAN 2.3500E-01        NAN        NAN        NAN 1.5600E-01        NAN        NAN        NAN
 1.0330E+02        NAN        NAN        NAN 1.1000E-01        NAN        NAN        NAN 3.7600E-02        NAN        NAN        NAN
 1.4680E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.5120E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.8880E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.4170E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.5280E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.5820E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 2.7410E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1030E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.1230E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.6480E+02        NAN        NAN        NAN 8.5000E-01        NAN        NAN        NAN 8.0000E-01        NAN        NAN        NAN
 4.9730E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 5.0560E+02        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 5.4170E+02        NAN        NAN        NAN 7.5000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 5.6860E+02        NAN        NAN        NAN 1.1000E+00        NAN        NAN        NAN 1.0600E+00        NAN        NAN        NAN
 6.3900E+02        NAN        NAN        NAN 6.0000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 6.4800E+02        NAN        NAN        NAN 2.2000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
