# Header: 
#   Title                 : 60-ND-146 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-23 
# EXFOR Bibliographic Information: 
#   First Author          : E.N.Karzhavina 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,SNP,8,371,1969) 
#   Year                  : 1969 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 60 
#   A                     : 146 
#   Nuclide               : 60-ND-146 
# Reaction: 
#   entry-subent-pointer  :{0: '40113-031-2', 1: '40113-031-2', 2: '40113-031-2', 3: '40113-031-2', 4: '40113-031-2', 5: '40113-031-2', 6: '40113-031-2', 7: '40113-031-2', 8: '40113-031-2', 9: '40113-031-2', 10: '40113-031-2', 11: '40113-031-2', 12: '40113-031-2', 13: '40113-031-2'} 
#   EXFOR reaction        :{0: '(60-ND-146(N,EL),,WID)', 1: '(60-ND-146(N,EL),,WID)', 2: '(60-ND-146(N,EL),,WID)', 3: '(60-ND-146(N,EL),,WID)', 4: '(60-ND-146(N,EL),,WID)', 5: '(60-ND-146(N,EL),,WID)', 6: '(60-ND-146(N,EL),,WID)', 7: '(60-ND-146(N,EL),,WID)', 8: '(60-ND-146(N,EL),,WID)', 9: '(60-ND-146(N,EL),,WID)', 10: '(60-ND-146(N,EL),,WID)', 11: '(60-ND-146(N,EL),,WID)', 12: '(60-ND-146(N,EL),,WID)', 13: '(60-ND-146(N,EL),,WID)'} 
#   incident energy       : 3.6100e+02 eV - 6.7230e+03 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40113.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40113
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        3.6100E+02        1.0000E+00               NAN               NAN               NAN               NAN        4.3000E-02        7.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN
        8.1300E+02        3.0000E+00               NAN               NAN               NAN               NAN        1.1600E+00        1.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        1.1750E+03        4.0000E+00               NAN               NAN               NAN               NAN        1.3500E+01        1.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        1.5110E+03        7.0000E+00               NAN               NAN               NAN               NAN        3.4000E+00        3.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        1.8310E+03        9.0000E+00               NAN               NAN               NAN               NAN        1.5400E+00        6.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN
        2.0490E+03        1.1000E+01               NAN               NAN               NAN               NAN        4.2000E+00        4.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        2.6150E+03        2.0000E+01               NAN               NAN               NAN               NAN        2.5000E+01        2.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        2.9980E+03        2.5000E+01               NAN               NAN               NAN               NAN        3.6800E+00        3.6000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        3.2550E+03        2.5000E+01               NAN               NAN               NAN               NAN        2.0000E+00        4.0000E-01               NAN               NAN               NAN               NAN               NAN               NAN
        3.6770E+03        2.5000E+01               NAN               NAN               NAN               NAN        2.1000E+01        2.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        4.0260E+03        3.0000E+01               NAN               NAN               NAN               NAN        1.4000E+01        1.5000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        5.4650E+03        5.0000E+01               NAN               NAN               NAN               NAN        4.9000E+00        1.1000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        6.4560E+03        6.0000E+01               NAN               NAN               NAN               NAN        7.5000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.7230E+03        6.5000E+01               NAN               NAN               NAN               NAN        8.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN
