# Header: 
#   Title                 : 60-ND-150 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 20121-044-0 
#   First Author          : H.Tellier 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : ((R,CEA-N-1459,1971)=(R,EANDC(E)-142L,1971)=(R,INDC(FR)-4,1971)) 
#   Year                  : 1971 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 60 
#   A                     : 150 
#   Isomer                :  
#   Nuclide               : 60-ND-150 
# Reaction: 
#   EXFOR Reaction        : (60-ND-150(N,EL),,WID/RED,,2G) 
#   Incident Energy       : 7.8820e+01 eV - 1.3840e+04 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20121.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20121
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   7.8820E+01   7.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   4.2580E-03   1.1260E-04          NAN          NAN          NAN          NAN
   2.6590E+02   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   4.9060E-05   6.1330E-06          NAN          NAN          NAN          NAN
   3.1320E+02   3.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   4.8030E-02   1.6950E-03          NAN          NAN          NAN          NAN
   4.5900E+02   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.4000E-04   2.3340E-05          NAN          NAN          NAN          NAN
   4.8600E+02   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.8450E-02   4.5360E-03          NAN          NAN          NAN          NAN
   6.6270E+02   7.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.3830E-03   5.8270E-05          NAN          NAN          NAN          NAN
   7.6920E+02   7.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.3890E-02   1.0820E-03          NAN          NAN          NAN          NAN
   9.5350E+02   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.9510E-04   4.8580E-05          NAN          NAN          NAN          NAN
   1.0320E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.4620E-02   3.1130E-03          NAN          NAN          NAN          NAN
   1.1510E+03   1.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.8640E-04   2.9480E-05          NAN          NAN          NAN          NAN
   1.3310E+03   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.5220E-02   1.3710E-03          NAN          NAN          NAN          NAN
   1.4680E+03   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   6.3420E-02   1.3050E-03          NAN          NAN          NAN          NAN
   1.7130E+03   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.0270E-01   4.8320E-03          NAN          NAN          NAN          NAN
   1.7710E+03   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.4810E-02   4.7520E-03          NAN          NAN          NAN          NAN
   1.8620E+03   2.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.8770E-02   9.2700E-04          NAN          NAN          NAN          NAN
   2.3270E+03   2.5000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.1510E-02   6.2190E-04          NAN          NAN          NAN          NAN
   2.5210E+03   2.5000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.9790E-02   1.9910E-03          NAN          NAN          NAN          NAN
   2.6200E+03   3.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.3290E-02   5.8610E-04          NAN          NAN          NAN          NAN
   2.7300E+03   3.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.3250E-01   1.9140E-02          NAN          NAN          NAN          NAN
   2.8500E+03   3.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.4240E-01   5.6200E-03          NAN          NAN          NAN          NAN
   3.1780E+03   3.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.0040E-02   8.8690E-04          NAN          NAN          NAN          NAN
   3.2960E+03   3.5000E+00        NAN        0.0          NAN          NAN          NAN          NAN   4.3540E-04   1.7420E-04          NAN          NAN          NAN          NAN
   3.4440E+03   4.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.0590E-02   1.0220E-03          NAN          NAN          NAN          NAN
   3.5020E+03   4.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.3790E-01   3.3800E-03          NAN          NAN          NAN          NAN
   3.8200E+03   4.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.2800E-01   4.8540E-03          NAN          NAN          NAN          NAN
   3.9860E+03   4.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   7.9200E-03   4.7520E-04          NAN          NAN          NAN          NAN
   4.2540E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.5910E-02   1.2270E-03          NAN          NAN          NAN          NAN
   4.3370E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.8700E-04   3.0370E-04          NAN          NAN          NAN          NAN
   4.4650E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   5.2000E-02   1.4970E-03          NAN          NAN          NAN          NAN
   4.6510E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   6.7740E-02   2.9330E-03          NAN          NAN          NAN          NAN
   4.7530E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   6.2370E-03   5.8020E-04          NAN          NAN          NAN          NAN
   4.9340E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.2170E-02   1.1390E-03          NAN          NAN          NAN          NAN
   4.9620E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.3690E-03   5.6780E-04          NAN          NAN          NAN          NAN
   5.0430E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.5490E-02   8.4490E-04          NAN          NAN          NAN          NAN
   5.1410E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.0680E-03   1.1160E-03          NAN          NAN          NAN          NAN
   5.1850E+03   5.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.1250E-03   1.1110E-03          NAN          NAN          NAN          NAN
   5.3310E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   5.6980E-02   2.7390E-03          NAN          NAN          NAN          NAN
   5.4680E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.1770E-01   4.0570E-03          NAN          NAN          NAN          NAN
   5.6570E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.9920E-03   3.9890E-04          NAN          NAN          NAN          NAN
   5.8560E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.1620E-01   5.2270E-02          NAN          NAN          NAN          NAN
   6.1230E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.5470E-01   1.1500E-02          NAN          NAN          NAN          NAN
   6.3290E+03   6.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.2580E-01   1.5080E-02          NAN          NAN          NAN          NAN
   6.6990E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.0890E-02   3.6650E-03          NAN          NAN          NAN          NAN
   6.8000E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.1280E-02   3.6380E-03          NAN          NAN          NAN          NAN
   6.8530E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   8.2750E-02   7.2480E-03          NAN          NAN          NAN          NAN
   7.0600E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.9870E-02   5.9510E-03          NAN          NAN          NAN          NAN
   7.1580E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.3180E-01   1.1820E-02          NAN          NAN          NAN          NAN
   7.4040E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.1620E-02   3.4860E-03          NAN          NAN          NAN          NAN
   7.5330E+03   7.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.2260E-01   1.7280E-02          NAN          NAN          NAN          NAN
   7.5890E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   7.9440E-01   2.8700E-02          NAN          NAN          NAN          NAN
   7.6660E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.1930E-02   6.8530E-03          NAN          NAN          NAN          NAN
   7.8240E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.0220E-02   1.1310E-02          NAN          NAN          NAN          NAN
   8.0820E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.9220E-01   1.3350E-02          NAN          NAN          NAN          NAN
   8.1660E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.6100E-01   1.3280E-02          NAN          NAN          NAN          NAN
   8.2840E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.6190E-01   1.3180E-02          NAN          NAN          NAN          NAN
   8.4380E+03   8.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   1.2300E-02   3.2660E-03          NAN          NAN          NAN          NAN
   8.7430E+03   9.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.2060E-01   6.4170E-03          NAN          NAN          NAN          NAN
   8.9530E+03   9.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   3.5330E-01   1.0570E-02          NAN          NAN          NAN          NAN
   9.1750E+03   9.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   9.3960E-03   2.0880E-03          NAN          NAN          NAN          NAN
   9.3030E+03   9.0000E+00        NAN        0.0          NAN          NAN          NAN          NAN   2.5680E-01   1.0370E-02          NAN          NAN          NAN          NAN
   9.5290E+03   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.4140E-01   6.1460E-03          NAN          NAN          NAN          NAN
   9.9060E+03   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   6.4100E-02   6.0280E-03          NAN          NAN          NAN          NAN
   1.0010E+04   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   5.4470E-02   5.9970E-03          NAN          NAN          NAN          NAN
   1.0310E+04   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   6.6950E-02   7.8770E-03          NAN          NAN          NAN          NAN
   1.0390E+04   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   4.9380E-01   1.4720E-02          NAN          NAN          NAN          NAN
   1.1000E+04   1.0000E+01        NAN        0.0          NAN          NAN          NAN          NAN   5.9310E-02   7.6280E-03          NAN          NAN          NAN          NAN
   1.1150E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.0120E-01   9.4720E-03          NAN          NAN          NAN          NAN
   1.1260E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   7.2560E-02   7.5380E-03          NAN          NAN          NAN          NAN
   1.1650E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.3070E-01   9.2660E-03          NAN          NAN          NAN          NAN
   1.1930E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   4.3940E-02   5.4930E-03          NAN          NAN          NAN          NAN
   1.2120E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   2.2380E-01   1.3630E-02          NAN          NAN          NAN          NAN
   1.2460E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   2.5630E-02   5.3760E-03          NAN          NAN          NAN          NAN
   1.2750E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   4.1720E-02   7.0860E-03          NAN          NAN          NAN          NAN
   1.3080E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.8220E-01   8.7430E-03          NAN          NAN          NAN          NAN
   1.3310E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   3.9180E-02   5.2000E-03          NAN          NAN          NAN          NAN
   1.3380E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   4.3550E-01   1.7290E-02          NAN          NAN          NAN          NAN
   1.3540E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   4.4090E-02   8.5950E-03          NAN          NAN          NAN          NAN
   1.3840E+04   1.5000E+01        NAN        0.0          NAN          NAN          NAN          NAN   1.9210E-02   3.4000E-03          NAN          NAN          NAN          NAN
