# Header: 
#   Title                 : 28-NI-59 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10680-004-2 
#   First Author          : J.A.Harvey 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (P,ORNL-5137,2,197605) 
#   Year                  : 1976 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 28 
#   A                     : 59 
#   Isomer                :  
#   Nuclide               : 28-NI-59 
# Reaction: 
#   EXFOR Reaction        : (28-NI-59(N,TOT),,WID) 
#   Incident Energy       : 2.0340e+02 eV - 1.1530e+04 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/106/10680.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10680
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.0340E+02   2.0000E-01        1.0        NAN   1.3300E+01   2.0000E-01   3.1000E+00   3.0000E-01   9.6000E+00   2.0000E-01          NAN          NAN          NAN          NAN
   1.3330E+03   1.0000E+00        2.0        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7420E+03   2.0000E+00        2.0        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.2030E+03   3.0000E+00        2.0        NAN   1.0000E+01   4.0000E+00   8.0000E-01   2.0000E-01   1.1200E+01   1.5000E+00          NAN          NAN          NAN          NAN
   4.2110E+03   6.0000E+00        1.0        NAN   1.9800E+02   1.4000E+01   3.7000E+00   1.0000E+00   1.8300E+02   1.2000E+01          NAN          NAN          NAN          NAN
   6.2300E+03   2.0000E+01        NAN        NAN          NAN          NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.2760E+03   1.0000E+01        2.0        NAN   2.8800E+02   2.3000E+01   9.0000E-01   4.0000E-01   2.6500E+02   2.0000E+01          NAN          NAN          NAN          NAN
   6.3600E+03   2.0000E+01        NAN        NAN          NAN          NAN   2.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.1030E+03   2.0000E+01        0.2        NAN   5.0000E+01   2.0000E+01   1.1000E+00          NAN   6.4000E+01   2.7000E+01          NAN          NAN          NAN          NAN
   9.2270E+03   2.0000E+01        NAN        NAN   3.0000E+01   1.5000E+01   1.7000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.8500E+03   3.0000E+01        NAN        NAN   2.0000E+01          NAN   4.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1100E+04   3.0000E+01        NAN        NAN   4.0000E+01   2.0000E+01   2.0000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1530E+04   3.0000E+01        NAN        NAN   6.0000E+01   3.0000E+01   1.4000E+00          NAN          NAN          NAN          NAN          NAN          NAN          NAN
