# Header: 
#   Title                 : 28-NI-60 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 22669-002-5 
#   First Author          : F.Corvi 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,NP/A,697,(3-4),581,2002) 
#   Year                  : 2002 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 28 
#   A                     : 60 
#   Isomer                :  
#   Nuclide               : 28-NI-60 
# Reaction: 
#   EXFOR Reaction        : (28-NI-60(N,G),,WID) 
#   Incident Energy       : 1.3263e+03 eV - 4.5154e+05 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/226/22669.x4 
#   nds                   : https://nds.iaea.org/EXFOR/22669
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.3263E+03          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.2487E+03          NAN        3.0        1.0          NAN          NAN   5.8000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.5341E+03          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2206E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2423E+04          NAN        0.5        0.0          NAN          NAN   2.2900E+00   1.7000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.3606E+04          NAN        0.5        1.0          NAN          NAN   3.9000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.1286E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3802E+04          NAN        0.5        1.0          NAN          NAN   2.4000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.3912E+04          NAN        0.5        1.0          NAN          NAN   7.5000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.8465E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8515E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.8675E+04          NAN        0.5        0.0          NAN          NAN   4.1000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.9498E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0279E+04          NAN        0.5        1.0          NAN          NAN   8.3000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.3039E+04          NAN        0.5        1.0          NAN          NAN   5.2000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.3414E+04          NAN        0.5        1.0          NAN          NAN   3.0000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   3.9560E+04          NAN        0.5        1.0          NAN          NAN   6.8000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.2735E+04          NAN        0.5        1.0          NAN          NAN   4.2000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.3007E+04          NAN        0.5        1.0          NAN          NAN   4.8000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.3133E+04          NAN        0.5        0.0          NAN          NAN   1.8000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.7658E+04          NAN        0.5        1.0          NAN          NAN   1.7000E+00   7.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.9835E+04          NAN        0.5        1.0          NAN          NAN   6.4000E-01   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.0963E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.1628E+04          NAN        0.5        1.0          NAN          NAN   7.1000E-01   7.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.2696E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.6331E+04          NAN        0.5        1.0          NAN          NAN   5.6000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   5.6919E+04          NAN        0.5        1.0          NAN          NAN   1.6400E+00   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   6.5091E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.5238E+04          NAN        0.5        0.0          NAN          NAN   1.1000E+00   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   6.5623E+04          NAN        0.5        1.0          NAN          NAN   1.6800E+00   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   7.1424E+04          NAN        0.5        1.0          NAN          NAN   8.1000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   7.3262E+04          NAN        0.5        1.0          NAN          NAN   8.0000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   7.8286E+04          NAN        0.5        1.0          NAN          NAN   2.8000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.0117E+04          NAN        0.5        1.0          NAN          NAN   8.5000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.2042E+04          NAN        0.5        1.0          NAN          NAN   4.7000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.5055E+04          NAN        0.5        1.0          NAN          NAN   7.2000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.6242E+04          NAN        0.5        1.0          NAN          NAN   1.6100E+00   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.6903E+04          NAN        0.5        0.0          NAN          NAN   3.1000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.7959E+04          NAN        0.5        1.0          NAN          NAN   7.6000E-01   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.9817E+04          NAN        0.5        1.0          NAN          NAN   4.0000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.1722E+04          NAN        0.5        1.0          NAN          NAN   3.6000E-01   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.3845E+04          NAN        0.5        1.0          NAN          NAN   6.1000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.5573E+04          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.7130E+04          NAN        0.5        1.0          NAN          NAN   5.7000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.8083E+04          NAN        0.5        0.0          NAN          NAN   3.4000E-01   7.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.9482E+04          NAN        0.5        1.0          NAN          NAN   9.3000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.0216E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0793E+05          NAN        0.5        0.0          NAN          NAN   7.2000E-01   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.0854E+05          NAN        0.5        1.0          NAN          NAN   1.1000E+00   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1158E+05          NAN        0.5        1.0          NAN          NAN   1.7300E+00   8.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1208E+05          NAN        0.5        1.0          NAN          NAN   4.1000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1235E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1341E+05          NAN        0.5        1.0          NAN          NAN   8.1000E-01   9.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1397E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2050E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2064E+05          NAN        0.5        1.0          NAN          NAN   8.2000E-01   1.2000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.2096E+05          NAN        0.5        1.0          NAN          NAN   1.7700E+00   1.2000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.2374E+05          NAN        0.5        1.0          NAN          NAN   7.0000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.2413E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2744E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2778E+05          NAN        0.5        1.0          NAN          NAN   4.8000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.2989E+05          NAN        0.5        1.0          NAN          NAN   1.1400E+00   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3364E+05          NAN        0.5        1.0          NAN          NAN   5.1000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3563E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3613E+05          NAN        0.5        1.0          NAN          NAN   1.0600E+00   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3641E+05          NAN        0.5        1.0          NAN          NAN   1.7900E+00   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3734E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3758E+05          NAN        0.5        1.0          NAN          NAN   4.7000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3918E+05          NAN        0.5        0.0          NAN          NAN   7.2000E-01   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.3967E+05          NAN        0.5        1.0          NAN          NAN   1.0900E+00   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.4003E+05          NAN        0.5        1.0          NAN          NAN   7.2000E-01   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.4015E+05          NAN        0.5        1.0          NAN          NAN   1.3500E+00   1.5000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.4525E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4587E+05          NAN        0.5        1.0          NAN          NAN   5.9000E-01   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.4764E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4892E+05          NAN        0.5        1.0          NAN          NAN   1.0400E+00   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.5154E+05          NAN        0.5        1.0          NAN          NAN   4.0000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.5448E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01   4.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.5651E+05          NAN        0.5        0.0          NAN          NAN   3.8000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.5680E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6034E+05          NAN        0.5        1.0          NAN          NAN   5.9000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.6136E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6184E+05          NAN        0.5        0.0          NAN          NAN   5.7000E-01   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.6230E+05          NAN        0.5        1.0          NAN          NAN   1.1600E+00   5.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.6635E+05          NAN        0.5        1.0          NAN          NAN   1.0900E+00   1.1000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.6733E+05          NAN        0.5        1.0          NAN          NAN   1.9800E+00   1.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.6776E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7074E+05          NAN        0.5        1.0          NAN          NAN   1.9800E+00   1.2000E-01          NAN          NAN          NAN          NAN          NAN          NAN
   1.7226E+05          NAN        0.5        1.0          NAN          NAN   5.0000E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7277E+05          NAN        0.5        1.0          NAN          NAN   7.4000E-01   6.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.7469E+05          NAN        0.5        1.0          NAN          NAN   2.5000E-01   3.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
