# Header: 
#   Title                 : 93-NP-237 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 41358-003-2 
#   First Author          : S.B.Borzakov 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,PAN,62,872,1999) 
#   Year                  : 1999 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 93 
#   A                     : 237 
#   Isomer                :  
#   Nuclide               : 93-NP-237 
# Reaction: 
#   EXFOR Reaction        : (93-NP-237(N,F),,WID) 
#   Incident Energy Type   : 3.8700e+00 eV - 5.0410e+01 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/413/41358.x4 
#   nds                   : https://nds.iaea.org/EXFOR/41358
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   3.8700E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.8000E-06   8.0000E-07          NAN          NAN
   5.7800E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0500E-05   1.5000E-06          NAN          NAN
   7.4200E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0000E-05   2.5000E-06          NAN          NAN
   8.3100E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.6000E-06   1.7000E-06          NAN          NAN
   8.9700E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.2700E-05   3.0000E-06          NAN          NAN
   1.0680E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.1000E-06   7.0000E-07          NAN          NAN
   1.0840E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.3000E-06   6.0000E-07          NAN          NAN
   2.1100E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.5000E-06   7.0000E-07          NAN          NAN
   2.2860E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.6000E-06   1.1000E-06          NAN          NAN
   2.4980E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   9.1000E-06   8.0000E-07          NAN          NAN
   2.6190E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.1900E-04   3.6000E-05          NAN          NAN
   2.6560E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.9000E-05   6.0000E-06          NAN          NAN
   3.0410E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.4900E-04   2.2000E-05          NAN          NAN
   3.1300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.5000E-05   6.0000E-06          NAN          NAN
   3.1650E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.2000E-05   6.0000E-06          NAN          NAN
   3.7150E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.6400E-04   4.6000E-05          NAN          NAN
   3.8180E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.8000E-05   8.0000E-06          NAN          NAN
   3.8920E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.3400E-04   9.2000E-05          NAN          NAN
   3.9240E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.9100E-04   1.0600E-04          NAN          NAN
   3.9930E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.0150E-03   7.7000E-04          NAN          NAN
   4.1350E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.3400E-04   5.8000E-05          NAN          NAN
   4.2810E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0570E-03   1.1700E-04          NAN          NAN
   4.4230E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.0950E-03   2.6500E-04          NAN          NAN
   4.6040E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.9000E-04   8.0000E-05          NAN          NAN
   4.6360E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.9000E-05   3.0000E-06          NAN          NAN
   4.8450E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.4000E-04   4.5000E-05          NAN          NAN
   4.9820E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.0000E-06   5.0000E-06          NAN          NAN
   5.0410E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.6000E-05   9.0000E-06          NAN          NAN
