# Header: 
#   Title                 : 82-PB-207 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : S.Raman 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PRL,40,1306,197805) 
#   Year                  : 1978 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 82 
#   A                     : 207 
#   Nuclide               : 82-PB-207 
# Reaction: 
#   entry-subent-pointer  :{157: '10700-002-3', 158: '10700-002-3', 159: '10700-002-3', 160: '10700-002-3', 161: '10700-002-3', 162: '10700-002-3', 163: '10700-002-3', 164: '10700-002-3', 165: '10700-002-3', 166: '10700-002-3', 167: '10700-002-3', 168: '10700-002-3', 169: '10700-002-3', 170: '10700-002-3', 171: '10700-002-3', 172: '10700-002-3', 173: '10700-002-3', 174: '10700-002-3', 175: '10700-002-3', 176: '10700-002-3', 177: '10700-002-3', 178: '10700-002-3', 179: '10700-002-3', 180: '10700-002-3', 181: '10700-002-3', 182: '10700-002-3', 183: '10700-002-3', 184: '10700-002-3', 185: '10700-002-3', 186: '10700-002-3', 187: '10700-002-3', 188: '10700-002-3', 189: '10700-002-3', 190: '10700-002-3', 191: '10700-002-3'} 
#   EXFOR reaction        :{157: '(82-PB-207(N,G),,WID)', 158: '(82-PB-207(N,G),,WID)', 159: '(82-PB-207(N,G),,WID)', 160: '(82-PB-207(N,G),,WID)', 161: '(82-PB-207(N,G),,WID)', 162: '(82-PB-207(N,G),,WID)', 163: '(82-PB-207(N,G),,WID)', 164: '(82-PB-207(N,G),,WID)', 165: '(82-PB-207(N,G),,WID)', 166: '(82-PB-207(N,G),,WID)', 167: '(82-PB-207(N,G),,WID)', 168: '(82-PB-207(N,G),,WID)', 169: '(82-PB-207(N,G),,WID)', 170: '(82-PB-207(N,G),,WID)', 171: '(82-PB-207(N,G),,WID)', 172: '(82-PB-207(N,G),,WID)', 173: '(82-PB-207(N,G),,WID)', 174: '(82-PB-207(N,G),,WID)', 175: '(82-PB-207(N,G),,WID)', 176: '(82-PB-207(N,G),,WID)', 177: '(82-PB-207(N,G),,WID)', 178: '(82-PB-207(N,G),,WID)', 179: '(82-PB-207(N,G),,WID)', 180: '(82-PB-207(N,G),,WID)', 181: '(82-PB-207(N,G),,WID)', 182: '(82-PB-207(N,G),,WID)', 183: '(82-PB-207(N,G),,WID)', 184: '(82-PB-207(N,G),,WID)', 185: '(82-PB-207(N,G),,WID)', 186: '(82-PB-207(N,G),,WID)', 187: '(82-PB-207(N,G),,WID)', 188: '(82-PB-207(N,G),,WID)', 189: '(82-PB-207(N,G),,WID)', 190: '(82-PB-207(N,G),,WID)', 191: '(82-PB-207(N,G),,WID)'} 
#   incident energy       : 1.6780e+04 eV - 8.5620e+05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/107/10700.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10700
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.6780E+04        1.6780E+01               NAN               NAN        7.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        3.0490E+04        3.0490E+01               NAN               NAN        6.2000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        3.7730E+04        3.7730E+01               NAN               NAN        8.3000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        4.1170E+04        4.1170E+01               NAN               NAN        5.3000E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        7.3020E+04        7.3020E+01               NAN               NAN        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        9.0180E+04        9.0180E+01               NAN               NAN        2.0500E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.0181E+05        1.0181E+02               NAN               NAN        3.5000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.1520E+05        1.1520E+02               NAN               NAN        1.8300E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.2788E+05        1.2788E+02               NAN               NAN        2.9500E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.3023E+05        1.3023E+02               NAN               NAN        1.0100E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.3229E+05        1.3229E+02               NAN               NAN        4.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.4541E+05        1.4541E+02               NAN               NAN        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.4822E+05        1.4822E+02               NAN               NAN        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.5572E+05        1.5572E+02               NAN               NAN        7.1000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.6842E+05        1.6842E+02               NAN               NAN        1.2000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.7900E+05        1.7900E+02               NAN               NAN        8.8000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.8098E+05        1.8098E+02               NAN               NAN        1.2400E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        1.8149E+05        1.8149E+02               NAN               NAN        1.8000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        2.1056E+05        2.1056E+02               NAN               NAN        7.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        2.1828E+05        2.1828E+02               NAN               NAN        8.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        2.2977E+05        2.2977E+02               NAN               NAN        2.0000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        2.4988E+05        2.4988E+02               NAN               NAN        1.8000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
        2.5611E+05        2.5611E+02               NAN               NAN        2.1700E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               1.0               NAN
