# Header: 
#   Title                 : 46-PD-0 Resonance Parameter: WID,,AG 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 11270-002-2 
#   First Author          : R.E.Chrien 
#   Institute             : (1USABNL): Brookhaven National Laboratory, Upton, NY 
#   Reference             : (W,CHRIEN,5910) 
#   Year                  : 1959 
#   Facility              : (CHOPF): Fast chopper 
# Target: 
#   Z                     : 46 
#   A                     : 0 
#   Isomer                :  
#   Nuclide               : 46-PD-0 
# Reaction: 
#   EXFOR Reaction        : (46-PD-0(N,EL),,WID,,AG) 
#   Incident Energy       : 1.1400e+02 eV - 9.2300e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/112/11270.x4 
#   nds                   : https://nds.iaea.org/EXFOR/11270
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.1400E+02   3.0000E+00        NAN        NAN          NAN          NAN          NAN          NAN   1.4300E-04   5.4000E-05          NAN          NAN          NAN          NAN
   1.9350E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0510E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5230E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.4150E-02   1.0380E-02          NAN          NAN          NAN          NAN
   2.6340E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   3.0380E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.5110E-02   8.4600E-03          NAN          NAN          NAN          NAN
   3.3600E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.3720E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.7460E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   6.5130E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.2300E+02   9.0000E+01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
