# Header: 
#   Title                 : 46-PD-106 Resonance Parameter: WID/STR 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : R.L.Macklin 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,NSE,71,182,1979) 
#   Year                  : 1979 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 46 
#   A                     : 106 
#   Nuclide               : 46-PD-106 
# Reaction: 
#   entry-subent-pointer  :['10868-004-2'] 
#   EXFOR reaction        :['(46-PD-106(N,G),,WID/STR)'] 
#   incident energy       : 2.5984e+03 eV - 2.0021e+04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/108/10868.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10868
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   2.5984E+03          NAN        NAN        NAN          NAN          NAN   5.4400E-02   1.6000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.6980E+03          NAN        NAN        NAN          NAN          NAN   6.1400E-02   1.6000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.7645E+03          NAN        NAN        NAN          NAN          NAN   1.6370E-01   2.5000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.7839E+03          NAN        NAN        NAN          NAN          NAN   6.9600E-02   1.7000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.8727E+03          NAN        NAN        NAN          NAN          NAN   1.5120E-01   2.7000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.0357E+03          NAN        NAN        NAN          NAN          NAN   7.7000E-03   7.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.0875E+03          NAN        NAN        NAN          NAN          NAN   1.1080E-01   2.6000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.1294E+03          NAN        NAN        NAN          NAN          NAN   1.5300E-02   9.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.1432E+03          NAN        NAN        NAN          NAN          NAN   5.5100E-02   1.7000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.2151E+03          NAN        NAN        NAN          NAN          NAN   4.1000E-03   6.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.2286E+03          NAN        NAN        NAN          NAN          NAN   1.9900E-02   1.3000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.2951E+03          NAN        NAN        NAN          NAN          NAN   1.3000E-03   7.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   3.3085E+03          NAN        NAN        NAN          NAN          NAN   1.0000E-03   7.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.3938E+03          NAN        NAN        NAN          NAN          NAN   5.6500E-02   2.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.4246E+03          NAN        NAN        NAN          NAN          NAN   7.4100E-02   2.5000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.5385E+03          NAN        NAN        NAN          NAN          NAN   7.2500E-02   2.4000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.6350E+03          NAN        NAN        NAN          NAN          NAN   3.5500E-02   2.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.6634E+03          NAN        NAN        NAN          NAN          NAN   1.8400E-02   1.3000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.7350E+03          NAN        NAN        NAN          NAN          NAN   2.5910E-01   5.3000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.7492E+03          NAN        NAN        NAN          NAN          NAN   1.0900E-02   1.3000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.9131E+03          NAN        NAN        NAN          NAN          NAN   7.4400E-02   2.1000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   3.9352E+03          NAN        NAN        NAN          NAN          NAN   1.6080E-01   4.9000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.0930E+03          NAN        NAN        NAN          NAN          NAN   2.0160E-01   7.1000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.1621E+03          NAN        NAN        NAN          NAN          NAN   1.9500E-02   1.1000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.1911E+03          NAN        NAN        NAN          NAN          NAN   8.0000E-03   8.0000E-04          NAN          NAN          NAN          NAN          NAN          NAN
   4.2663E+03          NAN        NAN        NAN          NAN          NAN   8.8100E-02   2.2000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.2916E+03          NAN        NAN        NAN          NAN          NAN   4.4100E-02   1.7000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.3874E+03          NAN        NAN        NAN          NAN          NAN   8.6000E-03   1.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.4000E+03          NAN        NAN        NAN          NAN          NAN   3.5200E-02   1.8000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.4098E+03          NAN        NAN        NAN          NAN          NAN   9.1600E-02   2.4000E-03          NAN          NAN          NAN          NAN          NAN          NAN
