# Header: 
#   Title                 : 61-PM-147 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : V.A.Anufriev 
#   Institute             : (4RUSITE): Institute Teoret. + Experiment. Fiziki, Moskva 
#   Reference             : (J,SJA,45,1189,1978) 
#   Year                  : 1978 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 61 
#   A                     : 147 
#   Nuclide               : 61-PM-147 
# Reaction: 
#   entry-subent-pointer  :{43: '40524-002-2', 44: '40524-002-2', 45: '40524-002-2', 46: '40524-002-2', 47: '40524-002-2', 48: '40524-002-2', 49: '40524-002-2', 50: '40524-002-2', 51: '40524-002-2', 52: '40524-002-2', 53: '40524-002-2', 54: '40524-002-2', 55: '40524-002-2', 56: '40524-002-2', 57: '40524-002-2', 58: '40524-002-2', 59: '40524-002-2', 60: '40524-002-2', 61: '40524-002-2', 62: '40524-002-2', 63: '40524-002-2', 64: '40524-002-2', 65: '40524-002-2', 66: '40524-002-2', 67: '40524-002-2', 68: '40524-002-2', 69: '40524-002-2', 70: '40524-002-2', 71: '40524-002-2'} 
#   EXFOR reaction        :{43: '(61-PM-147(N,TOT),,WID)', 44: '(61-PM-147(N,TOT),,WID)', 45: '(61-PM-147(N,TOT),,WID)', 46: '(61-PM-147(N,TOT),,WID)', 47: '(61-PM-147(N,TOT),,WID)', 48: '(61-PM-147(N,TOT),,WID)', 49: '(61-PM-147(N,TOT),,WID)', 50: '(61-PM-147(N,TOT),,WID)', 51: '(61-PM-147(N,TOT),,WID)', 52: '(61-PM-147(N,TOT),,WID)', 53: '(61-PM-147(N,TOT),,WID)', 54: '(61-PM-147(N,TOT),,WID)', 55: '(61-PM-147(N,TOT),,WID)', 56: '(61-PM-147(N,TOT),,WID)', 57: '(61-PM-147(N,TOT),,WID)', 58: '(61-PM-147(N,TOT),,WID)', 59: '(61-PM-147(N,TOT),,WID)', 60: '(61-PM-147(N,TOT),,WID)', 61: '(61-PM-147(N,TOT),,WID)', 62: '(61-PM-147(N,TOT),,WID)', 63: '(61-PM-147(N,TOT),,WID)', 64: '(61-PM-147(N,TOT),,WID)', 65: '(61-PM-147(N,TOT),,WID)', 66: '(61-PM-147(N,TOT),,WID)', 67: '(61-PM-147(N,TOT),,WID)', 68: '(61-PM-147(N,TOT),,WID)', 69: '(61-PM-147(N,TOT),,WID)', 70: '(61-PM-147(N,TOT),,WID)', 71: '(61-PM-147(N,TOT),,WID)'} 
#   incident energy       : 5.3700e+00 eV - 4.7980e+01 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/405/40524.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40524
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        5.3700E+00               NAN        1.4400E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        6.5800E+00               NAN        5.4000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        6.9300E+00               NAN        7.2000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        1.5170E+01               NAN        8.7000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        1.9540E+01               NAN        7.9000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        2.9200E+01               NAN        1.2300E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        3.5310E+01               NAN        1.4900E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        3.8020E+01               NAN        1.3700E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        3.9840E+01               NAN        1.3800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        4.5460E+01               NAN        1.3900E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
        4.7980E+01               NAN        9.5000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               0.0
