# Header: 
#   Title                 : 61-PM-147 Resonance Parameter: WID/RED,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10114-002-2 
#   First Author          : J.W.Codding Jr 
#   Institute             : (1USAMTR): Idaho Nuclear Corp., Idaho Falls, ID 
#   Reference             : (J,NSE,43,58,197101) 
#   Year                  : 1971 
#   Facility              : (CHOPF): Fast chopper 
# Target: 
#   Z                     : 61 
#   A                     : 147 
#   Isomer                :  
#   Nuclide               : 61-PM-147 
# Reaction: 
#   EXFOR Reaction        : (61-PM-147(N,EL),,WID/RED,,2G) 
#   Incident Energy       : -1.8000e+00 eV - 2.4120e+02 eV 
#   Resonance Energy Type : EN-RES 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/101/10114.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10114
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
  -1.8000E+00          NAN        NAN        0.0          NAN          NAN          NAN          NAN   2.0500E-03          NAN          NAN          NAN          NAN          NAN
   5.3500E+00   2.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   1.4220E-02   7.5000E-04          NAN          NAN          NAN          NAN
   6.5600E+00   3.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   6.0900E-04   5.0000E-05          NAN          NAN          NAN          NAN
   6.9200E+00   3.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   1.6300E-03   1.0000E-04          NAN          NAN          NAN          NAN
   1.5110E+01   8.0000E-02        NAN        0.0          NAN          NAN          NAN          NAN   3.2900E-04   3.0000E-05          NAN          NAN          NAN          NAN
   1.9500E+01   1.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.0100E-03   7.0000E-05          NAN          NAN          NAN          NAN
   2.9100E+01   2.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   4.5200E-04   5.0000E-05          NAN          NAN          NAN          NAN
   3.5200E+01   3.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   8.0000E-05   4.0000E-05          NAN          NAN          NAN          NAN
   3.8000E+01   3.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   4.1000E-03   6.0000E-04          NAN          NAN          NAN          NAN
   3.9800E+01   3.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.8500E-03   8.0000E-04          NAN          NAN          NAN          NAN
   4.5500E+01   4.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.4000E-04   5.0000E-04          NAN          NAN          NAN          NAN
   4.8000E+01   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.6500E-03   4.0000E-04          NAN          NAN          NAN          NAN
   5.2100E+01   5.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   3.2000E-04   6.0000E-05          NAN          NAN          NAN          NAN
   5.5700E+01   6.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.7000E-04   5.0000E-05          NAN          NAN          NAN          NAN
   6.4900E+01   7.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   2.0000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   6.5300E+01   7.0000E-01        NAN        0.0          NAN          NAN          NAN          NAN   1.8300E-03   4.5000E-04          NAN          NAN          NAN          NAN
   6.5500E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   9.0000E-03   3.0000E-03          NAN          NAN          NAN          NAN
   8.2600E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   3.5000E-03   1.0000E-03          NAN          NAN          NAN          NAN
   8.5500E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   4.0000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   8.9800E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.2000E-04   4.0000E-05          NAN          NAN          NAN          NAN
   9.1500E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN   1.0000E-04   3.0000E-05          NAN          NAN          NAN          NAN
