# Header: 
#   Title                 : 94-PU-238 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10291-003-3 
#   First Author          : M.G.Silbert 
#   Institute             : (1USALAS): Los Alamos National Laboratory, NM 
#   Reference             : (J,NSE,52,187,197310) 
#   Year                  : 1973 
#   Facility              : None 
# Target: 
#   Z                     : 94 
#   A                     : 238 
#   Isomer                :  
#   Nuclide               : 94-PU-238 
# Reaction: 
#   EXFOR Reaction        : (94-PU-238(N,F),,WID) 
#   Incident Energy       : 1.8600e+01 eV - 4.9600e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/102/10291.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10291
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.8600E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.6000E-03          NAN          NAN          NAN
   3.2200E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.8000E-03          NAN          NAN          NAN
   3.6600E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.9000E-03          NAN          NAN          NAN
   5.9800E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   6.7000E-04          NAN          NAN          NAN
   7.0100E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   7.4000E-03          NAN          NAN          NAN
   7.7200E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   9.4000E-03          NAN          NAN          NAN
   8.3000E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   3.5000E-03          NAN          NAN          NAN
   9.6200E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.8000E-03          NAN          NAN          NAN
   9.9600E+01          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.1000E-03          NAN          NAN          NAN
   1.1010E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.1000E-03          NAN          NAN          NAN
   1.1120E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   3.1000E-03          NAN          NAN          NAN
   1.1360E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.4000E-03          NAN          NAN          NAN
   1.1860E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.6000E-03          NAN          NAN          NAN
   1.2240E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   8.5000E-03          NAN          NAN          NAN
   1.2900E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.0000E-03          NAN          NAN          NAN
   1.3240E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.3000E-03          NAN          NAN          NAN
   1.3970E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   6.3000E-03          NAN          NAN          NAN
   1.5110E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   9.2000E-03          NAN          NAN          NAN
   1.6500E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.0700E-02          NAN          NAN          NAN
   1.7100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   7.2000E-04          NAN          NAN          NAN
   1.7680E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.4000E-02          NAN          NAN          NAN
   1.8290E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   7.1000E-03          NAN          NAN          NAN
   1.9250E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.3000E-01          NAN          NAN          NAN
   2.0300E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   2.2000E-03          NAN          NAN          NAN
   2.1600E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   2.3000E-02          NAN          NAN          NAN
   2.2100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.2000E-03          NAN          NAN          NAN
   2.3200E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   8.4000E-04          NAN          NAN          NAN
   2.4500E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   2.5000E-02          NAN          NAN          NAN
   2.5200E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.7000E-02          NAN          NAN          NAN
   2.6100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   7.0000E-03          NAN          NAN          NAN
   2.8500E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   3.5000E+00          NAN          NAN          NAN
   2.8900E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   2.4000E-02          NAN          NAN          NAN
   3.0000E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.0200E-01          NAN          NAN          NAN
   3.0500E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   6.8000E-02          NAN          NAN          NAN
   3.2000E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.5000E-03          NAN          NAN          NAN
   3.2700E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.5000E-02          NAN          NAN          NAN
   3.3700E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   8.4000E-03          NAN          NAN          NAN
   3.6100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   7.0000E-03          NAN          NAN          NAN
   3.6800E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.4000E-03          NAN          NAN          NAN
