# Header: 
#   Title                 : 94-PU-239 Resonance Parameter: WID,,2G 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 40104-004-0 
#   First Author          : Yu.V.Ryabov 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,SNP,5,657,1967) 
#   Year                  : 1967 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 94 
#   A                     : 239 
#   Isomer                :  
#   Nuclide               : 94-PU-239 
# Reaction: 
#   EXFOR Reaction        : (94-PU-239(N,EL),,WID,,2G) 
#   Incident Energy       : 7.8400e+00 eV - 2.0500e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40104.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40104
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   7.8400E+00          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2800E-03   1.2000E-04          NAN          NAN          NAN          NAN
   1.0970E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.7000E-03   1.5000E-04          NAN          NAN          NAN          NAN
   1.1500E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.1000E-04          NAN          NAN          NAN          NAN          NAN
   1.1910E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.3400E-03   2.2000E-04          NAN          NAN          NAN          NAN
   1.4360E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.8000E-04   1.2000E-04          NAN          NAN          NAN          NAN
   1.4750E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.7200E-03   5.4000E-04          NAN          NAN          NAN          NAN
   1.5470E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   9.8000E-04   1.4000E-04          NAN          NAN          NAN          NAN
   1.7690E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0700E-03   3.4000E-04          NAN          NAN          NAN          NAN
   2.2330E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.8800E-03   4.6000E-04          NAN          NAN          NAN          NAN
   2.3900E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.0000E-04   6.0000E-05          NAN          NAN          NAN          NAN
   2.6370E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.2600E-03   2.2000E-04          NAN          NAN          NAN          NAN
   2.7300E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.5000E-04          NAN          NAN          NAN          NAN          NAN
   3.2400E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.8000E-04   6.0000E-05          NAN          NAN          NAN          NAN
   3.5600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   7.1000E-04          NAN          NAN          NAN          NAN          NAN
   4.1640E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   5.5000E-03   1.1000E-03          NAN          NAN          NAN          NAN
   4.4740E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.6200E-03   1.3000E-03          NAN          NAN          NAN          NAN
   4.7920E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.0400E-03   3.8000E-04          NAN          NAN          NAN          NAN
   4.9600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.3000E-04          NAN          NAN          NAN          NAN          NAN
   5.0180E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   4.3000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   5.2900E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.0900E-02   3.3000E-03          NAN          NAN          NAN          NAN
   5.5900E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   2.6000E-03   5.0000E-04          NAN          NAN          NAN          NAN
   5.7800E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   8.6000E-03   8.0000E-04          NAN          NAN          NAN          NAN
   5.8600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   3.3000E-03   9.0000E-04          NAN          NAN          NAN          NAN
   5.9600E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.2000E-02   4.0000E-03          NAN          NAN          NAN          NAN
   6.1700E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.9600E-03   8.0000E-04          NAN          NAN          NAN          NAN
   6.3400E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   6.3000E-03   2.3000E-03          NAN          NAN          NAN          NAN
   6.6200E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN   1.8600E-02   4.7000E-03          NAN          NAN          NAN          NAN
