# Header: 
#   Title                 : 94-PU-239 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : H.Derrien 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (T,DERRIEN,7311) 
#   Year                  : 1973 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 94 
#   A                     : 239 
#   Nuclide               : 94-PU-239 
# Reaction: 
#   entry-subent-pointer  :['20445-005-3' '20445-005-4'] 
#   EXFOR reaction        :['(94-PU-239(N,TOT),,WID)' '(94-PU-239(N,G),,WID)'] 
#   incident energy       : 7.8200e+00 eV - 6.5829e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20445.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20445
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 7.8200E+00        NAN        NAN        0.0 8.7000E-02 5.0000E-03 4.0000E-02 4.0000E-03        NAN        NAN        NAN        NAN
 1.0930E+01        NAN        NAN        0.0 2.0000E-01 2.0000E-02 5.5000E-02 9.0000E-03        NAN        NAN        NAN        NAN
 1.1500E+01        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 1.1890E+01        NAN        NAN        0.0 6.7000E-02 7.0000E-03 4.2000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 1.4310E+01        NAN        NAN        0.0 1.0200E-01 8.0000E-03 3.4000E-02 6.0000E-03        NAN        NAN        NAN        NAN
 1.4680E+01        NAN        NAN        0.0 7.0000E-02 7.0000E-03 3.8000E-02 4.0000E-03        NAN        NAN        NAN        NAN
 1.5460E+01        NAN        0.0        0.0 7.0000E-01 5.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 1.7660E+01        NAN        0.0        0.0 7.5000E-02 7.0000E-03 3.9000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 2.2290E+01        NAN        0.0        0.0 1.0900E-01 9.0000E-03 4.4000E-02 5.0000E-03        NAN        NAN        NAN        NAN
 2.3940E+01        NAN        NAN        0.0 7.0000E-02 1.2000E-02 3.2000E-02 1.2000E-02        NAN        NAN        NAN        NAN
