# Header: 
#   Title                 : 94-PU-240 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10564-002-2 
#   First Author          : G.F.Auchampaugh 
#   Institute             : (1USALAS): Los Alamos National Laboratory, NM 
#   Reference             : (J,PR/C,12,1850,197512) 
#   Year                  : 1975 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 94 
#   A                     : 240 
#   Isomer                :  
#   Nuclide               : 94-PU-240 
# Reaction: 
#   EXFOR Reaction        : (94-PU-240(N,F),,WID) 
#   Incident Energy Type   : 6.0800e+02 eV - 2.8600e+03 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/105/10564.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10564
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   6.0800E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   6.0000E-05          NAN          NAN          NAN
   6.3200E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.4000E-04          NAN          NAN          NAN
   6.3700E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.7000E-04          NAN          NAN          NAN
   6.6500E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.8000E-04          NAN          NAN          NAN
   6.7800E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   7.8000E-04          NAN          NAN          NAN
   7.1200E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   8.0000E-04          NAN          NAN          NAN
   7.4300E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   3.0000E-03          NAN          NAN          NAN
   7.5000E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.2700E-02          NAN          NAN          NAN
   7.5900E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.4200E-03          NAN          NAN          NAN
   7.7900E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.5000E-02          NAN          NAN          NAN
   7.8240E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN  -1.4500E+00          NAN          NAN          NAN
   7.9140E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN  -1.2500E-02          NAN          NAN          NAN
   8.1100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.1600E-02          NAN          NAN          NAN
   8.2030E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.1000E-03          NAN          NAN          NAN
   8.4600E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   9.3000E-04          NAN          NAN          NAN
   8.5500E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   3.0000E-04          NAN          NAN          NAN
   8.7600E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   9.6000E-04          NAN          NAN          NAN
   8.9100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.3200E-03          NAN          NAN          NAN
   9.0400E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   6.7000E-04          NAN          NAN          NAN
   9.0900E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   6.0000E-05          NAN          NAN          NAN
   9.1500E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   5.6000E-04          NAN          NAN          NAN
   9.4300E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   3.2000E-04          NAN          NAN          NAN
   9.5800E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.9000E-04          NAN          NAN          NAN
   9.7100E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   4.1000E-04          NAN          NAN          NAN
   9.7900E+02          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.1000E-03          NAN          NAN          NAN
   1.0020E+03          NAN        NAN        0.0          NAN          NAN          NAN          NAN          NAN          NAN   1.1200E-03          NAN          NAN          NAN
