# Header: 
#   Title                 : 94-PU-241 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : W.Kolar 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (C,71KNOX,2,823,1971) 
#   Year                  : 1971 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 94 
#   A                     : 241 
#   Nuclide               : 94-PU-241 
# Reaction: 
#   entry-subent-pointer  :{64: '20116-004-0', 65: '20116-004-0', 66: '20116-004-0', 67: '20116-004-0', 68: '20116-004-0', 69: '20116-004-0', 70: '20116-004-0', 71: '20116-004-0', 72: '20116-004-0', 73: '20116-004-0', 74: '20116-004-0', 75: '20116-004-0', 76: '20116-004-0', 77: '20116-004-0', 78: '20116-004-0', 79: '20116-004-0', 80: '20116-004-0'} 
#   EXFOR reaction        :{64: '(94-PU-241(N,G),,WID)', 65: '(94-PU-241(N,G),,WID)', 66: '(94-PU-241(N,G),,WID)', 67: '(94-PU-241(N,G),,WID)', 68: '(94-PU-241(N,G),,WID)', 69: '(94-PU-241(N,G),,WID)', 70: '(94-PU-241(N,G),,WID)', 71: '(94-PU-241(N,G),,WID)', 72: '(94-PU-241(N,G),,WID)', 73: '(94-PU-241(N,G),,WID)', 74: '(94-PU-241(N,G),,WID)', 75: '(94-PU-241(N,G),,WID)', 76: '(94-PU-241(N,G),,WID)', 77: '(94-PU-241(N,G),,WID)', 78: '(94-PU-241(N,G),,WID)', 79: '(94-PU-241(N,G),,WID)', 80: '(94-PU-241(N,G),,WID)'} 
#   incident energy       : 1.2780e-05 eV - 3.1000e-05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/201/20116.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20116
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.2780E-05               NAN               NAN               NAN        5.1900E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.3410E-05               NAN               NAN               NAN        3.5200E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.4730E-05               NAN               NAN               NAN        3.9900E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5940E-05               NAN               NAN               NAN        7.0400E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.6650E-05               NAN               NAN               NAN        4.6400E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7810E-05               NAN               NAN               NAN        3.4700E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8220E-05               NAN               NAN               NAN        9.0700E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0690E-05               NAN               NAN               NAN        4.9100E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1910E-05               NAN               NAN               NAN        6.3000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.2990E-05               NAN               NAN               NAN        8.4400E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.3660E-05               NAN               NAN               NAN        8.4300E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.4070E-05               NAN               NAN               NAN        4.7000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.4700E-05               NAN               NAN               NAN        3.4200E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6390E-05               NAN               NAN               NAN        6.4900E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.8860E-05               NAN               NAN               NAN        8.3200E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.9440E-05               NAN               NAN               NAN        4.1000E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.1000E-05               NAN               NAN               NAN        5.7900E-02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
