# Header: 
#   Title                 : 94-PU-242 Resonance Parameter: WID,,S0 
#   Source                : EXFOR 
#   Date Created          : 2025-09-05 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10062-003-2 
#   First Author          : D.W.Bergen 
#   Institute             : (1USALAS): Los Alamos National Laboratory, NM 
#   Reference             : (J,NP/A,163,577,197103) 
#   Year                  : 1971 
#   Facility              : None 
# Target: 
#   Z                     : 94 
#   A                     : 242 
#   Isomer                :  
#   Nuclide               : 94-PU-242 
# Reaction: 
#   EXFOR Reaction        : (94-PU-242(N,F),,WID,,S0) 
#   Incident Energy       : 5.3400e+01 eV - 7.8820e+02 eV 
#   Resonance Energy Type : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/100/10062.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10062
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   5.3400E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.5000E+00   8.0000E-02          NAN          NAN
   6.7500E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.9000E-01   2.0000E-02          NAN          NAN
   8.8200E+01          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.9000E-02   3.0000E-03          NAN          NAN
   1.0710E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.3000E-01   3.0000E-02          NAN          NAN
   1.3100E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.1000E-01   1.0000E-02          NAN          NAN
   1.4920E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.5000E-01   2.0000E-02          NAN          NAN
   2.0430E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.0000E-01   3.0000E-02          NAN          NAN
   2.1460E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.8000E-01   2.0000E-02          NAN          NAN
   2.3190E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.2000E-01   2.0000E-02          NAN          NAN
   2.7220E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.8000E-01   3.0000E-02          NAN          NAN
   3.0210E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.5000E-01   2.0000E-02          NAN          NAN
   3.1900E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   5.8000E-01   4.0000E-02          NAN          NAN
   3.3120E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.2700E-01   4.0000E-02          NAN          NAN
   3.8070E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   3.8000E-01   4.0000E-02          NAN          NAN
   4.8240E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.8030E+00   1.5000E-01          NAN          NAN
   5.0450E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.3000E-01   8.0000E-02          NAN          NAN
   5.3510E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   7.1000E-01   6.0000E-02          NAN          NAN
   5.4580E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   6.9000E-01   7.0000E-02          NAN          NAN
   6.9400E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.3730E+00   1.4000E-01          NAN          NAN
   7.1450E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   8.9400E-01   1.1000E-01          NAN          NAN
   7.3710E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   2.6920E+00   3.2000E-01          NAN          NAN
   7.5710E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   1.1500E+01   1.4000E-01          NAN          NAN
   7.8820E+02          NAN        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN   4.6700E+00   8.1000E-01          NAN          NAN
