# Header: 
#   Title                 : 44-RU-99 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : A.B.Popov 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,SNP,29,285,1979) 
#   Year                  : 1979 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 44 
#   A                     : 99 
#   Nuclide               : 44-RU-99 
# Reaction: 
#   entry-subent-pointer  :{24: '40591-002-2', 25: '40591-002-2', 26: '40591-002-2', 27: '40591-002-2', 28: '40591-002-2', 29: '40591-002-2', 30: '40591-002-2', 31: '40591-002-2', 32: '40591-002-2', 33: '40591-002-2', 34: '40591-002-2', 35: '40591-002-2', 36: '40591-002-2', 37: '40591-002-2', 38: '40591-002-2', 39: '40591-002-2', 40: '40591-002-2', 41: '40591-002-2', 42: '40591-002-2', 43: '40591-002-2', 44: '40591-002-2', 45: '40591-002-2', 46: '40591-002-2', 47: '40591-002-2', 48: '40591-002-2', 49: '40591-002-2', 50: '40591-002-2', 51: '40591-002-2', 52: '40591-002-2', 53: '40591-002-2', 54: '40591-002-2', 55: '40591-002-2', 56: '40591-002-2', 57: '40591-002-2', 58: '40591-002-2', 59: '40591-002-2', 60: '40591-002-2', 61: '40591-002-2', 62: '40591-002-5', 63: '40591-002-5', 64: '40591-002-5', 65: '40591-002-5', 66: '40591-002-5', 67: '40591-002-5', 68: '40591-002-5', 69: '40591-002-5', 70: '40591-002-5', 71: '40591-002-5', 72: '40591-002-5', 73: '40591-002-5', 74: '40591-002-5', 75: '40591-002-5', 76: '40591-002-5', 77: '40591-002-5', 78: '40591-002-5', 79: '40591-002-5', 80: '40591-002-5', 81: '40591-002-5', 82: '40591-002-5', 83: '40591-002-5', 84: '40591-002-5', 85: '40591-002-5', 86: '40591-002-5', 87: '40591-002-5', 88: '40591-002-5', 89: '40591-002-5', 90: '40591-002-5', 91: '40591-002-5', 92: '40591-002-5', 93: '40591-002-5', 94: '40591-002-5', 95: '40591-002-5', 96: '40591-002-5', 97: '40591-002-5', 98: '40591-002-5', 99: '40591-002-5'} 
#   EXFOR reaction        :{24: '(44-RU-99(N,G),,WID)', 25: '(44-RU-99(N,G),,WID)', 26: '(44-RU-99(N,G),,WID)', 27: '(44-RU-99(N,G),,WID)', 28: '(44-RU-99(N,G),,WID)', 29: '(44-RU-99(N,G),,WID)', 30: '(44-RU-99(N,G),,WID)', 31: '(44-RU-99(N,G),,WID)', 32: '(44-RU-99(N,G),,WID)', 33: '(44-RU-99(N,G),,WID)', 34: '(44-RU-99(N,G),,WID)', 35: '(44-RU-99(N,G),,WID)', 36: '(44-RU-99(N,G),,WID)', 37: '(44-RU-99(N,G),,WID)', 38: '(44-RU-99(N,G),,WID)', 39: '(44-RU-99(N,G),,WID)', 40: '(44-RU-99(N,G),,WID)', 41: '(44-RU-99(N,G),,WID)', 42: '(44-RU-99(N,G),,WID)', 43: '(44-RU-99(N,G),,WID)', 44: '(44-RU-99(N,G),,WID)', 45: '(44-RU-99(N,G),,WID)', 46: '(44-RU-99(N,G),,WID)', 47: '(44-RU-99(N,G),,WID)', 48: '(44-RU-99(N,G),,WID)', 49: '(44-RU-99(N,G),,WID)', 50: '(44-RU-99(N,G),,WID)', 51: '(44-RU-99(N,G),,WID)', 52: '(44-RU-99(N,G),,WID)', 53: '(44-RU-99(N,G),,WID)', 54: '(44-RU-99(N,G),,WID)', 55: '(44-RU-99(N,G),,WID)', 56: '(44-RU-99(N,G),,WID)', 57: '(44-RU-99(N,G),,WID)', 58: '(44-RU-99(N,G),,WID)', 59: '(44-RU-99(N,G),,WID)', 60: '(44-RU-99(N,G),,WID)', 61: '(44-RU-99(N,G),,WID)', 62: '(44-RU-99(N,EL),,WID)', 63: '(44-RU-99(N,EL),,WID)', 64: '(44-RU-99(N,EL),,WID)', 65: '(44-RU-99(N,EL),,WID)', 66: '(44-RU-99(N,EL),,WID)', 67: '(44-RU-99(N,EL),,WID)', 68: '(44-RU-99(N,EL),,WID)', 69: '(44-RU-99(N,EL),,WID)', 70: '(44-RU-99(N,EL),,WID)', 71: '(44-RU-99(N,EL),,WID)', 72: '(44-RU-99(N,EL),,WID)', 73: '(44-RU-99(N,EL),,WID)', 74: '(44-RU-99(N,EL),,WID)', 75: '(44-RU-99(N,EL),,WID)', 76: '(44-RU-99(N,EL),,WID)', 77: '(44-RU-99(N,EL),,WID)', 78: '(44-RU-99(N,EL),,WID)', 79: '(44-RU-99(N,EL),,WID)', 80: '(44-RU-99(N,EL),,WID)', 81: '(44-RU-99(N,EL),,WID)', 82: '(44-RU-99(N,EL),,WID)', 83: '(44-RU-99(N,EL),,WID)', 84: '(44-RU-99(N,EL),,WID)', 85: '(44-RU-99(N,EL),,WID)', 86: '(44-RU-99(N,EL),,WID)', 87: '(44-RU-99(N,EL),,WID)', 88: '(44-RU-99(N,EL),,WID)', 89: '(44-RU-99(N,EL),,WID)', 90: '(44-RU-99(N,EL),,WID)', 91: '(44-RU-99(N,EL),,WID)', 92: '(44-RU-99(N,EL),,WID)', 93: '(44-RU-99(N,EL),,WID)', 94: '(44-RU-99(N,EL),,WID)', 95: '(44-RU-99(N,EL),,WID)', 96: '(44-RU-99(N,EL),,WID)', 97: '(44-RU-99(N,EL),,WID)', 98: '(44-RU-99(N,EL),,WID)', 99: '(44-RU-99(N,EL),,WID)'} 
#   incident energy       : 5.7130e+01 eV - 9.9460e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/405/40591.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40591
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        5.7130E+01               NAN               NAN               NAN        1.9800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.1650E+01               NAN               NAN               NAN        2.3500E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0410E+02               NAN               NAN               NAN        1.6500E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.0510E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5440E+02               NAN               NAN               NAN        1.8700E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.9890E+02               NAN               NAN               NAN        1.5900E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1220E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1850E+02               NAN               NAN               NAN        2.6300E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.4870E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.6280E+02               NAN               NAN               NAN        2.0700E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.3480E+02               NAN               NAN               NAN               NAN               NAN        6.1000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.4210E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.0170E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.1160E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.4690E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.9630E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.0980E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.3800E+02               NAN               NAN               NAN               NAN               NAN        6.0000E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.5320E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.7320E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.7780E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.3620E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.4970E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.6960E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.9660E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.4270E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.5680E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.9010E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.0780E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.3380E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.4920E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.5490E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.6690E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.9890E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.0820E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.1590E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.5990E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.9460E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
